segmentation_method,model,cnn_architecture,color,n_samples,accuracy,precision,recall,f1,balanced_accuracy,TN,FP,FN,TP
tip_middle_root_1_2_2,SVM,,淡紅,398,0.7110552763819096,0.437037037037037,0.6020408163265306,0.5064377682403434,0.6743537414965987,224,76,39,59
tip_middle_root_1_2_2,Random Forest,,淡紅,398,0.7663316582914573,0.5263157894736842,0.5102040816326531,0.5181347150259067,0.6801020408163265,255,45,48,50
tip_middle_root_1_3_1,SVM,,淡紅,398,0.7437185929648241,0.4838709677419355,0.6122448979591837,0.5405405405405406,0.6994557823129252,236,64,38,60
tip_middle_root_1_3_1,Random Forest,,淡紅,398,0.7663316582914573,0.5257731958762887,0.5204081632653061,0.5230769230769231,0.6835374149659864,254,46,47,51
tip_middle_root_1_2_2,SVM,,淡白,472,0.8792372881355932,0.1774193548387097,0.6470588235294118,0.2784810126582278,0.7674854557207498,404,51,6,11
tip_middle_root_1_2_2,Random Forest,,淡白,472,0.951271186440678,0.25,0.1764705882352941,0.2068965517241379,0.5783451842275371,446,9,14,3
tip_middle_root_1_3_1,SVM,,淡白,472,0.885593220338983,0.1967213114754098,0.7058823529411765,0.3076923076923077,0.7990950226244344,406,49,5,12
tip_middle_root_1_3_1,Random Forest,,淡白,472,0.9491525423728814,0.0,0.0,0.0,0.4923076923076923,448,7,17,0
tip_middle_root_1_2_2,SVM,,鮮紅,348,0.7931034482758621,0.6481481481481481,0.6730769230769231,0.660377358490566,0.7586696090794451,206,38,34,70
tip_middle_root_1_2_2,Random Forest,,鮮紅,348,0.7988505747126436,0.6491228070175439,0.7115384615384616,0.6788990825688074,0.7738020176544766,204,40,30,74
tip_middle_root_1_3_1,SVM,,鮮紅,348,0.7931034482758621,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.7531525851197982,208,36,36,68
tip_middle_root_1_3_1,Random Forest,,鮮紅,348,0.7902298850574713,0.6476190476190476,0.6538461538461539,0.6507177033492823,0.7511034047919294,207,37,36,68
tip_middle_root_1_2_2,SVM,,暗紅,394,0.5558375634517766,0.2530864197530864,0.431578947368421,0.3190661478599221,0.5134483365604647,178,121,54,41
tip_middle_root_1_2_2,Random Forest,,暗紅,394,0.649746192893401,0.2470588235294117,0.2210526315789473,0.2333333333333333,0.5035029044182362,235,64,74,21
tip_middle_root_1_3_1,SVM,,暗紅,394,0.6116751269035533,0.304054054054054,0.4736842105263157,0.3703703703703703,0.5646013025875726,196,103,50,45
tip_middle_root_1_3_1,Random Forest,,暗紅,394,0.6421319796954315,0.2325581395348837,0.2105263157894736,0.2209944751381215,0.4948952649181482,233,66,75,20
tip_middle_root_1_2_2,SVM,,青紫,398,0.7386934673366834,0.2407407407407407,0.5416666666666666,0.3333333333333333,0.6536904761904762,268,82,22,26
tip_middle_root_1_2_2,Random Forest,,青紫,398,0.8140703517587939,0.2045454545454545,0.1875,0.1956521739130435,0.54375,315,35,39,9
tip_middle_root_1_3_1,SVM,,青紫,398,0.7311557788944724,0.2242990654205607,0.5,0.3096774193548387,0.6314285714285715,267,83,24,24
tip_middle_root_1_3_1,Random Forest,,青紫,398,0.8165829145728644,0.2222222222222222,0.2083333333333333,0.2150537634408602,0.5541666666666667,315,35,38,10
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡紅,398,0.5628140703517588,0.2934782608695652,0.5510204081632653,0.3829787234042553,0.558843537414966,170,130,44,54
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡紅,398,0.635678391959799,0.3025210084033613,0.3673469387755102,0.3317972350230415,0.5453401360544218,217,83,62,36
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡白,472,0.7669491525423728,0.0485436893203883,0.2941176470588235,0.0833333333333333,0.539366515837104,357,98,12,5
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡白,472,0.690677966101695,0.0425531914893617,0.3529411764705882,0.0759493670886076,0.5281189398836458,320,135,11,6
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,鮮紅,348,0.6522988505747126,0.4554973821989528,0.8365384615384616,0.5898305084745763,0.7051544766708702,140,104,17,87
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,鮮紅,348,0.5890804597701149,0.3989637305699481,0.7403846153846154,0.5185185185185185,0.6324873896595209,128,116,27,77
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,暗紅,394,0.5888324873096447,0.2589928057553957,0.3789473684210526,0.3076923076923077,0.5172328815349411,196,103,59,36
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,暗紅,394,0.6142131979695431,0.2285714285714285,0.2526315789473684,0.24,0.4908642844569618,218,81,71,24
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,青紫,398,0.8065326633165829,0.1282051282051282,0.1041666666666666,0.1149425287356321,0.5035119047619048,316,34,43,5
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,青紫,398,0.7989949748743719,0.119047619047619,0.1041666666666666,0.1111111111111111,0.4992261904761904,313,37,43,5
