segmentation_method,model,cnn_architecture,color,n_samples,accuracy,precision,recall,f1,balanced_accuracy,TN,FP,FN,TP
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡紅,398,0.5628140703517588,0.29347826086956524,0.5510204081632653,0.3829787234042553,0.558843537414966,170,130,44,54
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡紅,398,0.635678391959799,0.3025210084033613,0.3673469387755102,0.3317972350230415,0.5453401360544218,217,83,62,36
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡白,472,0.7669491525423728,0.04854368932038835,0.29411764705882354,0.08333333333333333,0.539366515837104,357,98,12,5
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡白,472,0.690677966101695,0.0425531914893617,0.35294117647058826,0.0759493670886076,0.5281189398836458,320,135,11,6
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,鮮紅,348,0.6522988505747126,0.45549738219895286,0.8365384615384616,0.5898305084745763,0.7051544766708702,140,104,17,87
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,鮮紅,348,0.5890804597701149,0.39896373056994816,0.7403846153846154,0.5185185185185185,0.6324873896595209,128,116,27,77
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,暗紅,394,0.5888324873096447,0.2589928057553957,0.37894736842105264,0.3076923076923077,0.5172328815349411,196,103,59,36
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,暗紅,394,0.6142131979695431,0.22857142857142856,0.25263157894736843,0.24,0.4908642844569618,218,81,71,24
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,青紫,398,0.8065326633165829,0.1282051282051282,0.10416666666666667,0.11494252873563218,0.5035119047619048,316,34,43,5
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,青紫,398,0.7989949748743719,0.11904761904761904,0.10416666666666667,0.1111111111111111,0.49922619047619043,313,37,43,5
