segmentation_method,model,cnn_architecture,color,fold,train_samples,test_samples,train_patients,test_patients,accuracy,precision,recall,f1,balanced_accuracy
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡紅,1,316,82,77,19,0.6707317073170732,0.3793103448275862,0.55,0.4489795918367347,0.6298387096774194
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡紅,2,318,80,76,20,0.425,0.15789473684210525,0.3,0.20689655172413793,0.3833333333333333
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡紅,3,319,79,78,18,0.5822784810126582,0.3142857142857143,0.55,0.4,0.5716101694915254
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡紅,4,320,78,75,21,0.5769230769230769,0.325,0.6842105263157895,0.4406779661016949,0.6132917038358608
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡紅,5,319,79,78,18,0.5569620253164557,0.30952380952380953,0.6842105263157895,0.4262295081967213,0.6004385964912281
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡紅,1,316,82,77,19,0.7682926829268293,0.5384615384615384,0.35,0.42424242424242425,0.6266129032258064
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡紅,2,318,80,76,20,0.5125,0.1935483870967742,0.3,0.23529411764705882,0.44166666666666665
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡紅,3,319,79,78,18,0.6329113924050633,0.32,0.4,0.35555555555555557,0.5559322033898305
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡紅,4,320,78,75,21,0.6794871794871795,0.35,0.3684210526315789,0.358974358974359,0.5740410347903657
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡紅,5,319,79,78,18,0.5822784810126582,0.26666666666666666,0.42105263157894735,0.32653061224489793,0.5271929824561403
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡白,1,377,95,79,19,0.8736842105263158,0.0,0.0,0.0,0.45604395604395603
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡白,2,379,93,79,19,0.6129032258064516,0.02857142857142857,0.3333333333333333,0.05263157894736842,0.47777777777777775
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡白,3,379,93,78,20,0.8602150537634409,0.0,0.0,0.0,0.43478260869565216
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡白,4,376,96,78,20,0.6979166666666666,0.1,0.6,0.17142857142857143,0.6516483516483517
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡白,5,377,95,78,20,0.7894736842105263,0.05555555555555555,0.25,0.09090909090909091,0.5315934065934066
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡白,1,377,95,79,19,0.7473684210526316,0.0,0.0,0.0,0.3901098901098901
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡白,2,379,93,79,19,0.7204301075268817,0.07407407407407407,0.6666666666666666,0.13333333333333333,0.6944444444444444
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡白,3,379,93,78,20,0.6129032258064516,0.0,0.0,0.0,0.30978260869565216
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡白,4,376,96,78,20,0.625,0.05714285714285714,0.4,0.1,0.5186813186813186
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡白,5,377,95,78,20,0.7473684210526316,0.08333333333333333,0.5,0.14285714285714285,0.6291208791208791
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,鮮紅,1,279,69,68,18,0.6811594202898551,0.4857142857142857,0.8095238095238095,0.6071428571428571,0.7172619047619048
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,鮮紅,2,277,71,70,16,0.6901408450704225,0.5,0.9545454545454546,0.65625,0.762987012987013
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,鮮紅,3,278,70,70,16,0.5857142857142857,0.3953488372093023,0.85,0.5396825396825397,0.665
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,鮮紅,4,279,69,68,18,0.6956521739130435,0.5,0.7619047619047619,0.6037735849056604,0.7142857142857142
