image_id,舌中_暗紅,舌中_淡白,舌中_淡紅,舌中_灰黑,舌中_青紫,舌中_鮮紅,舌右邊_暗紅,舌右邊_淡白,舌右邊_淡紅,舌右邊_灰黑,舌右邊_青紫,舌右邊_鮮紅,舌尖_暗紅,舌尖_淡白,舌尖_淡紅,舌尖_灰黑,舌尖_青紫,舌尖_鮮紅,舌左邊_暗紅,舌左邊_淡白,舌左邊_淡紅,舌左邊_灰黑,舌左邊_青紫,舌左邊_鮮紅,舌根_暗紅,舌根_淡白,舌根_淡紅,舌根_灰黑,舌根_青紫,舌根_鮮紅
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,1,0,0,0,0,0
10,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,0,1
100,0,0,-1,0,-1,-1,0,0,-1,0,-1,-1,0,0,0,0,1,-1,0,0,-1,0,-1,-1,-1,0,-1,0,0,0
11,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
12,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
13,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,-1,-1,0,0,0
14,0,0,1,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
16,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
17,-1,0,-1,0,0,0,1,0,0,0,0,0,-1,0,1,0,-1,0,1,0,0,0,-1,0,1,0,-1,0,0,0
18,0,0,1,0,0,0,0,0,-1,0,-1,0,0,0,1,0,0,0,0,0,-1,0,-1,0,0,0,1,0,0,0
19,0,0,1,0,0,0,0,0,1,0,-1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2,0,0,-1,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0
20,0,0,-1,0,-1,0,0,-1,-1,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,1,0,0,0
21,0,0,1,0,-1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
22,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,0,1
23,0,0,1,0,0,0,0,0,1,0,-1,0,0,0,-1,0,0,0,0,0,1,0,-1,0,0,0,1,0,0,0
24,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,1,0,-1,0,0,0,-1,0,0,0,0,0,0,0
25,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0
26,0,0,1,0,0,0,0,0,-1,0,-1,-1,0,0,1,0,0,0,0,0,-1,0,-1,-1,0,0,-1,0,0,0
27,0,0,1,0,0,0,0,-1,1,0,0,0,0,-1,1,0,-1,0,0,-1,-1,0,0,0,0,0,1,0,0,0
28,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
29,0,0,1,0,0,0,-1,0,1,0,0,0,0,0,1,0,0,0,-1,0,-1,0,0,0,-1,0,1,0,0,0
3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
30,0,-1,-1,0,-1,0,-1,-1,0,0,0,0,0,-1,-1,0,-1,0,-1,-1,0,0,0,0,0,-1,-1,0,0,0
31,-1,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,0,-1
