segmentation_method,model,region,color,n_samples,n_patients,accuracy,precision,recall,f1,balanced_accuracy,TN,FP,FN,TP
tip_middle_root_1_2_2,SVM,舌尖,淡紅,77,77,0.7272727272727273,0.46153846153846156,0.631578947368421,0.5333333333333333,0.6950998185117967,44,14,7,12
tip_middle_root_1_2_2,SVM,舌尖,淡白,94,94,0.9148936170212766,0.2,1.0,0.3333333333333333,0.9565217391304348,84,8,0,2
tip_middle_root_1_2_2,SVM,舌尖,鮮紅,72,72,0.7222222222222222,0.6176470588235294,0.75,0.6774193548387096,0.7272727272727273,31,13,7,21
tip_middle_root_1_2_2,SVM,舌尖,暗紅,81,81,0.6296296296296297,0.19230769230769232,0.35714285714285715,0.25,0.5218550106609808,46,21,9,5
tip_middle_root_1_2_2,SVM,舌尖,青紫,79,79,0.6708860759493671,0.2692307692307692,0.5,0.35,0.6038461538461539,46,19,7,7
tip_middle_root_1_2_2,SVM,舌中,淡紅,74,74,0.6891891891891891,0.4230769230769231,0.5789473684210527,0.4888888888888889,0.65311004784689,40,15,8,11
tip_middle_root_1_2_2,SVM,舌中,淡白,95,95,0.7684210526315789,0.08695652173913043,0.6666666666666666,0.15384615384615385,0.7192028985507246,71,21,1,2
tip_middle_root_1_2_2,SVM,舌中,鮮紅,67,67,0.8955223880597015,0.8888888888888888,0.5714285714285714,0.6956521739130435,0.7762803234501348,52,1,6,8
tip_middle_root_1_2_2,SVM,舌中,暗紅,78,78,0.6153846153846154,0.32142857142857145,0.45,0.375,0.5612068965517242,39,19,11,9
tip_middle_root_1_2_2,SVM,舌中,青紫,80,80,0.7,0.20833333333333334,0.5,0.29411764705882354,0.6142857142857143,51,19,5,5
tip_middle_root_1_2_2,SVM,舌左邊,淡紅,86,86,0.7209302325581395,0.45161290322580644,0.6666666666666666,0.5384615384615384,0.7025641025641025,48,17,7,14
tip_middle_root_1_2_2,SVM,舌左邊,淡白,95,95,0.8736842105263158,0.26666666666666666,0.8,0.4,0.8388888888888889,79,11,1,4
tip_middle_root_1_2_2,SVM,舌左邊,鮮紅,73,73,0.7534246575342466,0.6666666666666666,0.6153846153846154,0.64,0.7225859247135843,39,8,10,16
tip_middle_root_1_2_2,SVM,舌左邊,暗紅,81,81,0.5308641975308642,0.25,0.45,0.32142857142857145,0.5036885245901639,34,27,11,9
tip_middle_root_1_2_2,SVM,舌左邊,青紫,71,71,0.6901408450704225,0.2692307692307692,0.7,0.3888888888888889,0.6942622950819672,42,19,3,7
tip_middle_root_1_2_2,SVM,舌右邊,淡紅,83,83,0.7590361445783133,0.5,0.6,0.5454545454545454,0.7047619047619047,51,12,8,12
tip_middle_root_1_2_2,SVM,舌右邊,淡白,93,93,0.9247311827956989,0.3333333333333333,0.75,0.46153846153846156,0.8412921348314606,83,6,1,3
tip_middle_root_1_2_2,SVM,舌右邊,鮮紅,73,73,0.7534246575342466,0.6111111111111112,0.8461538461538461,0.7096774193548387,0.7741407528641571,33,14,4,22
tip_middle_root_1_2_2,SVM,舌右邊,暗紅,81,81,0.5185185185185185,0.2631578947368421,0.47619047619047616,0.3389830508474576,0.5047619047619047,32,28,11,10
tip_middle_root_1_2_2,SVM,舌右邊,青紫,71,71,0.6619718309859155,0.24,0.5454545454545454,0.3333333333333333,0.6143939393939394,41,19,5,6
