segmentation_method,model,region,n_common_colors,common_colors,n_binary_decisions,n_patients,macro_accuracy,macro_precision,macro_recall,macro_f1,macro_balanced_accuracy,micro_accuracy,micro_precision,micro_recall,micro_f1,micro_balanced_accuracy,micro_TN,micro_FP,micro_FN,micro_TP,macro_f1_rank,micro_f1_rank
tip_middle_root_1_2_2,SVM,舌尖,5,"淡紅,淡白,鮮紅,暗紅,青紫",403,100,0.7329808544190446,0.3481447963800905,0.6477443609022557,0.4288172043010753,0.7009190898844188,0.739454094292804,0.38524590163934425,0.6103896103896104,0.4723618090452261,0.6901641303481794,251,75,30,47,3,2
tip_middle_root_1_2_2,SVM,舌中,5,"淡紅,淡白,鮮紅,暗紅,青紫",394,100,0.733703449053017,0.3857368476933694,0.5534085213032581,0.4015009727413819,0.6648171761370376,0.7309644670050761,0.3181818181818182,0.5303030303030303,0.3977272727272727,0.6508222468588323,253,75,31,35,4,4
tip_middle_root_1_2_2,SVM,舌左邊,5,"淡紅,淡白,鮮紅,暗紅,青紫",406,100,0.7138088286439978,0.38083540115798176,0.6464102564102564,0.4577557997557998,0.6923979471677413,0.7192118226600985,0.3787878787878788,0.6097560975609756,0.4672897196261682,0.6783348389039445,242,82,32,50,2,3
tip_middle_root_1_2_2,SVM,舌右邊,5,"淡紅,淡白,鮮紅,暗紅,青紫",401,100,0.7235364668825386,0.38952046783625727,0.6435597735597736,0.4777973621057273,0.6878701273226733,0.7306733167082294,0.4015151515151515,0.6463414634146342,0.4953271028037383,0.6993462802966588,240,79,29,53,1,1
tip_middle_root_1_2_2,SVM,舌根,5,"淡紅,淡白,鮮紅,暗紅,青紫",406,100,0.7647512625327237,0.26705882352941174,0.3119298245614035,0.26436564223798265,0.5608084876930854,0.7783251231527094,0.27848101265822783,0.4,0.3283582089552239,0.6188034188034188,294,57,33,22,5,5
tip_middle_root_1_2_2,Random Forest,舌尖,5,"淡紅,淡白,鮮紅,暗紅,青紫",403,100,0.7796300420144571,0.49114661654135344,0.4015037593984962,0.42864661654135344,0.6248765301388755,0.7890818858560794,0.4473684210526316,0.44155844155844154,0.4444444444444444,0.6563620428651104,284,42,43,34,2,3
tip_middle_root_1_2_2,Random Forest,舌中,5,"淡紅,淡白,鮮紅,暗紅,青紫",394,100,0.8258277833395666,0.4114285714285715,0.33917293233082707,0.36378476972184226,0.62110197464494,0.8274111675126904,0.4827586206896552,0.42424242424242425,0.45161290322580644,0.6663895048041389,298,30,38,28,4,2
tip_middle_root_1_2_2,Random Forest,舌左邊,5,"淡紅,淡白,鮮紅,暗紅,青紫",406,100,0.7698010564229418,0.39679427326486144,0.38600732600732607,0.3857727723121188,0.6164153116193576,0.7758620689655172,0.4444444444444444,0.43902439024390244,0.44171779141104295,0.6500677506775068,279,45,46,36,3,4
tip_middle_root_1_2_2,Random Forest,舌右邊,5,"淡紅,淡白,鮮紅,暗紅,青紫",401,100,0.7914827733756533,0.4738655462184874,0.43813519813519813,0.4403288820218519,0.6449365736396576,0.7980049875311721,0.5058823529411764,0.524390243902439,0.5149700598802395,0.6963644009480847,277,42,39,43,1,1
tip_middle_root_1_2_2,Random Forest,舌根,5,"淡紅,淡白,鮮紅,暗紅,青紫",406,100,0.8043456609542281,0.217979797979798,0.2242105263157895,0.22077220077220078,0.5506729276786884,0.8201970443349754,0.32,0.2909090909090909,0.3047619047619048,0.5970214970214971,317,34,39,16,5,5
tip_middle_root_1_2_2,CNN,舌尖,5,"淡紅,淡白,鮮紅,暗紅,青紫",403,100,0.7497324313376023,0.21369168356997972,0.41917293233082703,0.28281409975135297,0.5933705562725362,0.7617866004962779,0.40404040404040403,0.5194805194805194,0.45454545454545453,0.6692494621942475,267,59,37,40,3,1
tip_middle_root_1_2_2,CNN,舌中,5,"淡紅,淡白,鮮紅,暗紅,青紫",394,100,0.5925567003041473,0.19235067582873971,0.3751629072681704,0.24164571251188788,0.5007780402219478,0.5913705583756346,0.17687074829931973,0.3939393939393939,0.24413145539906103,0.5125184774575018,207,121,40,26,4,5
tip_middle_root_1_2_2,CNN,舌左邊,5,"淡紅,淡白,鮮紅,暗紅,青紫",406,100,0.6490889239966492,0.27241442767758556,0.46216117216117214,0.33286430257884314,0.5549774495937733,0.6502463054187192,0.3026315789473684,0.5609756097560976,0.39316239316239315,0.6169075579644685,218,106,36,46,1,3
tip_middle_root_1_2_2,CNN,舌右邊,5,"淡紅,淡白,鮮紅,暗紅,青紫",401,100,0.6618300796890068,0.236489898989899,0.4742124542124542,0.3068559996096228,0.5636991258004884,0.6658354114713217,0.32894736842105265,0.6097560975609756,0.42735042735042733,0.6450034406300176,217,102,32,50,2,2
tip_middle_root_1_2_2,CNN,舌根,5,"淡紅,淡白,鮮紅,暗紅,青紫",406,100,0.7204882302330626,0.2371662763466042,0.3556140350877193,0.23202087286527515,0.5550149957421605,0.7266009852216748,0.2358490566037736,0.45454545454545453,0.3105590062111801,0.6118881118881119,270,81,30,25,5,4
tip_middle_root_1_3_1,SVM,舌尖,5,"淡紅,淡白,鮮紅,暗紅,青紫",403,100,0.7444528044133036,0.3550682261208577,0.6406015037593985,0.4386253574986343,0.7029414714948421,0.7518610421836228,0.4017094017094017,0.6103896103896104,0.4845360824742268,0.6978328420046211,256,70,30,47,3,2
