region,color,n_items,unanimous_n,unanimous_rate,three_one_n,three_one_rate,two_two_n,two_two_rate,vote_0,vote_1,vote_2,vote_3,vote_4,fleiss_kappa
舌尖,淡紅,100,43,0.43,34,0.34,23,0.23,36,22,23,12,7,0.2688074777627012
舌尖,淡白,100,85,0.85,9,0.09,6,0.06,84,8,6,1,1,0.32479396286366785
舌尖,鮮紅,100,33,0.33,39,0.39,28,0.28,25,19,28,20,8,0.21530329898143613
舌尖,暗紅,100,35,0.35,46,0.46,19,0.19,34,33,19,13,1,0.12485175643070391
舌尖,青紫,100,35,0.35,44,0.44,21,0.21,33,32,21,12,2,0.13451135953840618
舌尖,灰黑,100,99,0.99,1,0.01,0,0.0,99,1,0,0,0,-0.002506265664176859
舌中,淡紅,100,42,0.42,32,0.32,26,0.26,37,18,26,14,5,0.24619327604402236
舌中,淡白,100,80,0.8,15,0.15,5,0.05,79,13,5,2,1,0.284397104560592
舌中,鮮紅,100,32,0.32,35,0.35,33,0.33,30,23,33,12,2,0.11013488778125081
舌中,暗紅,100,26,0.26,52,0.52,22,0.22,23,35,22,17,3,0.11198456891218113
舌中,青紫,100,43,0.43,37,0.37,20,0.2,42,28,20,9,1,0.14538519189682023
舌中,灰黑,100,98,0.98,2,0.02,0,0.0,98,2,0,0,0,-0.0050251256281513565
舌左邊,淡紅,100,49,0.49,37,0.37,14,0.14,42,23,14,14,7,0.34042280083335774
舌左邊,淡白,100,79,0.79,16,0.16,5,0.05,79,11,5,5,0,0.30809930809930813
舌左邊,鮮紅,100,40,0.4,33,0.33,27,0.27,30,17,27,16,10,0.27973068190714734
舌左邊,暗紅,100,33,0.33,48,0.48,19,0.19,32,29,19,19,1,0.1574754901960782
舌左邊,青紫,100,33,0.33,38,0.38,29,0.29,31,30,29,8,2,0.08730158730158746
舌左邊,灰黑,100,100,1.0,0,0.0,0,0.0,100,0,0,0,0,
舌右邊,淡紅,100,50,0.5,33,0.33,17,0.17,43,20,17,13,7,0.34042280083335796
舌右邊,淡白,100,79,0.79,14,0.14,7,0.07,79,10,7,4,0,0.287749287749288
舌右邊,鮮紅,100,40,0.4,33,0.33,27,0.27,30,17,27,16,10,0.27973068190714734
舌右邊,暗紅,100,33,0.33,48,0.48,19,0.19,32,28,19,20,1,0.16429249762583084
舌右邊,青紫,100,35,0.35,36,0.36,29,0.29,33,27,29,9,2,0.11111111111111129
舌右邊,灰黑,100,100,1.0,0,0.0,0,0.0,100,0,0,0,0,
舌根,淡紅,100,41,0.41,37,0.37,22,0.22,37,22,22,15,4,0.23471104573466786
舌根,淡白,100,84,0.84,11,0.11,5,0.05,84,8,5,3,0,0.2983152947406738
舌根,鮮紅,100,33,0.33,30,0.3,37,0.37,31,22,37,8,2,0.08854166666666663
舌根,暗紅,100,26,0.26,47,0.47,27,0.27,23,30,27,17,3,0.10731090855314497
舌根,青紫,100,78,0.78,19,0.19,3,0.03,77,17,3,2,1,0.2403600033027827
舌根,灰黑,100,92,0.92,8,0.08,0,0.0,92,8,0,0,0,-0.02040816326530381
