segmentation_method,model,region,n_evaluable_colors,macro_accuracy,macro_precision,macro_recall,macro_f1,macro_balanced_accuracy
tip_middle_root_1_2_2,SVM,舌尖,5,0.7329808544190446,0.3481447963800905,0.6477443609022557,0.4288172043010753,0.7009190898844188
tip_middle_root_1_2_2,SVM,舌中,5,0.733703449053017,0.3857368476933694,0.5534085213032581,0.4015009727413819,0.6648171761370376
tip_middle_root_1_2_2,SVM,舌左邊,5,0.7138088286439978,0.38083540115798176,0.6464102564102564,0.4577557997557998,0.6923979471677413
tip_middle_root_1_2_2,SVM,舌右邊,5,0.7235364668825386,0.38952046783625727,0.6435597735597736,0.4777973621057273,0.6878701273226733
tip_middle_root_1_2_2,SVM,舌根,5,0.7647512625327237,0.26705882352941174,0.3119298245614035,0.26436564223798265,0.5608084876930854
tip_middle_root_1_2_2,Random Forest,舌尖,5,0.7796300420144571,0.49114661654135344,0.4015037593984962,0.42864661654135344,0.6248765301388755
tip_middle_root_1_2_2,Random Forest,舌中,5,0.8258277833395666,0.4114285714285715,0.33917293233082707,0.36378476972184226,0.62110197464494
tip_middle_root_1_2_2,Random Forest,舌左邊,5,0.7698010564229418,0.39679427326486144,0.38600732600732607,0.3857727723121188,0.6164153116193576
tip_middle_root_1_2_2,Random Forest,舌右邊,5,0.7914827733756533,0.4738655462184874,0.43813519813519813,0.4403288820218519,0.6449365736396576
tip_middle_root_1_2_2,Random Forest,舌根,5,0.8043456609542281,0.217979797979798,0.2242105263157895,0.22077220077220078,0.5506729276786884
tip_middle_root_1_2_2,CNN,舌尖,5,0.7497324313376023,0.21369168356997972,0.41917293233082703,0.28281409975135297,0.5933705562725362
tip_middle_root_1_2_2,CNN,舌中,5,0.5925567003041473,0.19235067582873971,0.3751629072681704,0.24164571251188788,0.5007780402219478
tip_middle_root_1_2_2,CNN,舌左邊,5,0.6490889239966492,0.27241442767758556,0.46216117216117214,0.33286430257884314,0.5549774495937733
tip_middle_root_1_2_2,CNN,舌右邊,5,0.6618300796890068,0.236489898989899,0.4742124542124542,0.3068559996096228,0.5636991258004884
tip_middle_root_1_2_2,CNN,舌根,5,0.7204882302330626,0.2371662763466042,0.3556140350877193,0.23202087286527515,0.5550149957421605
tip_middle_root_1_3_1,SVM,舌尖,5,0.7444528044133036,0.3550682261208577,0.6406015037593985,0.4386253574986343,0.7029414714948421
tip_middle_root_1_3_1,SVM,舌中,5,0.7792367724241253,0.411281045751634,0.545889724310777,0.42240500240500245,0.6872524314778088
tip_middle_root_1_3_1,SVM,舌左邊,5,0.7181678084997941,0.3898812992281552,0.6722710622710623,0.4671679845360551,0.7078833600999628
tip_middle_root_1_3_1,SVM,舌右邊,5,0.7256916006833553,0.39451659451659443,0.6358674658674659,0.47115995222259227,0.6891273397094577
tip_middle_root_1_3_1,SVM,舌根,5,0.7864493785639326,0.28233766233766233,0.3019298245614035,0.2508943089430894,0.5694644435335213
tip_middle_root_1_3_1,Random Forest,舌尖,5,0.7751439579296658,0.304177807486631,0.30187969924812025,0.30133333333333334,0.5741225315844055
tip_middle_root_1_3_1,Random Forest,舌中,5,0.8309129494773643,0.4101863354037267,0.3396992481203008,0.36420168067226893,0.6243643147667451
tip_middle_root_1_3_1,Random Forest,舌左邊,5,0.7825390507944172,0.3608543630282761,0.3787179487179487,0.36778839195252566,0.6178105855311994
tip_middle_root_1_3_1,Random Forest,舌右邊,5,0.7803359043157695,0.34603991596638656,0.3550449550449551,0.3481737895530999,0.6024265867476482
tip_middle_root_1_3_1,Random Forest,舌根,5,0.7876317906321102,0.2330952380952381,0.19929824561403509,0.21393939393939393,0.5377840430075803
tip_middle_root_1_3_1,CNN,舌尖,5,0.7329294056334186,0.177988614800759,0.2699248120300752,0.20444444444444443,0.5174427867410716
tip_middle_root_1_3_1,CNN,舌中,5,0.5832810166804668,0.2245498462889767,0.338546365914787,0.2354657931786397,0.4874868579135934
tip_middle_root_1_3_1,CNN,舌左邊,5,0.6678660649407968,0.2882591093117409,0.36963369963369963,0.280641616448068,0.5412469608057331
tip_middle_root_1_3_1,CNN,舌右邊,5,0.674872601701867,0.21647552447552448,0.41120879120879117,0.2624146387474061,0.5619055806732116
tip_middle_root_1_3_1,CNN,舌根,5,0.6670935739400645,0.1374054054054054,0.2735087719298246,0.14202898550724638,0.49717623771892017
