region,color,positive,negative,uncertain,evaluable
舌尖,淡紅,19,58,23,True
舌尖,淡白,2,92,6,True
舌尖,鮮紅,28,44,28,True
舌尖,暗紅,14,67,19,True
舌尖,青紫,14,65,21,True
舌尖,灰黑,0,100,0,False
舌中,淡紅,19,55,26,True
舌中,淡白,3,92,5,True
舌中,鮮紅,14,53,33,True
舌中,暗紅,20,58,22,True
舌中,青紫,10,70,20,True
舌中,灰黑,0,100,0,False
舌左邊,淡紅,21,65,14,True
舌左邊,淡白,5,90,5,True
舌左邊,鮮紅,26,47,27,True
舌左邊,暗紅,20,61,19,True
舌左邊,青紫,10,61,29,True
舌左邊,灰黑,0,100,0,False
舌右邊,淡紅,20,63,17,True
舌右邊,淡白,4,89,7,True
舌右邊,鮮紅,26,47,27,True
舌右邊,暗紅,21,60,19,True
舌右邊,青紫,11,60,29,True
舌右邊,灰黑,0,100,0,False
舌根,淡紅,19,59,22,True
舌根,淡白,3,92,5,True
舌根,鮮紅,10,53,37,True
舌根,暗紅,20,53,27,True
舌根,青紫,3,94,3,True
舌根,灰黑,0,100,0,False
