region,color,n_items,unanimous_n,unanimous_rate,three_one_n,three_one_rate,two_two_n,two_two_rate,fleiss_kappa,best_segmentation_method,best_model,best_positive,best_negative,best_f1,best_balanced_accuracy
舌尖,淡紅,100,43,0.43,34,0.34,23,0.23,0.2688074777627012,tip_middle_root_1_2_2,Random Forest,19.0,58.0,0.5789473684210527,0.720508166969147
舌尖,淡白,100,85,0.85,9,0.09,6,0.06,0.32479396286366785,tip_middle_root_1_2_2,Random Forest,2.0,92.0,0.6666666666666666,0.75
舌尖,鮮紅,100,33,0.33,39,0.39,28,0.28,0.21530329898143613,tip_middle_root_1_3_1,SVM,28.0,44.0,0.6875,0.7337662337662337
舌尖,暗紅,100,35,0.35,46,0.46,19,0.19,0.12485175643070391,tip_middle_root_1_2_2,SVM,14.0,67.0,0.25,0.5218550106609808
舌尖,青紫,100,35,0.35,44,0.44,21,0.21,0.13451135953840618,tip_middle_root_1_2_2,SVM,14.0,65.0,0.35,0.6038461538461539
舌尖,灰黑,100,99,0.99,1,0.01,0,0.0,-0.002506265664176859,,,,,,
舌中,淡紅,100,42,0.42,32,0.32,26,0.26,0.24619327604402236,tip_middle_root_1_3_1,Random Forest,19.0,55.0,0.6190476190476191,0.7511961722488039
舌中,淡白,100,80,0.8,15,0.15,5,0.05,0.284397104560592,tip_middle_root_1_3_1,SVM,3.0,92.0,0.19047619047619047,0.7463768115942029
舌中,鮮紅,100,32,0.32,35,0.35,33,0.33,0.11013488778125081,tip_middle_root_1_2_2,Random Forest,14.0,53.0,0.8333333333333334,0.8571428571428572
舌中,暗紅,100,26,0.26,52,0.52,22,0.22,0.11198456891218113,tip_middle_root_1_3_1,SVM,20.0,58.0,0.4888888888888889,0.6543103448275862
舌中,青紫,100,43,0.43,37,0.37,20,0.2,0.14538519189682023,tip_middle_root_1_3_1,SVM,10.0,70.0,0.2962962962962963,0.6071428571428572
舌中,灰黑,100,98,0.98,2,0.02,0,0.0,-0.0050251256281513565,,,,,,
舌左邊,淡紅,100,49,0.49,37,0.37,14,0.14,0.34042280083335774,tip_middle_root_1_3_1,Random Forest,21.0,65.0,0.5957446808510638,0.7410256410256411
舌左邊,淡白,100,79,0.79,16,0.16,5,0.05,0.30809930809930813,tip_middle_root_1_3_1,SVM,5.0,90.0,0.45454545454545453,0.9333333333333333
舌左邊,鮮紅,100,40,0.4,33,0.33,27,0.27,0.27973068190714734,tip_middle_root_1_3_1,SVM,26.0,47.0,0.7058823529411765,0.7716857610474632
舌左邊,暗紅,100,33,0.33,48,0.48,19,0.19,0.1574754901960782,tip_middle_root_1_3_1,SVM,20.0,61.0,0.33962264150943394,0.5282786885245901
舌左邊,青紫,100,33,0.33,38,0.38,29,0.29,0.08730158730158746,tip_middle_root_1_2_2,SVM,10.0,61.0,0.3888888888888889,0.6942622950819672
舌左邊,灰黑,100,100,1.0,0,0.0,0,0.0,,,,,,,
舌右邊,淡紅,100,50,0.5,33,0.33,17,0.17,0.34042280083335796,tip_middle_root_1_3_1,SVM,20.0,63.0,0.5853658536585366,0.7285714285714285
舌右邊,淡白,100,79,0.79,14,0.14,7,0.07,0.287749287749288,tip_middle_root_1_2_2,SVM,4.0,89.0,0.46153846153846156,0.8412921348314606
舌右邊,鮮紅,100,40,0.4,33,0.33,27,0.27,0.27973068190714734,tip_middle_root_1_2_2,Random Forest,26.0,47.0,0.7666666666666667,0.8252864157119476
舌右邊,暗紅,100,33,0.33,48,0.48,19,0.19,0.16429249762583084,tip_middle_root_1_2_2,CNN,21.0,60.0,0.4927536231884058,0.6464285714285715
舌右邊,青紫,100,35,0.35,36,0.36,29,0.29,0.11111111111111129,tip_middle_root_1_2_2,SVM,11.0,60.0,0.3333333333333333,0.6143939393939394
舌右邊,灰黑,100,100,1.0,0,0.0,0,0.0,,,,,,,
舌根,淡紅,100,41,0.41,37,0.37,22,0.22,0.23471104573466786,tip_middle_root_1_3_1,SVM,19.0,59.0,0.4878048780487805,0.6614629794826048
舌根,淡白,100,84,0.84,11,0.11,5,0.05,0.2983152947406738,tip_middle_root_1_2_2,CNN,3.0,92.0,0.06451612903225806,0.519927536231884
舌根,鮮紅,100,33,0.33,30,0.3,37,0.37,0.08854166666666663,tip_middle_root_1_2_2,Random Forest,10.0,53.0,0.5714285714285714,0.7528301886792452
舌根,暗紅,100,26,0.26,47,0.47,27,0.27,0.10731090855314497,tip_middle_root_1_3_1,SVM,20.0,53.0,0.4,0.5485849056603773
舌根,青紫,100,78,0.78,19,0.19,3,0.03,0.2403600033027827,tip_middle_root_1_3_1,Random Forest,3.0,94.0,0.3333333333333333,0.6560283687943262
舌根,灰黑,100,92,0.92,8,0.08,0,0.0,-0.02040816326530381,,,,,,
