model,color,n_samples,n_patients,accuracy_1_2_2,precision_1_2_2,recall_1_2_2,f1_1_2_2,balanced_accuracy_1_2_2,accuracy_1_3_1,precision_1_3_1,recall_1_3_1,f1_1_3_1,balanced_accuracy_1_3_1,delta_accuracy,delta_f1,delta_balanced_accuracy,both_correct,only_1_2_2_correct,only_1_3_1_correct,both_wrong,mcnemar_exact_p,bootstrap_valid_iterations,delta_accuracy_ci_lower,delta_accuracy_ci_upper,delta_f1_ci_lower,delta_f1_ci_upper,delta_balanced_accuracy_ci_lower,delta_balanced_accuracy_ci_upper,f1_winner
SVM,淡紅,398,96,0.7110552763819096,0.43703703703703706,0.6020408163265306,0.5064377682403434,0.6743537414965987,0.7437185929648241,0.4838709677419355,0.6122448979591837,0.5405405405405406,0.6994557823129252,0.03266331658291455,0.034102772300197204,0.0251020408163265,277,6,19,96,0.01463329792022705,1000,0.009754645983719936,0.05940594059405946,0.0037031571223990188,0.06508808095952025,0.002493317610062843,0.05004843260747264,1:3:1
SVM,淡白,472,98,0.8792372881355932,0.1774193548387097,0.6470588235294118,0.27848101265822783,0.7674854557207498,0.885593220338983,0.19672131147540983,0.7058823529411765,0.3076923076923077,0.7990950226244344,0.006355932203389814,0.029211295034079876,0.03160956690368466,406,9,12,45,0.6636238098144531,993,-0.01073422862153306,0.02710599721059971,-0.015144542468486132,0.08449472096530918,-0.004494382022471899,0.09591526739401814,1:3:1
SVM,鮮紅,348,86,0.7931034482758621,0.6481481481481481,0.6730769230769231,0.660377358490566,0.7586696090794451,0.7931034482758621,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.7531525851197982,0.0,-0.006531204644412147,-0.005517023959646927,265,11,11,61,1.0,1000,-0.02353114697206319,0.025352112676056304,-0.045340436703420875,0.03360027064185359,-0.033983108777491666,0.023105951193446574,1:2:2
SVM,暗紅,394,98,0.5558375634517766,0.25308641975308643,0.43157894736842106,0.31906614785992216,0.5134483365604647,0.6116751269035533,0.30405405405405406,0.47368421052631576,0.37037037037037035,0.5646013025875726,0.055837563451776706,0.051304222510448194,0.05115296602710784,203,16,38,137,0.003838265880326097,1000,0.01494910560138123,0.10121276986117057,-0.0028317692083791824,0.10508280811272636,0.0052993793720277306,0.10254173198753898,1:3:1
SVM,青紫,398,100,0.7386934673366834,0.24074074074074073,0.5416666666666666,0.3333333333333333,0.6536904761904762,0.7311557788944724,0.22429906542056074,0.5,0.3096774193548387,0.6314285714285715,-0.007537688442211032,-0.02365591397849459,-0.022261904761904705,279,15,12,92,0.7011080384254456,1000,-0.03876220026509224,0.023758361177304867,-0.07211314414956799,0.02444093099114148,-0.06653642464647813,0.023168748043560745,1:2:2
Random Forest,淡紅,398,96,0.7663316582914573,0.5263157894736842,0.5102040816326531,0.5181347150259067,0.6801020408163265,0.7663316582914573,0.5257731958762887,0.5204081632653061,0.5230769230769231,0.6835374149659864,0.0,0.004942208051016417,0.0034353741496598866,284,21,21,72,1.0,1000,-0.028575158522939213,0.029351879699248094,-0.04523770801937179,0.05825907941722239,-0.03039729575360171,0.03871246589457807,1:3:1
Random Forest,淡白,472,98,0.951271186440678,0.25,0.17647058823529413,0.20689655172413793,0.5783451842275371,0.9491525423728814,0.0,0.0,0.0,0.49230769230769234,-0.0021186440677966045,-0.20689655172413793,-0.08603749191984478,444,5,4,19,1.0,993,-0.019075893339091054,0.01274427429190945,-0.4,0.0,-0.18078225619697116,0.005323695217312273,1:2:2
Random Forest,鮮紅,348,86,0.7988505747126436,0.6491228070175439,0.7115384615384616,0.6788990825688074,0.7738020176544766,0.7902298850574713,0.6476190476190476,0.6538461538461539,0.6507177033492823,0.7511034047919294,-0.008620689655172376,-0.028181379219525127,-0.022698612862547263,266,12,9,61,0.6636238098144531,1000,-0.032271285034373313,0.014925373134328294,-0.07352886381297394,0.015719828794757425,-0.05711472920940741,0.009616664013101,1:2:2
Random Forest,暗紅,394,98,0.649746192893401,0.24705882352941178,0.22105263157894736,0.23333333333333334,0.5035029044182362,0.6421319796954315,0.23255813953488372,0.21052631578947367,0.22099447513812154,0.4948952649181482,-0.0076142131979695105,-0.0123388581952118,-0.008607639500087971,220,36,33,105,0.8099490529189246,1000,-0.05199705954422937,0.03684453548118317,-0.09125487393372057,0.06880489643169103,-0.05669048470918416,0.04294563372845422,1:2:2
Random Forest,青紫,398,100,0.8140703517587939,0.20454545454545456,0.1875,0.1956521739130435,0.54375,0.8165829145728644,0.2222222222222222,0.20833333333333334,0.21505376344086022,0.5541666666666667,0.002512562814070418,0.01940158952781673,0.01041666666666674,309,15,16,58,1.0,1000,-0.025258967223252986,0.03465777547904036,-0.050000224860586424,0.091634512830165,-0.02919248461296114,0.05359470686942173,1:3:1
