delta_accuracy,delta_f1,delta_balanced_accuracy,model,color,method_a,method_b
0.02195121951219514,0.01671655537646788,0.007741935483870921,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04668304668304668,0.03466872110939906,0.03403876446818721,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.00512820512820511,0.00550278414674088,0.0033783783783782884,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.027431421446383997,0.01978021978021971,0.007074715408048826,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03731343283582089,0.0322204827611316,0.024038461538461453,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.038277511961722466,0.03818487394957987,0.03211613193307006,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.035532994923857864,0.026217228464419484,0.021406727828746197,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.025380710659898442,0.029475541181226805,0.020919599723947524,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04975124378109452,0.058816371232709996,0.049355456700327816,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03544303797468362,0.04738287656345708,0.03373259623259628,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.017326732673267342,0.012094630515683158,0.011111111111111072,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04712041884816753,0.05635933806146576,0.04517996020980286,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04106280193236722,0.05412076119616538,0.04192546583850931,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.029556650246305383,0.028529589111895848,0.019736842105263164,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.02506265664160401,0.01753811697820651,0.01236263736263743,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03740648379052369,0.03469079939668174,0.028034251675353672,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.035805626598465534,0.03530310150375937,0.0304339477726574,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03385416666666674,0.045209176788124195,0.03220686123911931,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.038071065989847774,0.042216546047963655,0.03226544622425631,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.031088082901554404,0.05126945126945126,0.03788392251988726,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.05597964376590325,0.050302561014081315,0.03993296347665276,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04415584415584417,0.03152836380684476,0.020144668274091893,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.01210653753026636,0.02167330677290835,0.017788913247729354,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.036945812807881784,0.03713897061149596,0.03104290731409376,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.029556650246305383,0.04603505331535729,0.030506029063176343,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03608247422680411,0.02564102564102566,0.019686069326357192,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.031325301204819245,0.022061596480201118,0.019877675840978548,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.06537530266343827,0.07400220982563932,0.06282788257618033,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.051980198019802026,0.06368899917287019,0.04220871327254294,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04040404040404044,0.03266496536638719,0.025477707006369532,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.02518891687657432,0.023622632165407942,0.0203553065766251,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.0314009661835748,0.026147077309867983,0.019230769230769162,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.030534351145038108,0.02120075046904324,0.017434808975136384,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03855421686746985,0.04209837495910135,0.028682855605932533,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.05555555555555558,0.06731772067886599,0.05159474671669795,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.043165467625899345,0.039580374730862566,0.03548494983277595,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.029268292682926855,0.027836134453781525,0.016779248018259807,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04210526315789476,0.04479837747554283,0.03748888041682563,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.038167938931297773,0.03812624144780402,0.028605599560818762,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.029999999999999916,0.0272105081230557,0.021201413427561766,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.019464720194647178,0.026081802015411992,0.019214215445155003,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04724409448818889,0.05382305382305386,0.04201324990798683,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.032258064516129115,0.03484042553191491,0.024726257782866967,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03535353535353536,0.03679859040390343,0.030069930069930084,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.047169811320754707,0.04786967418546367,0.0338669038091004,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.010101010101010055,0.009463276836158219,0.00692041522491349,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.017948717948717996,0.02378054082253711,0.01568237454100363,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.018617021276595702,0.0123987854251012,0.011458333333333348,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.033333333333333326,0.03366701528960603,0.021594684385382035,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.024691358024691357,0.02066115702479343,0.01724137931034475,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03260869565217395,0.033281039892424924,0.02532234199957728,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.024390243902439046,0.04368686868686866,0.032003060053550914,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.029055690072639195,0.037735849056603765,0.026748251748251684,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.024193548387096753,0.014435742899418957,0.00932927987839638,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.021897810218978075,0.012161330049261065,0.008731127039804831,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.041871921182266014,0.04094307073030479,0.03442940643265713,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.027972027972028024,0.02576950608446671,0.018404907975460016,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.032418952618453956,0.030601708438937336,0.024950495049504973,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04938271604938271,0.049624060150376015,0.042325321737086474,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.010582010582010581,0.0064537665516857246,0.0036569148936170803,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.032098765432098775,0.037812460347671606,0.028166421207658332,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.052219321148825104,0.05398496566365546,0.041791150946080546,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.007389162561576401,0.011800172265288511,0.00857123226493528,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03157894736842104,0.034467614677509695,0.027682137446632615,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03856041131105403,0.04071627404545264,0.02895131086142322,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04580152671755722,0.04608993915576465,0.03416471375962504,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.05797101449275366,0.054004886835862964,0.04504473854319058,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.06516290726817042,0.06826558949760164,0.05004437768826375,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04292929292929293,0.04180327868852457,0.026073619631901912,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.02375296912114022,0.028003099974166945,0.019116832779623394,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04155844155844157,0.0514492753623188,0.03905345984725761,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.05943152454780365,0.0700317041780456,0.056502525252525304,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.027989821882951627,0.024074739489759245,0.020912547528517123,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.007211538461538436,0.003630872051924583,0.0029282977558839907,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.01732673267326723,0.00991183080735314,0.010169834794433341,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04799999999999993,0.03575696438271131,0.03260869565217406,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04379562043795615,0.04941176470588238,0.0389777270131354,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.02750000000000008,0.03254045450526133,0.026353276353276334,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.040609137055837574,0.037190082644628086,0.03051020408163263,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04176904176904184,0.03445822562667489,0.03258008512544808,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.0531400966183575,0.05352707401887735,0.03954524415644545,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.022222222222222254,0.027837547068316315,0.02014806717678641,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04622871046228716,0.05811965811965808,0.03884655913106916,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.0450928381962864,0.04633378317588843,0.0374731287863983,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.02864583333333337,0.03990827926037954,0.026216605697816142,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
-0.0052631578947368585,-0.00925925925925919,-0.006619286510590849,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04534005037783373,0.0390625,0.033573994983390976,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03535353535353536,0.044719970327981806,0.030212084833933672,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03874092009685226,0.027559055118110187,0.024709883953581424,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03886010362694303,0.05001241442911364,0.035638027452974064,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.007425742574257432,0.0025348542458808465,-0.00015124016938905527,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.025575447570332477,0.03539019963702361,0.025594235448250124,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.026506024096385583,0.028118929241710888,0.020997260593343836,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.032745591939546626,0.030460251046025122,0.025202020202020226,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03282828282828276,0.036678591602334776,0.029805996472663132,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.05432098765432103,0.06119909502262444,0.051651996032730074,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.058673469387755084,0.06553797694895841,0.05272108843537415,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.0581113801452785,0.05996260683760679,0.041485935856992784,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.012562814070351758,0.01925327092862461,0.01450043356778119,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.027918781725888353,0.021856372409877922,0.019230769230769273,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.023195876288659822,0.02358078602620084,0.01573426573426584,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03693931398416883,0.02604006163328193,0.020396001537870134,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04761904761904756,0.046064485538169775,0.043372262773722636,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03535353535353536,0.030981820455504627,0.027351609657947806,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.017721518987341756,0.0315867707172055,0.02338988029668787,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03201970443349755,0.010832769126607966,0.014633173843700109,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.034146341463414664,0.033490233381988754,0.0259860937550066,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.02015113350125941,0.013676326929338956,0.010151515151515023,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.032581453634085156,0.031073762838468744,0.021739130434782594,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.02067183462532307,0.023023023023023004,0.017223604692499173,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03125,0.033559113300492605,0.025098129762179622,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.0160857908847184,0.02898550724637683,0.023244702949730023,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.023560209424083767,0.02425373134328357,0.015358361774744034,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.0505050505050505,0.044710191769015306,0.025065731814198133,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.024691358024691357,0.030596405882447053,0.022580448561677402,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.05699481865284972,0.05273934698395133,0.04518808829933341,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03749999999999998,0.042592108701332565,0.0343260188087775,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.036407766990291246,0.04244482173174874,0.030867783263949455,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.0,-0.0039118652056086,-0.004129003459435343,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.017948717948717996,0.008932750819160562,0.0052068772714564115,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04123711340206193,0.05330265554596875,0.035146981943941724,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.032994923857868064,0.04033478489144193,0.030786860198624866,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.036407766990291246,0.04782863849765262,0.03074433656957931,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.035805626598465534,0.043057092384446605,0.033449189010261504,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.027027027027026973,0.025876554273552177,0.018771331058020535,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.044117647058823484,0.051190476190476175,0.035931174089068874,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.02421307506053272,0.02352250201894135,0.019507803121248446,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.05263157894736836,0.056795131845841784,0.04519168986935096,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03589743589743588,0.03776397515527952,0.022364217252396235,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03685503685503688,0.04188311688311691,0.03343837535014016,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.025575447570332477,0.0267244492596605,0.0204658605974396,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.05141388174807204,0.060307692307692284,0.05163893629124017,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04500000000000004,0.06807692307692309,0.052956465237167016,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.043927648578811374,0.05824650333239467,0.03952757573617682,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.027707808564231717,0.025354482095650055,0.02190799396681742,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03260869565217395,0.03473389355742296,0.026514020242243252,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03980099502487566,0.040437612519041655,0.033600172308575815,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.045226130653266305,0.060013385885327564,0.04023512719164901,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04146341463414638,0.05020028241261054,0.03680654338549072,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.002450980392156854,-0.0071625796221875815,-0.0059476605868359345,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.02015113350125952,0.02692976565593952,0.01913402802730868,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.02267002518891681,0.03917732896267312,0.030602883355177024,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.015075376884422176,0.003705010585744517,0.0034228187919462805,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03299492385786795,0.028911431915723762,0.02296819787985871,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.01990049751243772,0.023401837861542485,0.016703204927445592,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.028503562945368266,0.022023809523809557,0.01613714353330964,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03667481662591687,0.023963459744604232,0.020621431852483663,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.037220843672456594,0.04103765690376571,0.03126509661835741,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.01790281329923271,0.022757730074803195,0.018179078305660568,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03482587064676612,0.04113224237063251,0.029652127626264235,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.040284360189573376,0.06625778273394667,0.045599415690050105,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03053435114503822,0.051114983458342866,0.0365164247517189,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.0330788804071247,0.02976534876245579,0.02556893798243276,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.015706806282722585,0.0129393642347011,0.005902158843335226,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.028277634961439535,0.034545454545454546,0.022367538564721623,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03266331658291455,0.05102177704243627,0.036636002434048076,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04854368932038833,0.05454059352998841,0.038846153846153975,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.0692307692307692,0.06352411602616692,0.05984724813432829,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03990024937655856,0.039215686274509776,0.02547770700636942,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03960396039603964,0.033989027164458674,0.01900081900081907,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03950617283950608,0.0315598380114509,0.02959016393442615,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03324808184143224,0.03856825749167592,0.030950184501845057,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.025252525252525304,0.031918289179699966,0.024027459954233388,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.037135278514588865,0.03520749858967498,0.02939547912188145,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03233830845771146,0.043837882547559937,0.029200359389038644,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04749999999999999,0.04126698865550937,0.038974483073861865,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.023684210526315752,0.02609598627477544,0.01928891479363226,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.0025445292620864812,0.005962343096234224,0.004347826086956497,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03598971722365041,0.029969201610992702,0.02413044807139797,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03194103194103193,0.03040061337933686,0.021594684385382146,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04336734693877553,0.03822974935871687,0.033364413364413315,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.046798029556650245,0.04064329084842183,0.023544813695871136,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.039408866995073843,0.032591299287065334,0.023323615160349753,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
