segmentation_method,model,color,n_samples,positive,negative,folds,accuracy,precision,recall,f1,balanced_accuracy,TN,FP,FN,TP
tip_middle_root_1_2_2,SVM,淡紅,398,98,300,5,0.7110552763819096,0.43703703703703706,0.6020408163265306,0.5064377682403434,0.6743537414965987,224,76,39,59
tip_middle_root_1_2_2,Random Forest,淡紅,398,98,300,5,0.7663316582914573,0.5263157894736842,0.5102040816326531,0.5181347150259067,0.6801020408163265,255,45,48,50
tip_middle_root_1_3_1,SVM,淡紅,398,98,300,5,0.7437185929648241,0.4838709677419355,0.6122448979591837,0.5405405405405406,0.6994557823129252,236,64,38,60
tip_middle_root_1_3_1,Random Forest,淡紅,398,98,300,5,0.7663316582914573,0.5257731958762887,0.5204081632653061,0.5230769230769231,0.6835374149659864,254,46,47,51
tip_middle_root_1_2_2,SVM,淡白,472,17,455,5,0.8792372881355932,0.1774193548387097,0.6470588235294118,0.27848101265822783,0.7674854557207498,404,51,6,11
tip_middle_root_1_2_2,Random Forest,淡白,472,17,455,5,0.951271186440678,0.25,0.17647058823529413,0.20689655172413793,0.5783451842275371,446,9,14,3
tip_middle_root_1_3_1,SVM,淡白,472,17,455,5,0.885593220338983,0.19672131147540983,0.7058823529411765,0.3076923076923077,0.7990950226244344,406,49,5,12
tip_middle_root_1_3_1,Random Forest,淡白,472,17,455,5,0.9491525423728814,0.0,0.0,0.0,0.49230769230769234,448,7,17,0
tip_middle_root_1_2_2,SVM,鮮紅,348,104,244,5,0.7931034482758621,0.6481481481481481,0.6730769230769231,0.660377358490566,0.7586696090794451,206,38,34,70
tip_middle_root_1_2_2,Random Forest,鮮紅,348,104,244,5,0.7988505747126436,0.6491228070175439,0.7115384615384616,0.6788990825688074,0.7738020176544766,204,40,30,74
tip_middle_root_1_3_1,SVM,鮮紅,348,104,244,5,0.7931034482758621,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.7531525851197982,208,36,36,68
tip_middle_root_1_3_1,Random Forest,鮮紅,348,104,244,5,0.7902298850574713,0.6476190476190476,0.6538461538461539,0.6507177033492823,0.7511034047919294,207,37,36,68
tip_middle_root_1_2_2,SVM,暗紅,394,95,299,5,0.5558375634517766,0.25308641975308643,0.43157894736842106,0.31906614785992216,0.5134483365604647,178,121,54,41
tip_middle_root_1_2_2,Random Forest,暗紅,394,95,299,5,0.649746192893401,0.24705882352941178,0.22105263157894736,0.23333333333333334,0.5035029044182362,235,64,74,21
tip_middle_root_1_3_1,SVM,暗紅,394,95,299,5,0.6116751269035533,0.30405405405405406,0.47368421052631576,0.37037037037037035,0.5646013025875726,196,103,50,45
tip_middle_root_1_3_1,Random Forest,暗紅,394,95,299,5,0.6421319796954315,0.23255813953488372,0.21052631578947367,0.22099447513812154,0.4948952649181482,233,66,75,20
tip_middle_root_1_2_2,SVM,青紫,398,48,350,5,0.7386934673366834,0.24074074074074073,0.5416666666666666,0.3333333333333333,0.6536904761904762,268,82,22,26
tip_middle_root_1_2_2,Random Forest,青紫,398,48,350,5,0.8140703517587939,0.20454545454545456,0.1875,0.1956521739130435,0.54375,315,35,39,9
tip_middle_root_1_3_1,SVM,青紫,398,48,350,5,0.7311557788944724,0.22429906542056074,0.5,0.3096774193548387,0.6314285714285715,267,83,24,24
tip_middle_root_1_3_1,Random Forest,青紫,398,48,350,5,0.8165829145728644,0.2222222222222222,0.20833333333333334,0.21505376344086022,0.5541666666666667,315,35,38,10
