segmentation_method,model,color,fold,train_samples,test_samples,train_patients,test_patients,accuracy,precision,recall,f1,balanced_accuracy
tip_middle_root_1_2_2,SVM,淡紅,1,316,82,77,19,0.8048780487804879,0.5769230769230769,0.75,0.6521739130434783,0.7862903225806452
tip_middle_root_1_2_2,SVM,淡紅,2,318,80,76,20,0.5875,0.2903225806451613,0.45,0.35294117647058826,0.5416666666666666
tip_middle_root_1_2_2,SVM,淡紅,3,319,79,78,18,0.7341772151898734,0.47368421052631576,0.45,0.46153846153846156,0.6402542372881356
tip_middle_root_1_2_2,SVM,淡紅,4,320,78,75,21,0.7564102564102564,0.5,0.631578947368421,0.5581395348837209,0.7140945584299732
tip_middle_root_1_2_2,SVM,淡紅,5,319,79,78,18,0.6708860759493671,0.4,0.7368421052631579,0.5185185185185185,0.6934210526315789
tip_middle_root_1_2_2,Random Forest,淡紅,1,316,82,77,19,0.8170731707317073,0.6190476190476191,0.65,0.6341463414634146,0.760483870967742
tip_middle_root_1_2_2,Random Forest,淡紅,2,318,80,76,20,0.675,0.36363636363636365,0.4,0.38095238095238093,0.5833333333333334
tip_middle_root_1_2_2,Random Forest,淡紅,3,319,79,78,18,0.7468354430379747,0.5,0.45,0.47368421052631576,0.648728813559322
tip_middle_root_1_2_2,Random Forest,淡紅,4,320,78,75,21,0.782051282051282,0.625,0.2631578947368421,0.37037037037037035,0.6061552185548618
tip_middle_root_1_2_2,Random Forest,淡紅,5,319,79,78,18,0.810126582278481,0.5769230769230769,0.7894736842105263,0.6666666666666666,0.8030701754385965
tip_middle_root_1_3_1,SVM,淡紅,1,316,82,77,19,0.8536585365853658,0.6818181818181818,0.75,0.7142857142857143,0.8185483870967742
tip_middle_root_1_3_1,SVM,淡紅,2,318,80,76,20,0.625,0.32142857142857145,0.45,0.375,0.5666666666666667
tip_middle_root_1_3_1,SVM,淡紅,3,319,79,78,18,0.7088607594936709,0.42857142857142855,0.45,0.43902439024390244,0.6233050847457627
tip_middle_root_1_3_1,SVM,淡紅,4,320,78,75,21,0.782051282051282,0.5454545454545454,0.631578947368421,0.5853658536585366,0.7310437109723461
tip_middle_root_1_3_1,SVM,淡紅,5,319,79,78,18,0.7468354430379747,0.4838709677419355,0.7894736842105263,0.6,0.7614035087719297
tip_middle_root_1_3_1,Random Forest,淡紅,1,316,82,77,19,0.8170731707317073,0.631578947368421,0.6,0.6153846153846154,0.7435483870967742
tip_middle_root_1_3_1,Random Forest,淡紅,2,318,80,76,20,0.65,0.3333333333333333,0.4,0.36363636363636365,0.5666666666666667
tip_middle_root_1_3_1,Random Forest,淡紅,3,319,79,78,18,0.7848101265822784,0.5789473684210527,0.55,0.5641025641025641,0.7072033898305086
tip_middle_root_1_3_1,Random Forest,淡紅,4,320,78,75,21,0.7307692307692307,0.4166666666666667,0.2631578947368421,0.3225806451612903,0.572256913470116
tip_middle_root_1_3_1,Random Forest,淡紅,5,319,79,78,18,0.8481012658227848,0.6521739130434783,0.7894736842105263,0.7142857142857143,0.8280701754385965
tip_middle_root_1_2_2,SVM,淡白,1,377,95,79,19,0.9052631578947369,0.2222222222222222,0.5,0.3076923076923077,0.7115384615384616
tip_middle_root_1_2_2,SVM,淡白,2,379,93,79,19,0.7956989247311828,0.13636363636363635,1.0,0.24,0.8944444444444444
tip_middle_root_1_2_2,SVM,淡白,3,379,93,78,20,0.956989247311828,0.2,1.0,0.3333333333333333,0.9782608695652174
tip_middle_root_1_2_2,SVM,淡白,4,376,96,78,20,0.8229166666666666,0.16666666666666666,0.6,0.2608695652173913,0.7175824175824176
tip_middle_root_1_2_2,SVM,淡白,5,377,95,78,20,0.9157894736842105,0.25,0.5,0.3333333333333333,0.717032967032967
tip_middle_root_1_2_2,Random Forest,淡白,1,377,95,79,19,0.9578947368421052,0.0,0.0,0.0,0.5
tip_middle_root_1_2_2,Random Forest,淡白,2,379,93,79,19,0.9354838709677419,0.2,0.3333333333333333,0.25,0.6444444444444445
tip_middle_root_1_2_2,Random Forest,淡白,3,379,93,78,20,0.978494623655914,0.0,0.0,0.0,0.4945652173913043
tip_middle_root_1_2_2,Random Forest,淡白,4,376,96,78,20,0.9375,0.4,0.4,0.4,0.6835164835164835
tip_middle_root_1_2_2,Random Forest,淡白,5,377,95,78,20,0.9473684210526315,0.0,0.0,0.0,0.4945054945054945
tip_middle_root_1_3_1,SVM,淡白,1,377,95,79,19,0.9052631578947369,0.2727272727272727,0.75,0.4,0.831043956043956
tip_middle_root_1_3_1,SVM,淡白,2,379,93,79,19,0.7956989247311828,0.13636363636363635,1.0,0.24,0.8944444444444444
tip_middle_root_1_3_1,SVM,淡白,3,379,93,78,20,0.9354838709677419,0.14285714285714285,1.0,0.25,0.9673913043478262
tip_middle_root_1_3_1,SVM,淡白,4,376,96,78,20,0.8645833333333334,0.21428571428571427,0.6,0.3157894736842105,0.7395604395604396
tip_middle_root_1_3_1,SVM,淡白,5,377,95,78,20,0.9263157894736842,0.2857142857142857,0.5,0.36363636363636365,0.7225274725274725
tip_middle_root_1_3_1,Random Forest,淡白,1,377,95,79,19,0.9578947368421052,0.0,0.0,0.0,0.5
tip_middle_root_1_3_1,Random Forest,淡白,2,379,93,79,19,0.946236559139785,0.0,0.0,0.0,0.4888888888888889
tip_middle_root_1_3_1,Random Forest,淡白,3,379,93,78,20,0.978494623655914,0.0,0.0,0.0,0.4945652173913043
tip_middle_root_1_3_1,Random Forest,淡白,4,376,96,78,20,0.9270833333333334,0.0,0.0,0.0,0.489010989010989
tip_middle_root_1_3_1,Random Forest,淡白,5,377,95,78,20,0.9368421052631579,0.0,0.0,0.0,0.489010989010989
tip_middle_root_1_2_2,SVM,鮮紅,1,279,69,68,18,0.8695652173913043,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.8258928571428572
tip_middle_root_1_2_2,SVM,鮮紅,2,277,71,70,16,0.8732394366197183,0.8823529411764706,0.6818181818181818,0.7692307692307693,0.8205009276437847
tip_middle_root_1_2_2,SVM,鮮紅,3,278,70,70,16,0.8142857142857143,0.6206896551724138,0.9,0.7346938775510204,0.8400000000000001
tip_middle_root_1_2_2,SVM,鮮紅,4,279,69,68,18,0.782608695652174,0.65,0.6190476190476191,0.6341463414634146,0.7366071428571428
tip_middle_root_1_2_2,SVM,鮮紅,5,279,69,68,18,0.6231884057971014,0.375,0.45,0.4090909090909091,0.5719387755102041
tip_middle_root_1_2_2,Random Forest,鮮紅,1,279,69,68,18,0.8405797101449275,0.7272727272727273,0.7619047619047619,0.7441860465116279,0.8184523809523809
tip_middle_root_1_2_2,Random Forest,鮮紅,2,277,71,70,16,0.8873239436619719,0.85,0.7727272727272727,0.8095238095238095,0.8557513914656771
tip_middle_root_1_2_2,Random Forest,鮮紅,3,278,70,70,16,0.8428571428571429,0.6551724137931034,0.95,0.7755102040816326,0.875
tip_middle_root_1_2_2,Random Forest,鮮紅,4,279,69,68,18,0.7971014492753623,0.6842105263157895,0.6190476190476191,0.65,0.7470238095238095
tip_middle_root_1_2_2,Random Forest,鮮紅,5,279,69,68,18,0.6231884057971014,0.375,0.45,0.4090909090909091,0.5719387755102041
tip_middle_root_1_3_1,SVM,鮮紅,1,279,69,68,18,0.8405797101449275,0.75,0.7142857142857143,0.7317073170731707,0.8050595238095238
tip_middle_root_1_3_1,SVM,鮮紅,2,277,71,70,16,0.8873239436619719,0.8888888888888888,0.7272727272727273,0.8,0.8432282003710575
tip_middle_root_1_3_1,SVM,鮮紅,3,278,70,70,16,0.8,0.6071428571428571,0.85,0.7083333333333334,0.815
tip_middle_root_1_3_1,SVM,鮮紅,4,279,69,68,18,0.7971014492753623,0.7333333333333333,0.5238095238095238,0.6111111111111112,0.7202380952380952
tip_middle_root_1_3_1,SVM,鮮紅,5,279,69,68,18,0.6376811594202898,0.391304347826087,0.45,0.4186046511627907,0.5821428571428572
tip_middle_root_1_3_1,Random Forest,鮮紅,1,279,69,68,18,0.8115942028985508,0.7222222222222222,0.6190476190476191,0.6666666666666666,0.7574404761904763
tip_middle_root_1_3_1,Random Forest,鮮紅,2,277,71,70,16,0.8732394366197183,0.8421052631578947,0.7272727272727273,0.7804878048780488,0.8330241187384044
tip_middle_root_1_3_1,Random Forest,鮮紅,3,278,70,70,16,0.7857142857142857,0.5925925925925926,0.8,0.6808510638297872,0.79
tip_middle_root_1_3_1,Random Forest,鮮紅,4,279,69,68,18,0.8260869565217391,0.7647058823529411,0.6190476190476191,0.6842105263157895,0.7678571428571428
tip_middle_root_1_3_1,Random Forest,鮮紅,5,279,69,68,18,0.6521739130434783,0.4166666666666667,0.5,0.45454545454545453,0.6071428571428572
tip_middle_root_1_2_2,SVM,暗紅,1,316,78,79,19,0.5384615384615384,0.2,0.3333333333333333,0.25,0.4666666666666667
tip_middle_root_1_2_2,SVM,暗紅,2,314,80,77,21,0.5625,0.2222222222222222,0.3,0.2553191489361702,0.475
tip_middle_root_1_2_2,SVM,暗紅,3,316,78,79,19,0.46153846153846156,0.1891891891891892,0.3684210526315789,0.25,0.4299732381801963
tip_middle_root_1_2_2,SVM,暗紅,4,316,78,77,21,0.6923076923076923,0.38095238095238093,0.42105263157894735,0.4,0.60035682426405
tip_middle_root_1_2_2,SVM,暗紅,5,314,80,80,18,0.525,0.2978723404255319,0.7368421052631579,0.42424242424242425,0.5979292493528904
tip_middle_root_1_2_2,Random Forest,暗紅,1,316,78,79,19,0.6794871794871795,0.1111111111111111,0.05555555555555555,0.07407407407407407,0.46111111111111114
