segmentation_method,image_id,region,original_image,region_file,pixel_count,tip_ratio,middle_ratio,root_ratio,left_ratio,center_ratio,right_ratio
tip_middle_root_1_2_2,1,舌根,/Users/yuchiwu/Desktop/tongue_project/images_json/1.JPG,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌根/1.png,271039,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,1,舌尖,/Users/yuchiwu/Desktop/tongue_project/images_json/1.JPG,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌尖/1.png,67702,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,1,舌左邊,/Users/yuchiwu/Desktop/tongue_project/images_json/1.JPG,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌左邊/1.png,50470,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,1,舌中,/Users/yuchiwu/Desktop/tongue_project/images_json/1.JPG,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌中/1.png,146137,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,1,舌右邊,/Users/yuchiwu/Desktop/tongue_project/images_json/1.JPG,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌右邊/1.png,24129,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,10,舌根,/Users/yuchiwu/Desktop/tongue_project/images_json/10.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌根/10.png,499829,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,10,舌尖,/Users/yuchiwu/Desktop/tongue_project/images_json/10.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌尖/10.png,108549,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,10,舌左邊,/Users/yuchiwu/Desktop/tongue_project/images_json/10.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌左邊/10.png,92768,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,10,舌中,/Users/yuchiwu/Desktop/tongue_project/images_json/10.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌中/10.png,284262,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,10,舌右邊,/Users/yuchiwu/Desktop/tongue_project/images_json/10.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌右邊/10.png,63400,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,100,舌根,/Users/yuchiwu/Desktop/tongue_project/images_json/100.JPG,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌根/100.png,324729,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,100,舌尖,/Users/yuchiwu/Desktop/tongue_project/images_json/100.JPG,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌尖/100.png,106594,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,100,舌左邊,/Users/yuchiwu/Desktop/tongue_project/images_json/100.JPG,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌左邊/100.png,66852,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,100,舌中,/Users/yuchiwu/Desktop/tongue_project/images_json/100.JPG,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌中/100.png,192024,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,100,舌右邊,/Users/yuchiwu/Desktop/tongue_project/images_json/100.JPG,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌右邊/100.png,84637,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,11,舌根,/Users/yuchiwu/Desktop/tongue_project/images_json/11.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌根/11.png,420767,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,11,舌尖,/Users/yuchiwu/Desktop/tongue_project/images_json/11.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌尖/11.png,85645,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,11,舌左邊,/Users/yuchiwu/Desktop/tongue_project/images_json/11.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌左邊/11.png,53479,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,11,舌中,/Users/yuchiwu/Desktop/tongue_project/images_json/11.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌中/11.png,238289,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,11,舌右邊,/Users/yuchiwu/Desktop/tongue_project/images_json/11.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌右邊/11.png,76756,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,12,舌根,/Users/yuchiwu/Desktop/tongue_project/images_json/12.JPG,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌根/12.png,410673,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,12,舌尖,/Users/yuchiwu/Desktop/tongue_project/images_json/12.JPG,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌尖/12.png,115674,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,12,舌左邊,/Users/yuchiwu/Desktop/tongue_project/images_json/12.JPG,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌左邊/12.png,82448,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,12,舌中,/Users/yuchiwu/Desktop/tongue_project/images_json/12.JPG,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌中/12.png,251304,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,12,舌右邊,/Users/yuchiwu/Desktop/tongue_project/images_json/12.JPG,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌右邊/12.png,59588,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,13,舌根,/Users/yuchiwu/Desktop/tongue_project/images_json/13.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌根/13.png,370127,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,13,舌尖,/Users/yuchiwu/Desktop/tongue_project/images_json/13.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌尖/13.png,145598,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,13,舌左邊,/Users/yuchiwu/Desktop/tongue_project/images_json/13.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌左邊/13.png,105795,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,13,舌中,/Users/yuchiwu/Desktop/tongue_project/images_json/13.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌中/13.png,231976,0.2,0.4,0.4,0.25,0.5,0.25
