bootstrap_id,segmentation_method,model,accuracy,precision,recall,f1,balanced_accuracy
0,tip_middle_root_1_2_2,SVM,0.6421520595173289,0.5458408679927667,0.6243279569892473,0.579912096693637,0.6419800234614095
0,tip_middle_root_1_2_2,Random Forest,0.6964434766829977,0.6280570652173914,0.6290322580645161,0.6283350219520432,0.68641188784677
0,tip_middle_root_1_2_2,CNN,0.6322627472328071,0.6184640522875817,0.5918458781362007,0.5452830188679245,0.6365207929260461
0,tip_middle_root_1_3_1,SVM,0.6871348212665578,0.6096579476861167,0.6209677419354839,0.612531328320802,0.6787516277383091
0,tip_middle_root_1_3_1,Random Forest,0.7293413173652694,0.6848852901484481,0.6245519713261649,0.653315340734834,0.7125059294546
0,tip_middle_root_1_3_1,CNN,0.5721647613863183,0.5401785714285714,0.4012096774193548,0.37047394760082425,0.5563789828077867
1,tip_middle_root_1_2_2,SVM,0.5823529411764705,0.5789297658862876,0.49633699633699635,0.5285547785547785,0.5828731395187091
1,tip_middle_root_1_2_2,Random Forest,0.5784313725490196,0.5801587301587302,0.48840048840048844,0.5232399179767601,0.5796784439189503
1,tip_middle_root_1_2_2,CNN,0.5908496732026144,0.5469815610002526,0.5,0.5082828282828282,0.5643108298171589
1,tip_middle_root_1_3_1,SVM,0.5862745098039216,0.5824175824175825,0.5067155067155067,0.5354732986311934,0.5876756155237168
1,tip_middle_root_1_3_1,Random Forest,0.5990196078431372,0.6134615384615385,0.4768009768009768,0.5279017857142857,0.5996522464876896
1,tip_middle_root_1_3_1,CNN,0.5732026143790849,0.43216374269005847,0.3669108669108669,0.3773397052966945,0.5369716078576838
2,tip_middle_root_1_2_2,SVM,0.6176410186199343,0.5694444444444444,0.5568551007147499,0.5447966420610797,0.6179233486767026
2,tip_middle_root_1_2_2,Random Forest,0.6176410186199343,0.575925925925926,0.4944769330734243,0.5159232224925656,0.6060619959484769
2,tip_middle_root_1_2_2,CNN,0.6618975903614458,0.5392464678178963,0.5519818063677713,0.5433304080737166,0.6268312393183395
2,tip_middle_root_1_3_1,SVM,0.6249657721796276,0.5754329004329004,0.5373619233268356,0.5360346266166041,0.622042306201233
2,tip_middle_root_1_3_1,Random Forest,0.6622398685651698,0.6434782608695653,0.4951267056530214,0.5396825396825397,0.6458826805576032
2,tip_middle_root_1_3_1,CNN,0.6227409638554218,0.4533102766798419,0.3885640025990903,0.40110946745562126,0.5577273794508056
3,tip_middle_root_1_2_2,SVM,0.5948641236599352,0.5788301963165351,0.48813255709807435,0.5242901128977078,0.5911260576263602
3,tip_middle_root_1_2_2,Random Forest,0.5962976813762154,0.5974463738508682,0.4953724436483057,0.5296962497878839,0.5970202049300658
3,tip_middle_root_1_2_2,CNN,0.644134879082523,0.601029601029601,0.5841170323928945,0.5757575757575757,0.6194626747409566
3,tip_middle_root_1_3_1,SVM,0.6086699077536774,0.6001182499014583,0.5141065830721003,0.545339944533154,0.6080929276634056
3,tip_middle_root_1_3_1,Random Forest,0.6325885066068312,0.65625,0.4658904314076727,0.5358190405170271,0.6266261773672541
3,tip_middle_root_1_3_1,CNN,0.6112877088007977,0.5479735318444996,0.3780414987311539,0.39444444444444443,0.5687316005676561
4,tip_middle_root_1_2_2,SVM,0.5738383098247541,0.4544769989047097,0.5657271944922547,0.5005679666792882,0.5741059999614166
4,tip_middle_root_1_2_2,Random Forest,0.616092690969042,0.5247652582159624,0.4791308089500861,0.49143769616210564,0.5917242173253074
4,tip_middle_root_1_2_2,CNN,0.6261372656774745,0.4913572343149808,0.6750215146299484,0.5585585585585585,0.6285163615457738
4,tip_middle_root_1_3_1,SVM,0.6159858337912927,0.4967908718131574,0.5418459552495698,0.5156994264605813,0.6026973876018944
4,tip_middle_root_1_3_1,Random Forest,0.6586829089576846,0.5849917081260365,0.5027969018932874,0.5285739718711056,0.6311048208258765
4,tip_middle_root_1_3_1,CNN,0.5898363558649325,0.35059288537549405,0.3851118760757315,0.351151046107431,0.5407483762729277
5,tip_middle_root_1_2_2,SVM,0.6411109554497059,0.6201298701298701,0.5376344086021505,0.5717983128834356,0.634810388332234
5,tip_middle_root_1_2_2,Random Forest,0.6348767161669936,0.6276881720430108,0.4811827956989247,0.5404019037546273,0.6248112128445937
5,tip_middle_root_1_2_2,CNN,0.6239843093303447,0.5605368360936608,0.553763440860215,0.554226115224851,0.59805382364335
5,tip_middle_root_1_3_1,SVM,0.6448585037825721,0.6307100859339665,0.543010752688172,0.578125,0.6407848310665787
5,tip_middle_root_1_3_1,Random Forest,0.6296931913701317,0.64494301994302,0.43279569892473113,0.5120689655172413,0.6182052983425992
5,tip_middle_root_1_3_1,CNN,0.5912720650042029,0.4574162679425837,0.3763440860215054,0.3958966565349544,0.5421155678403535
6,tip_middle_root_1_2_2,SVM,0.5734774508544263,0.454337899543379,0.4929824561403509,0.47028499173232174,0.5583240448745832
6,tip_middle_root_1_2_2,Random Forest,0.617371193627136,0.5156810035842294,0.4793859649122807,0.49275362318840576,0.59211636399884
6,tip_middle_root_1_2_2,CNN,0.6319221379930617,0.4993579866461222,0.6758771929824562,0.5703649157257404,0.6260756488328258
6,tip_middle_root_1_3_1,SVM,0.587867788770397,0.47480131808490017,0.48640350877192984,0.47649430861109693,0.5701215202261853
6,tip_middle_root_1_3_1,Random Forest,0.6391815495310291,0.5517857142857143,0.48640350877192984,0.5106060606060606,0.613230163476874
6,tip_middle_root_1_3_1,CNN,0.609099961454452,0.4199928083423229,0.4350877192982456,0.40480318499967893,0.555891827968682
7,tip_middle_root_1_2_2,SVM,0.6386017800746483,0.5364803094233475,0.6148212512413108,0.565929565929566,0.637423049168056
7,tip_middle_root_1_2_2,Random Forest,0.6682098765432098,0.5701040253279059,0.5742303872889771,0.5681377446083329,0.6511012410451001
7,tip_middle_root_1_2_2,CNN,0.5726385300028711,0.42957427536231885,0.4695878848063555,0.44497298567066007,0.5406760142686211
7,tip_middle_root_1_3_1,SVM,0.6667384438702268,0.5729166666666666,0.6007944389275075,0.5782857142857143,0.6588643448460167
7,tip_middle_root_1_3_1,Random Forest,0.6907120298593167,0.6262820512820513,0.5367428003972194,0.5691371681415929,0.666020482767417
7,tip_middle_root_1_3_1,CNN,0.5933462532299743,0.40426029962546817,0.368669314796425,0.36969696969696975,0.5333646650434725
8,tip_middle_root_1_2_2,SVM,0.6863387978142077,0.6744359301830566,0.6124473314606742,0.6419479267116683,0.6796774015047062
8,tip_middle_root_1_2_2,Random Forest,0.643224043715847,0.6544072948328268,0.4947331460674157,0.5633180350161482,0.6302834458689379
8,tip_middle_root_1_2_2,CNN,0.6311475409836065,0.603023516237402,0.624122191011236,0.5883474943644875,0.6399309619083888
8,tip_middle_root_1_3_1,SVM,0.7060655737704917,0.7032186459489456,0.6249122191011236,0.6609195402298851,0.6972903500255743
8,tip_middle_root_1_3_1,Random Forest,0.6987431693989071,0.7599199126319621,0.5228230337078652,0.6184981684981685,0.6830468458989598
8,tip_middle_root_1_3_1,CNN,0.5401639344262295,0.4969879518072289,0.370874297752809,0.3630237141585606,0.5394079554078246
9,tip_middle_root_1_2_2,SVM,0.5074654644718339,0.44950738916256155,0.42463485881207397,0.4365228267667292,0.49699763683905346
9,tip_middle_root_1_2_2,Random Forest,0.5720282901811564,0.5314334637964775,0.47711781888997085,0.5026642018268812,0.5617366680160024
9,tip_middle_root_1_2_2,CNN,0.6210397882372405,0.6019490254872564,0.6358325219084713,0.5984753984753985,0.6063057740628499
9,tip_middle_root_1_3_1,SVM,0.5239473901894284,0.47144654088050314,0.4210321324245375,0.4441998679286815,0.5116540667884715
9,tip_middle_root_1_3_1,Random Forest,0.5818926296633302,0.556373369019739,0.4251217137293087,0.4819548872180451,0.568618189045582
9,tip_middle_root_1_3_1,CNN,0.5882000165439656,0.51875,0.395618305744888,0.4059463803053547,0.5571436386114241
10,tip_middle_root_1_2_2,SVM,0.5648148148148149,0.3967938526762056,0.43103448275862066,0.4115180935569285,0.5312952134072824
10,tip_middle_root_1_2_2,Random Forest,0.6296296296296295,0.476948051948052,0.47314323607427056,0.4713541666666667,0.5900244152399325
10,tip_middle_root_1_2_2,CNN,0.5740740740740741,0.42020202020202024,0.5368037135278515,0.4489166077284125,0.5698004581625271
10,tip_middle_root_1_3_1,SVM,0.6018518518518519,0.4265964450296248,0.4224137931034483,0.42409240924092406,0.5579726308174584
10,tip_middle_root_1_3_1,Random Forest,0.6728395061728395,0.5327380952380952,0.4346816976127321,0.4754784688995215,0.6135384012539185
10,tip_middle_root_1_3_1,CNN,0.6141975308641976,0.4568965517241379,0.4151193633952255,0.3671009138635038,0.5724198215577526
11,tip_middle_root_1_2_2,SVM,0.5839210827296988,0.4850877192982456,0.4572541382667965,0.4707096774193549,0.5624471625913422
11,tip_middle_root_1_2_2,Random Forest,0.5556138009912314,0.45512820512820507,0.37633885102239534,0.41181566181566176,0.5261906332753961
11,tip_middle_root_1_2_2,CNN,0.57380226204092,0.49168499175371083,0.5957156767283349,0.5249564942255972,0.5831516917070863
11,tip_middle_root_1_3_1,SVM,0.6070021603761596,0.5186830713146503,0.4789678675754625,0.49768810424548127,0.5849862702363293
11,tip_middle_root_1_3_1,Random Forest,0.5860179184140297,0.500366568914956,0.3595910418695229,0.4179191879757954,0.5487297409203833
11,tip_middle_root_1_3_1,CNN,0.5404911678739357,0.42391304347826086,0.35559883154819866,0.34007743224678405,0.5203811914750339
12,tip_middle_root_1_2_2,SVM,0.6385844407943855,0.5833333333333333,0.5487012987012987,0.5650684931506849,0.6264497144351513
12,tip_middle_root_1_2_2,Random Forest,0.649156338659101,0.5984299516908212,0.5426240426240426,0.5691324200913241,0.6350975301218019
12,tip_middle_root_1_2_2,CNN,0.620203076004181,0.5636381061912976,0.5626040626040626,0.5378297872340425,0.614815156077292
12,tip_middle_root_1_3_1,SVM,0.6364192922203972,0.5771014492753623,0.5354645354645354,0.5553317217297878,0.6228203655388121
12,tip_middle_root_1_3_1,Random Forest,0.6662684784231745,0.640521978021978,0.4968364968364968,0.5589673484410327,0.6435324159838722
12,tip_middle_root_1_3_1,CNN,0.6005076900104525,0.48875598086124405,0.40834165834165836,0.403953488372093,0.5777100237051693
13,tip_middle_root_1_2_2,SVM,0.5650682521812553,0.5164526484751204,0.4728735632183908,0.46596568898727175,0.5680201617327215
13,tip_middle_root_1_2_2,Random Forest,0.5605474247115114,0.5277847309136421,0.4283908045977012,0.43913764510779435,0.5627916965155828
13,tip_middle_root_1_2_2,CNN,0.6516500140726147,0.4987535612535613,0.5780459770114943,0.5351892871526379,0.5945816634074877
