color,image_id,fold,analysis_type
淡紅,93,1,primary
淡紅,55,1,primary
淡紅,21,1,primary
淡紅,87,1,primary
淡紅,45,1,primary
淡紅,19,1,primary
淡紅,7,1,primary
淡紅,40,1,primary
淡紅,74,1,primary
淡紅,3,1,primary
淡紅,86,1,primary
淡紅,17,1,primary
淡紅,92,1,primary
淡紅,89,1,primary
淡紅,66,1,primary
淡紅,73,1,primary
淡紅,67,1,primary
淡紅,83,1,primary
淡紅,31,1,primary
淡紅,95,2,primary
淡紅,14,2,primary
淡紅,47,2,primary
淡紅,9,2,primary
淡紅,100,2,primary
淡紅,48,2,primary
淡紅,50,2,primary
淡紅,24,2,primary
淡紅,80,2,primary
淡紅,72,2,primary
淡紅,61,2,primary
淡紅,96,2,primary
淡紅,46,2,primary
淡紅,53,2,primary
淡紅,57,2,primary
淡紅,32,2,primary
淡紅,64,2,primary
淡紅,12,2,primary
淡紅,54,2,primary
淡紅,90,2,primary
淡紅,69,3,primary
淡紅,77,3,primary
淡紅,78,3,primary
淡紅,16,3,primary
淡紅,68,3,primary
淡紅,8,3,primary
淡紅,13,3,primary
淡紅,51,3,primary
淡紅,60,3,primary
淡紅,94,3,primary
淡紅,15,3,primary
淡紅,41,3,primary
淡紅,43,3,primary
淡紅,49,3,primary
淡紅,71,3,primary
淡紅,97,3,primary
淡紅,29,3,primary
淡紅,23,3,primary
淡紅,58,4,primary
淡紅,75,4,primary
淡紅,4,4,primary
淡紅,44,4,primary
淡紅,25,4,primary
淡紅,79,4,primary
淡紅,1,4,primary
淡紅,18,4,primary
淡紅,22,4,primary
淡紅,84,4,primary
淡紅,70,4,primary
淡紅,35,4,primary
淡紅,81,4,primary
淡紅,2,4,primary
淡紅,76,4,primary
淡紅,62,4,primary
淡紅,52,4,primary
淡紅,30,4,primary
淡紅,20,4,primary
淡紅,38,4,primary
淡紅,85,4,primary
淡紅,6,5,primary
淡紅,10,5,primary
淡紅,65,5,primary
淡紅,42,5,primary
淡紅,26,5,primary
淡紅,28,5,primary
淡紅,37,5,primary
淡紅,27,5,primary
淡紅,39,5,primary
淡紅,34,5,primary
淡紅,5,5,primary
淡紅,63,5,primary
淡紅,82,5,primary
淡紅,36,5,primary
淡紅,91,5,primary
淡紅,59,5,primary
淡紅,11,5,primary
淡紅,98,5,primary
鮮紅,40,1,primary
鮮紅,48,1,primary
鮮紅,65,1,primary
鮮紅,3,1,primary
鮮紅,1,1,primary
鮮紅,42,1,primary
鮮紅,37,1,primary
鮮紅,27,1,primary
鮮紅,50,1,primary
鮮紅,12,1,primary
鮮紅,63,1,primary
鮮紅,64,1,primary
鮮紅,85,1,primary
鮮紅,54,1,primary
鮮紅,24,1,primary
鮮紅,31,1,primary
鮮紅,98,1,primary
鮮紅,90,1,primary
鮮紅,6,2,primary
鮮紅,10,2,primary
鮮紅,86,2,primary
鮮紅,7,2,primary
鮮紅,45,2,primary
鮮紅,20,2,primary
鮮紅,38,2,primary
鮮紅,19,2,primary
鮮紅,96,2,primary
鮮紅,35,2,primary
鮮紅,82,2,primary
鮮紅,15,2,primary
鮮紅,41,2,primary
鮮紅,5,2,primary
鮮紅,67,2,primary
鮮紅,25,2,primary
鮮紅,2,3,primary
鮮紅,16,3,primary
鮮紅,30,3,primary
鮮紅,93,3,primary
鮮紅,79,3,primary
鮮紅,51,3,primary
鮮紅,84,3,primary
鮮紅,94,3,primary
鮮紅,72,3,primary
鮮紅,88,3,primary
鮮紅,26,3,primary
鮮紅,57,3,primary
鮮紅,46,3,primary
鮮紅,47,3,primary
鮮紅,23,3,primary
鮮紅,76,3,primary
鮮紅,8,4,primary
鮮紅,80,4,primary
鮮紅,21,4,primary
鮮紅,87,4,primary
鮮紅,60,4,primary
鮮紅,75,4,primary
鮮紅,70,4,primary
鮮紅,36,4,primary
鮮紅,43,4,primary
鮮紅,49,4,primary
鮮紅,34,4,primary
鮮紅,53,4,primary
鮮紅,91,4,primary
鮮紅,97,4,primary
鮮紅,32,4,primary
鮮紅,11,4,primary
鮮紅,29,4,primary
鮮紅,9,4,primary
鮮紅,100,5,primary
鮮紅,74,5,primary
鮮紅,13,5,primary
鮮紅,58,5,primary
鮮紅,18,5,primary
鮮紅,17,5,primary
鮮紅,89,5,primary
鮮紅,95,5,primary
鮮紅,33,5,primary
鮮紅,28,5,primary
鮮紅,4,5,primary
鮮紅,56,5,primary
鮮紅,14,5,primary
鮮紅,66,5,primary
鮮紅,73,5,primary
鮮紅,59,5,primary
鮮紅,22,5,primary
鮮紅,55,5,primary
暗紅,13,1,exploratory
暗紅,14,1,exploratory
暗紅,55,1,exploratory
暗紅,100,1,exploratory
暗紅,33,1,exploratory
暗紅,56,1,exploratory
暗紅,82,1,exploratory
暗紅,72,1,exploratory
暗紅,96,1,exploratory
暗紅,97,1,exploratory
暗紅,57,1,exploratory
暗紅,32,1,exploratory
暗紅,30,1,exploratory
暗紅,3,1,exploratory
暗紅,8,1,exploratory
暗紅,20,1,exploratory
暗紅,39,1,exploratory
暗紅,91,1,exploratory
暗紅,83,1,exploratory
暗紅,93,2,exploratory
暗紅,94,2,exploratory
暗紅,44,2,exploratory
暗紅,47,2,exploratory
暗紅,23,2,exploratory
暗紅,69,2,exploratory
暗紅,87,2,exploratory
暗紅,19,2,exploratory
暗紅,24,2,exploratory
暗紅,80,2,exploratory
暗紅,84,2,exploratory
暗紅,7,2,exploratory
暗紅,35,2,exploratory
暗紅,2,2,exploratory
暗紅,76,2,exploratory
暗紅,40,2,exploratory
暗紅,74,2,exploratory
暗紅,16,2,exploratory
暗紅,66,2,exploratory
暗紅,71,2,exploratory
暗紅,85,2,exploratory
暗紅,68,3,exploratory
暗紅,95,3,exploratory
暗紅,29,3,exploratory
暗紅,78,3,exploratory
暗紅,21,3,exploratory
暗紅,18,3,exploratory
暗紅,28,3,exploratory
暗紅,15,3,exploratory
暗紅,5,3,exploratory
暗紅,50,3,exploratory
暗紅,51,3,exploratory
暗紅,60,3,exploratory
暗紅,81,3,exploratory
暗紅,53,3,exploratory
暗紅,62,3,exploratory
暗紅,38,3,exploratory
暗紅,64,3,exploratory
暗紅,41,3,exploratory
暗紅,12,3,exploratory
暗紅,58,4,exploratory
暗紅,42,4,exploratory
暗紅,75,4,exploratory
暗紅,37,4,exploratory
暗紅,49,4,exploratory
暗紅,25,4,exploratory
暗紅,9,4,exploratory
暗紅,48,4,exploratory
暗紅,65,4,exploratory
暗紅,79,4,exploratory
暗紅,6,4,exploratory
暗紅,99,4,exploratory
暗紅,34,4,exploratory
暗紅,46,4,exploratory
暗紅,98,4,exploratory
暗紅,77,4,exploratory
暗紅,17,4,exploratory
暗紅,36,4,exploratory
暗紅,67,4,exploratory
暗紅,54,4,exploratory
暗紅,31,4,exploratory
暗紅,52,5,exploratory
暗紅,10,5,exploratory
暗紅,1,5,exploratory
暗紅,86,5,exploratory
暗紅,92,5,exploratory
暗紅,45,5,exploratory
暗紅,61,5,exploratory
暗紅,89,5,exploratory
暗紅,26,5,exploratory
暗紅,70,5,exploratory
暗紅,27,5,exploratory
暗紅,43,5,exploratory
暗紅,63,5,exploratory
暗紅,73,5,exploratory
暗紅,59,5,exploratory
暗紅,11,5,exploratory
暗紅,22,5,exploratory
暗紅,90,5,exploratory
青紫,68,1,exploratory
青紫,95,1,exploratory
青紫,26,1,exploratory
青紫,29,1,exploratory
青紫,100,1,exploratory
青紫,18,1,exploratory
青紫,33,1,exploratory
青紫,28,1,exploratory
青紫,82,1,exploratory
青紫,24,1,exploratory
青紫,60,1,exploratory
青紫,99,1,exploratory
青紫,61,1,exploratory
青紫,34,1,exploratory
青紫,59,1,exploratory
青紫,52,1,exploratory
青紫,8,1,exploratory
青紫,89,1,exploratory
青紫,39,1,exploratory
青紫,85,1,exploratory
青紫,83,1,exploratory
青紫,58,2,exploratory
青紫,37,2,exploratory
青紫,14,2,exploratory
青紫,47,2,exploratory
青紫,25,2,exploratory
青紫,1,2,exploratory
青紫,43,2,exploratory
青紫,22,2,exploratory
青紫,72,2,exploratory
青紫,81,2,exploratory
青紫,27,2,exploratory
青紫,53,2,exploratory
青紫,57,2,exploratory
青紫,3,2,exploratory
青紫,38,2,exploratory
青紫,41,2,exploratory
青紫,91,2,exploratory
青紫,54,2,exploratory
青紫,31,2,exploratory
青紫,13,3,exploratory
青紫,94,3,exploratory
青紫,4,3,exploratory
青紫,65,3,exploratory
青紫,87,3,exploratory
青紫,45,3,exploratory
青紫,88,3,exploratory
青紫,56,3,exploratory
青紫,50,3,exploratory
青紫,7,3,exploratory
青紫,32,3,exploratory
青紫,76,3,exploratory
青紫,30,3,exploratory
青紫,17,3,exploratory
青紫,92,3,exploratory
青紫,20,3,exploratory
青紫,64,3,exploratory
青紫,67,3,exploratory
青紫,36,3,exploratory
青紫,90,3,exploratory
青紫,75,4,exploratory
青紫,49,4,exploratory
青紫,11,4,exploratory
青紫,78,4,exploratory
青紫,23,4,exploratory
青紫,9,4,exploratory
青紫,79,4,exploratory
青紫,15,4,exploratory
青紫,5,4,exploratory
青紫,84,4,exploratory
青紫,96,4,exploratory
青紫,70,4,exploratory
青紫,63,4,exploratory
青紫,46,4,exploratory
青紫,98,4,exploratory
青紫,62,4,exploratory
青紫,77,4,exploratory
青紫,86,4,exploratory
青紫,66,4,exploratory
青紫,12,4,exploratory
青紫,93,5,exploratory
青紫,42,5,exploratory
青紫,44,5,exploratory
青紫,55,5,exploratory
青紫,69,5,exploratory
青紫,48,5,exploratory
青紫,21,5,exploratory
青紫,19,5,exploratory
青紫,6,5,exploratory
青紫,80,5,exploratory
青紫,51,5,exploratory
青紫,35,5,exploratory
青紫,97,5,exploratory
青紫,2,5,exploratory
青紫,40,5,exploratory
青紫,74,5,exploratory
青紫,16,5,exploratory
青紫,10,5,exploratory
青紫,71,5,exploratory
青紫,73,5,exploratory
