color,analysis_type,fold,train_patients,test_patients,train_unanimous_items,train_positive,train_negative,test_three_one_items,test_positive,test_negative,train_valid,test_valid,fold_valid
淡紅,primary,1,77,19,186,29,157,43,19,24,True,True,True
淡紅,primary,2,76,20,175,18,157,30,8,22,True,True,True
淡紅,primary,3,78,18,177,22,155,31,12,19,True,True,True
淡紅,primary,4,75,21,179,27,152,32,16,16,True,True,True
淡紅,primary,5,78,18,183,24,159,37,13,24,True,True,True
鮮紅,primary,1,68,18,149,25,124,40,14,26,True,True,True
鮮紅,primary,2,70,16,133,25,108,26,15,11,True,True,True
鮮紅,primary,3,70,16,137,25,112,29,13,16,True,True,True
鮮紅,primary,4,68,18,147,26,121,38,15,23,True,True,True
鮮紅,primary,5,68,18,146,27,119,37,15,22,True,True,True
暗紅,exploratory,1,79,19,121,9,112,46,18,28,True,True,True
暗紅,exploratory,2,77,21,125,5,120,52,16,36,True,True,True
暗紅,exploratory,3,79,19,122,9,113,47,19,28,True,True,True
暗紅,exploratory,4,77,21,120,7,113,45,17,28,True,True,True
暗紅,exploratory,5,80,18,124,6,118,51,16,35,True,True,True
青紫,exploratory,1,79,21,171,6,165,27,7,20,True,True,True
青紫,exploratory,2,81,19,179,5,174,40,7,33,True,True,True
青紫,exploratory,3,80,20,179,5,174,31,7,24,True,True,True
青紫,exploratory,4,80,20,184,8,176,38,9,29,True,True,True
青紫,exploratory,5,80,20,183,8,175,38,10,28,True,True,True
