image_id,color,n_regions,unanimous_regions,three_one_regions,two_two_regions,unanimous_image,disagreement_image
1,淡紅,5,4,1,0,False,True
10,淡紅,5,5,0,0,True,False
100,淡紅,5,1,0,4,False,True
11,淡紅,5,5,0,0,True,False
12,淡紅,5,4,1,0,False,True
13,淡紅,5,0,3,2,False,True
14,淡紅,5,0,4,1,False,True
15,淡紅,5,3,2,0,False,True
16,淡紅,5,5,0,0,True,False
17,淡紅,5,0,3,2,False,True
18,淡紅,5,1,2,2,False,True
19,淡紅,5,0,5,0,False,True
2,淡紅,5,2,1,2,False,True
20,淡紅,5,1,1,3,False,True
21,淡紅,5,1,4,0,False,True
22,淡紅,5,5,0,0,True,False
23,淡紅,5,1,3,1,False,True
24,淡紅,5,3,2,0,False,True
25,淡紅,5,0,3,2,False,True
26,淡紅,5,0,2,3,False,True
27,淡紅,5,2,2,1,False,True
28,淡紅,5,4,1,0,False,True
29,淡紅,5,2,2,1,False,True
3,淡紅,5,5,0,0,True,False
30,淡紅,5,0,2,3,False,True
31,淡紅,5,2,3,0,False,True
32,淡紅,5,0,3,2,False,True
33,淡紅,5,0,0,5,False,True
34,淡紅,5,0,4,1,False,True
35,淡紅,5,0,4,1,False,True
36,淡紅,5,1,4,0,False,True
37,淡紅,5,3,2,0,False,True
38,淡紅,5,0,4,1,False,True
39,淡紅,5,0,2,3,False,True
4,淡紅,5,3,2,0,False,True
40,淡紅,5,0,5,0,False,True
41,淡紅,5,0,3,2,False,True
42,淡紅,5,0,3,2,False,True
43,淡紅,5,0,4,1,False,True
44,淡紅,5,0,1,4,False,True
45,淡紅,5,0,4,1,False,True
46,淡紅,5,3,1,1,False,True
47,淡紅,5,0,1,4,False,True
48,淡紅,5,5,0,0,True,False
49,淡紅,5,0,2,3,False,True
5,淡紅,5,5,0,0,True,False
50,淡紅,5,4,1,0,False,True
51,淡紅,5,0,5,0,False,True
52,淡紅,5,0,4,1,False,True
53,淡紅,5,1,1,3,False,True
54,淡紅,5,3,2,0,False,True
55,淡紅,5,0,4,1,False,True
56,淡紅,5,0,0,5,False,True
57,淡紅,5,0,3,2,False,True
58,淡紅,5,0,1,4,False,True
59,淡紅,5,0,5,0,False,True
6,淡紅,5,4,1,0,False,True
60,淡紅,5,3,2,0,False,True
61,淡紅,5,5,0,0,True,False
62,淡紅,5,5,0,0,True,False
63,淡紅,5,5,0,0,True,False
64,淡紅,5,5,0,0,True,False
65,淡紅,5,5,0,0,True,False
66,淡紅,5,5,0,0,True,False
67,淡紅,5,4,0,1,False,True
68,淡紅,5,5,0,0,True,False
69,淡紅,5,4,1,0,False,True
7,淡紅,5,0,2,3,False,True
70,淡紅,5,5,0,0,True,False
71,淡紅,5,5,0,0,True,False
72,淡紅,5,5,0,0,True,False
73,淡紅,5,3,2,0,False,True
74,淡紅,5,0,4,1,False,True
75,淡紅,5,1,0,4,False,True
76,淡紅,5,5,0,0,True,False
77,淡紅,5,5,0,0,True,False
78,淡紅,5,4,1,0,False,True
79,淡紅,5,4,1,0,False,True
8,淡紅,5,5,0,0,True,False
80,淡紅,5,4,1,0,False,True
81,淡紅,5,5,0,0,True,False
82,淡紅,5,3,2,0,False,True
83,淡紅,5,5,0,0,True,False
84,淡紅,5,0,5,0,False,True
85,淡紅,5,5,0,0,True,False
86,淡紅,5,0,3,2,False,True
87,淡紅,5,5,0,0,True,False
88,淡紅,5,0,0,5,False,True
89,淡紅,5,5,0,0,True,False
9,淡紅,5,2,0,3,False,True
90,淡紅,5,0,5,0,False,True
91,淡紅,5,0,5,0,False,True
92,淡紅,5,0,3,2,False,True
93,淡紅,5,4,1,0,False,True
94,淡紅,5,4,1,0,False,True
95,淡紅,5,0,5,0,False,True
96,淡紅,5,5,0,0,True,False
97,淡紅,5,2,2,1,False,True
98,淡紅,5,0,4,1,False,True
99,淡紅,5,0,0,5,False,True
1,淡白,5,5,0,0,True,False
10,淡白,5,5,0,0,True,False
100,淡白,5,5,0,0,True,False
11,淡白,5,5,0,0,True,False
12,淡白,5,5,0,0,True,False
13,淡白,5,3,0,2,False,True
14,淡白,5,4,0,1,False,True
15,淡白,5,5,0,0,True,False
16,淡白,5,2,3,0,False,True
17,淡白,5,5,0,0,True,False
18,淡白,5,4,1,0,False,True
19,淡白,5,0,5,0,False,True
2,淡白,5,5,0,0,True,False
20,淡白,5,0,3,2,False,True
21,淡白,5,5,0,0,True,False
22,淡白,5,5,0,0,True,False
23,淡白,5,5,0,0,True,False
24,淡白,5,1,4,0,False,True
25,淡白,5,5,0,0,True,False
26,淡白,5,5,0,0,True,False
27,淡白,5,1,1,3,False,True
28,淡白,5,1,4,0,False,True
29,淡白,5,5,0,0,True,False
3,淡白,5,5,0,0,True,False
30,淡白,5,0,0,5,False,True
31,淡白,5,5,0,0,True,False
32,淡白,5,5,0,0,True,False
33,淡白,5,5,0,0,True,False
34,淡白,5,5,0,0,True,False
35,淡白,5,5,0,0,True,False
36,淡白,5,1,2,2,False,True
37,淡白,5,5,0,0,True,False
38,淡白,5,3,2,0,False,True
39,淡白,5,5,0,0,True,False
4,淡白,5,5,0,0,True,False
40,淡白,5,5,0,0,True,False
41,淡白,5,2,3,0,False,True
42,淡白,5,5,0,0,True,False
43,淡白,5,5,0,0,True,False
44,淡白,5,5,0,0,True,False
45,淡白,5,5,0,0,True,False
46,淡白,5,5,0,0,True,False
47,淡白,5,5,0,0,True,False
48,淡白,5,5,0,0,True,False
49,淡白,5,4,1,0,False,True
5,淡白,5,0,1,4,False,True
50,淡白,5,5,0,0,True,False
51,淡白,5,5,0,0,True,False
52,淡白,5,5,0,0,True,False
53,淡白,5,5,0,0,True,False
54,淡白,5,3,2,0,False,True
55,淡白,5,5,0,0,True,False
56,淡白,5,0,5,0,False,True
57,淡白,5,5,0,0,True,False
58,淡白,5,0,4,1,False,True
59,淡白,5,5,0,0,True,False
6,淡白,5,5,0,0,True,False
60,淡白,5,0,5,0,False,True
61,淡白,5,5,0,0,True,False
62,淡白,5,5,0,0,True,False
63,淡白,5,5,0,0,True,False
64,淡白,5,5,0,0,True,False
65,淡白,5,5,0,0,True,False
66,淡白,5,5,0,0,True,False
67,淡白,5,5,0,0,True,False
68,淡白,5,5,0,0,True,False
69,淡白,5,4,1,0,False,True
7,淡白,5,0,0,5,False,True
70,淡白,5,5,0,0,True,False
71,淡白,5,5,0,0,True,False
72,淡白,5,5,0,0,True,False
73,淡白,5,5,0,0,True,False
74,淡白,5,5,0,0,True,False
75,淡白,5,5,0,0,True,False
76,淡白,5,4,1,0,False,True
77,淡白,5,5,0,0,True,False
78,淡白,5,5,0,0,True,False
79,淡白,5,5,0,0,True,False
8,淡白,5,5,0,0,True,False
80,淡白,5,5,0,0,True,False
81,淡白,5,5,0,0,True,False
82,淡白,5,5,0,0,True,False
83,淡白,5,5,0,0,True,False
84,淡白,5,0,4,1,False,True
85,淡白,5,5,0,0,True,False
86,淡白,5,2,3,0,False,True
87,淡白,5,5,0,0,True,False
88,淡白,5,1,4,0,False,True
89,淡白,5,4,1,0,False,True
9,淡白,5,5,0,0,True,False
90,淡白,5,5,0,0,True,False
91,淡白,5,0,3,2,False,True
92,淡白,5,5,0,0,True,False
93,淡白,5,5,0,0,True,False
94,淡白,5,5,0,0,True,False
95,淡白,5,5,0,0,True,False
96,淡白,5,5,0,0,True,False
97,淡白,5,3,2,0,False,True
98,淡白,5,5,0,0,True,False
99,淡白,5,5,0,0,True,False
1,鮮紅,5,5,0,0,True,False
10,鮮紅,5,1,4,0,False,True
100,鮮紅,5,0,1,4,False,True
11,鮮紅,5,0,5,0,False,True
12,鮮紅,5,3,2,0,False,True
13,鮮紅,5,0,4,1,False,True
14,鮮紅,5,5,0,0,True,False
15,鮮紅,5,3,2,0,False,True
16,鮮紅,5,5,0,0,True,False
17,鮮紅,5,3,2,0,False,True
18,鮮紅,5,5,0,0,True,False
19,鮮紅,5,5,0,0,True,False
2,鮮紅,5,2,3,0,False,True
20,鮮紅,5,5,0,0,True,False
21,鮮紅,5,5,0,0,True,False
22,鮮紅,5,5,0,0,True,False
23,鮮紅,5,5,0,0,True,False
24,鮮紅,5,0,5,0,False,True
25,鮮紅,5,0,5,0,False,True
26,鮮紅,5,0,3,2,False,True
27,鮮紅,5,5,0,0,True,False
28,鮮紅,5,5,0,0,True,False
29,鮮紅,5,5,0,0,True,False
3,鮮紅,5,0,5,0,False,True
30,鮮紅,5,5,0,0,True,False
31,鮮紅,5,2,1,2,False,True
32,鮮紅,5,0,3,2,False,True
33,鮮紅,5,0,1,4,False,True
34,鮮紅,5,0,3,2,False,True
35,鮮紅,5,0,2,3,False,True
36,鮮紅,5,5,0,0,True,False
37,鮮紅,5,5,0,0,True,False
38,鮮紅,5,4,1,0,False,True
39,鮮紅,5,0,0,5,False,True
4,鮮紅,5,0,2,3,False,True
40,鮮紅,5,0,2,3,False,True
41,鮮紅,5,5,0,0,True,False
42,鮮紅,5,0,3,2,False,True
43,鮮紅,5,0,1,4,False,True
44,鮮紅,5,0,0,5,False,True
45,鮮紅,5,5,0,0,True,False
46,鮮紅,5,4,0,1,False,True
47,鮮紅,5,5,0,0,True,False
48,鮮紅,5,0,1,4,False,True
49,鮮紅,5,0,5,0,False,True
5,鮮紅,5,5,0,0,True,False
50,鮮紅,5,0,4,1,False,True
51,鮮紅,5,0,2,3,False,True
52,鮮紅,5,0,0,5,False,True
53,鮮紅,5,0,1,4,False,True
54,鮮紅,5,4,1,0,False,True
55,鮮紅,5,0,5,0,False,True
56,鮮紅,5,4,1,0,False,True
57,鮮紅,5,5,0,0,True,False
58,鮮紅,5,5,0,0,True,False
59,鮮紅,5,0,4,1,False,True
6,鮮紅,5,0,3,2,False,True
60,鮮紅,5,0,1,4,False,True
61,鮮紅,5,0,0,5,False,True
62,鮮紅,5,0,0,5,False,True
63,鮮紅,5,0,1,4,False,True
64,鮮紅,5,0,4,1,False,True
65,鮮紅,5,5,0,0,True,False
66,鮮紅,5,0,2,3,False,True
67,鮮紅,5,0,3,2,False,True
68,鮮紅,5,0,0,5,False,True
69,鮮紅,5,0,0,5,False,True
7,鮮紅,5,5,0,0,True,False
70,鮮紅,5,3,2,0,False,True
71,鮮紅,5,0,0,5,False,True
72,鮮紅,5,0,4,1,False,True
73,鮮紅,5,0,2,3,False,True
74,鮮紅,5,0,5,0,False,True
75,鮮紅,5,0,4,1,False,True
76,鮮紅,5,0,2,3,False,True
77,鮮紅,5,0,0,5,False,True
78,鮮紅,5,0,0,5,False,True
79,鮮紅,5,3,2,0,False,True
8,鮮紅,5,5,0,0,True,False
80,鮮紅,5,0,2,3,False,True
81,鮮紅,5,0,0,5,False,True
82,鮮紅,5,3,2,0,False,True
83,鮮紅,5,0,0,5,False,True
84,鮮紅,5,5,0,0,True,False
85,鮮紅,5,0,5,0,False,True
86,鮮紅,5,4,0,1,False,True
87,鮮紅,5,3,2,0,False,True
88,鮮紅,5,0,5,0,False,True
89,鮮紅,5,0,3,2,False,True
9,鮮紅,5,0,4,1,False,True
90,鮮紅,5,0,1,4,False,True
91,鮮紅,5,5,0,0,True,False
92,鮮紅,5,0,0,5,False,True
93,鮮紅,5,2,3,0,False,True
94,鮮紅,5,0,5,0,False,True
95,鮮紅,5,0,5,0,False,True
96,鮮紅,5,0,4,1,False,True
97,鮮紅,5,0,5,0,False,True
98,鮮紅,5,0,5,0,False,True
99,鮮紅,5,0,0,5,False,True
1,暗紅,5,1,4,0,False,True
10,暗紅,5,0,3,2,False,True
100,暗紅,5,0,4,1,False,True
11,暗紅,5,3,2,0,False,True
12,暗紅,5,4,1,0,False,True
13,暗紅,5,3,2,0,False,True
14,暗紅,5,1,4,0,False,True
15,暗紅,5,5,0,0,True,False
16,暗紅,5,3,2,0,False,True
17,暗紅,5,0,3,2,False,True
18,暗紅,5,3,2,0,False,True
19,暗紅,5,5,0,0,True,False
2,暗紅,5,2,2,1,False,True
20,暗紅,5,3,2,0,False,True
21,暗紅,5,1,4,0,False,True
22,暗紅,5,0,5,0,False,True
23,暗紅,5,0,5,0,False,True
24,暗紅,5,0,2,3,False,True
25,暗紅,5,0,2,3,False,True
26,暗紅,5,0,5,0,False,True
27,暗紅,5,5,0,0,True,False
28,暗紅,5,0,5,0,False,True
29,暗紅,5,0,2,3,False,True
3,暗紅,5,1,4,0,False,True
30,暗紅,5,0,3,2,False,True
31,暗紅,5,0,3,2,False,True
32,暗紅,5,5,0,0,True,False
33,暗紅,5,0,1,4,False,True
34,暗紅,5,0,4,1,False,True
35,暗紅,5,0,3,2,False,True
36,暗紅,5,5,0,0,True,False
37,暗紅,5,0,5,0,False,True
38,暗紅,5,1,3,1,False,True
39,暗紅,5,0,2,3,False,True
4,暗紅,5,0,0,5,False,True
40,暗紅,5,0,1,4,False,True
41,暗紅,5,0,4,1,False,True
42,暗紅,5,0,1,4,False,True
43,暗紅,5,5,0,0,True,False
44,暗紅,5,0,4,1,False,True
45,暗紅,5,0,5,0,False,True
46,暗紅,5,0,4,1,False,True
47,暗紅,5,2,3,0,False,True
48,暗紅,5,0,4,1,False,True
49,暗紅,5,3,2,0,False,True
5,暗紅,5,2,3,0,False,True
50,暗紅,5,0,4,1,False,True
51,暗紅,5,2,3,0,False,True
52,暗紅,5,4,1,0,False,True
53,暗紅,5,5,0,0,True,False
54,暗紅,5,4,1,0,False,True
55,暗紅,5,4,1,0,False,True
56,暗紅,5,0,4,1,False,True
57,暗紅,5,0,5,0,False,True
58,暗紅,5,0,1,4,False,True
59,暗紅,5,4,1,0,False,True
6,暗紅,5,2,3,0,False,True
60,暗紅,5,3,2,0,False,True
61,暗紅,5,0,5,0,False,True
62,暗紅,5,0,2,3,False,True
63,暗紅,5,0,3,2,False,True
64,暗紅,5,0,1,4,False,True
65,暗紅,5,5,0,0,True,False
66,暗紅,5,0,2,3,False,True
67,暗紅,5,1,3,1,False,True
68,暗紅,5,0,3,2,False,True
69,暗紅,5,0,2,3,False,True
7,暗紅,5,3,2,0,False,True
70,暗紅,5,3,2,0,False,True
71,暗紅,5,0,1,4,False,True
72,暗紅,5,0,4,1,False,True
73,暗紅,5,0,2,3,False,True
74,暗紅,5,0,4,1,False,True
75,暗紅,5,1,0,4,False,True
76,暗紅,5,2,3,0,False,True
77,暗紅,5,0,4,1,False,True
78,暗紅,5,0,3,2,False,True
79,暗紅,5,4,1,0,False,True
8,暗紅,5,5,0,0,True,False
80,暗紅,5,0,3,2,False,True
81,暗紅,5,0,5,0,False,True
