image_id,n_items,unanimous_items,unanimous_rate,three_one_items,two_two_items,strict_unanimous,unanimous_90_percent,unanimous_80_percent,unanimous_70_percent
8,30,29,0.9666666666666667,1,0,False,True,True,True
65,30,27,0.9,3,0,False,True,True,True
70,30,26,0.8666666666666667,4,0,False,False,True,True
12,30,24,0.8,6,0,False,False,True,True
15,30,24,0.8,6,0,False,False,True,True
79,30,24,0.8,4,2,False,False,True,True
54,30,23,0.7666666666666667,7,0,False,False,False,True
87,30,23,0.7666666666666667,4,3,False,False,False,True
22,30,22,0.7333333333333333,7,1,False,False,False,True
29,30,22,0.7333333333333333,4,4,False,False,False,True
36,30,22,0.7333333333333333,6,2,False,False,False,True
82,30,22,0.7333333333333333,5,3,False,False,False,True
11,30,21,0.7,9,0,False,False,False,True
16,30,21,0.7,9,0,False,False,False,True
37,30,21,0.7,9,0,False,False,False,True
6,30,21,0.7,7,2,False,False,False,True
93,30,21,0.7,9,0,False,False,False,True
1,30,20,0.6666666666666666,9,1,False,False,False,False
21,30,20,0.6666666666666666,9,1,False,False,False,False
28,30,20,0.6666666666666666,10,0,False,False,False,False
53,30,20,0.6666666666666666,3,7,False,False,False,False
67,30,20,0.6666666666666666,6,4,False,False,False,False
81,30,20,0.6666666666666666,5,5,False,False,False,False
9,30,20,0.6666666666666666,6,4,False,False,False,False
99,30,20,0.6666666666666666,0,10,False,False,False,False
10,30,19,0.6333333333333333,9,2,False,False,False,False
18,30,19,0.6333333333333333,7,4,False,False,False,False
2,30,19,0.6333333333333333,8,3,False,False,False,False
31,30,19,0.6333333333333333,7,4,False,False,False,False
46,30,19,0.6333333333333333,7,4,False,False,False,False
52,30,19,0.6333333333333333,5,6,False,False,False,False
61,30,19,0.6333333333333333,5,6,False,False,False,False
85,30,19,0.6333333333333333,10,1,False,False,False,False
14,30,18,0.6,10,2,False,False,False,False
19,30,18,0.6,11,1,False,False,False,False
23,30,18,0.6,9,3,False,False,False,False
27,30,18,0.6,7,5,False,False,False,False
3,30,18,0.6,12,0,False,False,False,False
32,30,18,0.6,7,5,False,False,False,False
47,30,18,0.6,8,4,False,False,False,False
59,30,18,0.6,11,1,False,False,False,False
66,30,18,0.6,6,6,False,False,False,False
76,30,18,0.6,7,5,False,False,False,False
5,30,17,0.5666666666666667,7,6,False,False,False,False
55,30,17,0.5666666666666667,10,3,False,False,False,False
57,30,17,0.5666666666666667,10,3,False,False,False,False
77,30,17,0.5666666666666667,4,9,False,False,False,False
83,30,17,0.5666666666666667,6,7,False,False,False,False
89,30,17,0.5666666666666667,8,5,False,False,False,False
95,30,17,0.5666666666666667,13,0,False,False,False,False
96,30,17,0.5666666666666667,11,2,False,False,False,False
4,30,16,0.5333333333333333,6,8,False,False,False,False
43,30,16,0.5333333333333333,8,6,False,False,False,False
45,30,16,0.5333333333333333,13,1,False,False,False,False
48,30,16,0.5333333333333333,5,9,False,False,False,False
51,30,16,0.5333333333333333,11,3,False,False,False,False
68,30,16,0.5333333333333333,7,7,False,False,False,False
7,30,16,0.5333333333333333,6,8,False,False,False,False
72,30,16,0.5333333333333333,11,3,False,False,False,False
75,30,16,0.5333333333333333,4,10,False,False,False,False
80,30,16,0.5333333333333333,9,5,False,False,False,False
94,30,16,0.5333333333333333,13,1,False,False,False,False
17,30,15,0.5,9,6,False,False,False,False
20,30,15,0.5,9,6,False,False,False,False
38,30,15,0.5,13,2,False,False,False,False
62,30,15,0.5,4,11,False,False,False,False
63,30,15,0.5,6,9,False,False,False,False
64,30,15,0.5,6,9,False,False,False,False
71,30,15,0.5,5,10,False,False,False,False
41,30,14,0.4666666666666667,11,5,False,False,False,False
44,30,14,0.4666666666666667,5,11,False,False,False,False
50,30,14,0.4666666666666667,13,3,False,False,False,False
58,30,14,0.4666666666666667,6,10,False,False,False,False
78,30,14,0.4666666666666667,8,8,False,False,False,False
86,30,14,0.4666666666666667,11,5,False,False,False,False
90,30,14,0.4666666666666667,10,6,False,False,False,False
100,30,13,0.43333333333333335,5,12,False,False,False,False
13,30,13,0.43333333333333335,9,8,False,False,False,False
73,30,13,0.43333333333333335,9,8,False,False,False,False
84,30,13,0.43333333333333335,16,1,False,False,False,False
91,30,13,0.43333333333333335,14,3,False,False,False,False
34,30,12,0.4,11,7,False,False,False,False
35,30,12,0.4,10,8,False,False,False,False
49,30,12,0.4,14,4,False,False,False,False
56,30,12,0.4,11,7,False,False,False,False
69,30,12,0.4,9,9,False,False,False,False
97,30,12,0.4,12,6,False,False,False,False
25,30,11,0.36666666666666664,14,5,False,False,False,False
26,30,11,0.36666666666666664,12,7,False,False,False,False
30,30,11,0.36666666666666664,7,12,False,False,False,False
33,30,11,0.36666666666666664,5,14,False,False,False,False
39,30,11,0.36666666666666664,7,12,False,False,False,False
40,30,11,0.36666666666666664,12,7,False,False,False,False
60,30,11,0.36666666666666664,13,6,False,False,False,False
74,30,11,0.36666666666666664,15,4,False,False,False,False
92,30,11,0.36666666666666664,9,10,False,False,False,False
24,30,10,0.3333333333333333,15,5,False,False,False,False
42,30,10,0.3333333333333333,9,11,False,False,False,False
88,30,10,0.3333333333333333,10,10,False,False,False,False
98,30,10,0.3333333333333333,14,6,False,False,False,False
