color,analysis_type,segmentation_method,model,n_test_items,n_test_patients,positive,negative,accuracy,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp
淡紅,primary,tip_middle_root_1_2_2,Random Forest,173,66,68,105,0.5433526011560693,0.4225352112676056,0.4411764705882353,0.4316546762589928,0.5253501400560224,64,41,38,30
淡紅,primary,tip_middle_root_1_2_2,SVM,173,66,68,105,0.5317919075144508,0.4177215189873418,0.4852941176470588,0.4489795918367347,0.5235994397759104,59,46,35,33
淡紅,primary,tip_middle_root_1_3_1,Random Forest,173,66,68,105,0.6069364161849711,0.5,0.4705882352941176,0.4848484848484848,0.5829131652661064,73,32,36,32
淡紅,primary,tip_middle_root_1_3_1,SVM,173,66,68,105,0.5664739884393064,0.4533333333333333,0.5,0.4755244755244755,0.5547619047619048,64,41,34,34
鮮紅,primary,tip_middle_root_1_2_2,Random Forest,170,58,72,98,0.7058823529411765,0.6964285714285714,0.5416666666666666,0.609375,0.6840986394557823,81,17,33,39
鮮紅,primary,tip_middle_root_1_2_2,SVM,170,58,72,98,0.6705882352941176,0.625,0.5555555555555556,0.5882352941176471,0.655328798185941,74,24,32,40
鮮紅,primary,tip_middle_root_1_3_1,Random Forest,170,58,72,98,0.6941176470588235,0.7083333333333334,0.4722222222222222,0.5666666666666667,0.6646825396825397,84,14,38,34
鮮紅,primary,tip_middle_root_1_3_1,SVM,170,58,72,98,0.6705882352941176,0.6333333333333333,0.5277777777777778,0.5757575757575758,0.6516439909297052,76,22,34,38
淡紅,primary,tip_middle_root_1_2_2,CNN,173,66,68,105,0.6242774566473989,0.5294117647058824,0.39705882352941174,0.453781512605042,0.5842436974789916,81,24,41,27
淡紅,primary,tip_middle_root_1_3_1,CNN,173,66,68,105,0.5838150289017341,0.4,0.11764705882352941,0.18181818181818182,0.5016806722689076,93,12,60,8
鮮紅,primary,tip_middle_root_1_2_2,CNN,170,58,72,98,0.5941176470588235,0.5137614678899083,0.7777777777777778,0.6187845303867403,0.6184807256235828,45,53,16,56
鮮紅,primary,tip_middle_root_1_3_1,CNN,170,58,72,98,0.6058823529411764,0.5263157894736842,0.6944444444444444,0.5988023952095808,0.6176303854875284,53,45,22,50
