color,analysis_type,segmentation_method,model,n_test_items,n_test_patients,positive,negative,accuracy,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp
暗紅,exploratory,tip_middle_root_1_2_2,Random Forest,241,84,86,155,0.6265560165975104,0.16666666666666666,0.011627906976744186,0.021739130434782608,0.4896849212303076,150,5,85,1
暗紅,exploratory,tip_middle_root_1_2_2,SVM,241,84,86,155,0.6390041493775933,0.4782608695652174,0.12790697674418605,0.2018348623853211,0.5252438109527382,143,12,75,11
暗紅,exploratory,tip_middle_root_1_3_1,Random Forest,241,84,86,155,0.6182572614107884,0.3125,0.05813953488372093,0.09803921568627451,0.49358589647411855,144,11,81,5
暗紅,exploratory,tip_middle_root_1_3_1,SVM,241,84,86,155,0.6473029045643154,0.5384615384615384,0.08139534883720931,0.1414141414141414,0.5213428357089273,149,6,79,7
淡紅,primary,tip_middle_root_1_2_2,Random Forest,173,66,68,105,0.5433526011560693,0.4225352112676056,0.4411764705882353,0.4316546762589928,0.5253501400560224,64,41,38,30
淡紅,primary,tip_middle_root_1_2_2,SVM,173,66,68,105,0.5317919075144508,0.4177215189873418,0.4852941176470588,0.4489795918367347,0.5235994397759104,59,46,35,33
淡紅,primary,tip_middle_root_1_3_1,Random Forest,173,66,68,105,0.6069364161849711,0.5,0.47058823529411764,0.48484848484848486,0.5829131652661064,73,32,36,32
淡紅,primary,tip_middle_root_1_3_1,SVM,173,66,68,105,0.5664739884393064,0.4533333333333333,0.5,0.4755244755244755,0.5547619047619048,64,41,34,34
青紫,exploratory,tip_middle_root_1_2_2,Random Forest,174,75,40,134,0.7586206896551724,0.45,0.225,0.3,0.571455223880597,123,11,31,9
青紫,exploratory,tip_middle_root_1_2_2,SVM,174,75,40,134,0.7126436781609196,0.35294117647058826,0.3,0.32432432432432434,0.567910447761194,112,22,28,12
青紫,exploratory,tip_middle_root_1_3_1,Random Forest,174,75,40,134,0.7873563218390804,0.5882352941176471,0.25,0.3508771929824561,0.5988805970149254,127,7,30,10
青紫,exploratory,tip_middle_root_1_3_1,SVM,174,75,40,134,0.7011494252873564,0.3235294117647059,0.275,0.2972972972972973,0.5516791044776119,111,23,29,11
鮮紅,primary,tip_middle_root_1_2_2,Random Forest,170,58,72,98,0.7058823529411765,0.6964285714285714,0.5416666666666666,0.609375,0.6840986394557823,81,17,33,39
鮮紅,primary,tip_middle_root_1_2_2,SVM,170,58,72,98,0.6705882352941176,0.625,0.5555555555555556,0.5882352941176471,0.655328798185941,74,24,32,40
鮮紅,primary,tip_middle_root_1_3_1,Random Forest,170,58,72,98,0.6941176470588235,0.7083333333333334,0.4722222222222222,0.5666666666666667,0.6646825396825397,84,14,38,34
鮮紅,primary,tip_middle_root_1_3_1,SVM,170,58,72,98,0.6705882352941176,0.6333333333333333,0.5277777777777778,0.5757575757575758,0.6516439909297052,76,22,34,38
