color,analysis_type,segmentation_method,model,fold,train_patients,test_patients,train_items,train_positive,train_negative,test_items,test_positive,test_negative,accuracy,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp
淡紅,primary,tip_middle_root_1_2_2,SVM,1,77,19,186,29,157,43,19,24,0.5348837209302325,0.4782608695652174,0.5789473684210527,0.5238095238095238,0.5394736842105263,12,12,8,11
淡紅,primary,tip_middle_root_1_2_2,Random Forest,1,77,19,186,29,157,43,19,24,0.5813953488372093,0.5217391304347826,0.631578947368421,0.5714285714285714,0.5866228070175439,13,11,7,12
淡紅,primary,tip_middle_root_1_2_2,SVM,2,76,20,175,18,157,30,8,22,0.4666666666666667,0.0,0.0,0.0,0.3181818181818182,14,8,8,0
淡紅,primary,tip_middle_root_1_2_2,Random Forest,2,76,20,175,18,157,30,8,22,0.4666666666666667,0.1,0.125,0.1111111111111111,0.35795454545454547,13,9,7,1
淡紅,primary,tip_middle_root_1_2_2,SVM,3,78,18,177,22,155,31,12,19,0.6129032258064516,0.5,0.4166666666666667,0.45454545454545453,0.5767543859649122,14,5,7,5
淡紅,primary,tip_middle_root_1_2_2,Random Forest,3,78,18,177,22,155,31,12,19,0.5483870967741935,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.5241228070175439,12,7,7,5
淡紅,primary,tip_middle_root_1_2_2,SVM,4,75,21,179,27,152,32,16,16,0.5,0.5,0.4375,0.4666666666666667,0.5,9,7,9,7
淡紅,primary,tip_middle_root_1_2_2,Random Forest,4,75,21,179,27,152,32,16,16,0.46875,0.42857142857142855,0.1875,0.2608695652173913,0.46875,12,4,13,3
淡紅,primary,tip_middle_root_1_2_2,SVM,5,78,18,183,24,159,37,13,24,0.5405405405405406,0.4166666666666667,0.7692307692307693,0.5405405405405406,0.592948717948718,10,14,3,10
淡紅,primary,tip_middle_root_1_2_2,Random Forest,5,78,18,183,24,159,37,13,24,0.6216216216216216,0.47368421052631576,0.6923076923076923,0.5625,0.6378205128205128,14,10,4,9
淡紅,primary,tip_middle_root_1_3_1,SVM,1,77,19,186,29,157,43,19,24,0.6511627906976745,0.6,0.631578947368421,0.6153846153846154,0.6491228070175439,16,8,7,12
淡紅,primary,tip_middle_root_1_3_1,Random Forest,1,77,19,186,29,157,43,19,24,0.6976744186046512,0.6363636363636364,0.7368421052631579,0.6829268292682927,0.7017543859649122,16,8,5,14
淡紅,primary,tip_middle_root_1_3_1,SVM,2,76,20,175,18,157,30,8,22,0.43333333333333335,0.0,0.0,0.0,0.29545454545454547,13,9,8,0
淡紅,primary,tip_middle_root_1_3_1,Random Forest,2,76,20,175,18,157,30,8,22,0.5,0.0,0.0,0.0,0.3409090909090909,15,7,8,0
淡紅,primary,tip_middle_root_1_3_1,SVM,3,78,18,177,22,155,31,12,19,0.6774193548387096,0.6,0.5,0.5454545454545454,0.6447368421052632,15,4,6,6
淡紅,primary,tip_middle_root_1_3_1,Random Forest,3,78,18,177,22,155,31,12,19,0.6129032258064516,0.5,0.4166666666666667,0.45454545454545453,0.5767543859649122,14,5,7,5
淡紅,primary,tip_middle_root_1_3_1,SVM,4,75,21,179,27,152,32,16,16,0.46875,0.4666666666666667,0.4375,0.45161290322580644,0.46875,8,8,9,7
淡紅,primary,tip_middle_root_1_3_1,Random Forest,4,75,21,179,27,152,32,16,16,0.5,0.5,0.1875,0.2727272727272727,0.5,13,3,13,3
淡紅,primary,tip_middle_root_1_3_1,SVM,5,78,18,183,24,159,37,13,24,0.5675675675675675,0.42857142857142855,0.6923076923076923,0.5294117647058824,0.5961538461538461,12,12,4,9
淡紅,primary,tip_middle_root_1_3_1,Random Forest,5,78,18,183,24,159,37,13,24,0.6756756756756757,0.5263157894736842,0.7692307692307693,0.625,0.6971153846153846,15,9,3,10
鮮紅,primary,tip_middle_root_1_2_2,SVM,1,68,18,149,25,124,40,14,26,0.7,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6703296703296704,20,6,6,8
鮮紅,primary,tip_middle_root_1_2_2,Random Forest,1,68,18,149,25,124,40,14,26,0.75,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.7087912087912087,22,4,6,8
鮮紅,primary,tip_middle_root_1_2_2,SVM,2,70,16,133,25,108,26,15,11,0.7307692307692307,0.9,0.6,0.72,0.7545454545454545,10,1,6,9
鮮紅,primary,tip_middle_root_1_2_2,Random Forest,2,70,16,133,25,108,26,15,11,0.7307692307692307,0.9,0.6,0.72,0.7545454545454545,10,1,6,9
鮮紅,primary,tip_middle_root_1_2_2,SVM,3,70,16,137,25,112,29,13,16,0.8275862068965517,0.75,0.9230769230769231,0.8275862068965517,0.8365384615384616,12,4,1,12
