color,model,n_samples,positive,negative,folds,accuracy,precision,recall,f1,balanced_accuracy,TN,FP,FN,TP
淡紅,SVM,204,70,134,5,0.6715686274509803,0.5161290322580645,0.6857142857142857,0.588957055214724,0.6749466950959488,89.0,45.0,22.0,48.0
淡紅,Random Forest,204,70,134,5,0.7009803921568627,0.5652173913043478,0.5571428571428572,0.5611510791366906,0.6666311300639659,104.0,30.0,31.0,39.0
淡白,SVM,246,5,241,5,0.8333333333333334,0.0,0.0,0.0,0.42531120331950206,205.0,36.0,5.0,0.0
淡白,Random Forest,246,5,241,5,0.9796747967479674,0.0,0.0,0.0,0.5,241.0,0.0,5.0,0.0
鮮紅,SVM,209,55,154,5,0.8133971291866029,0.6428571428571429,0.6545454545454545,0.6486486486486487,0.7623376623376623,134.0,20.0,19.0,36.0
鮮紅,Random Forest,209,55,154,5,0.8038277511961722,0.6296296296296297,0.6181818181818182,0.6238532110091743,0.7441558441558441,134.0,20.0,21.0,34.0
暗紅,SVM,221,52,169,5,0.6063348416289592,0.2463768115942029,0.3269230769230769,0.2809917355371901,0.5096153846153846,117.0,52.0,35.0,17.0
暗紅,Random Forest,221,52,169,5,0.6199095022624435,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.4718934911242603,127.0,42.0,42.0,10.0
青紫,SVM,214,18,196,5,0.8130841121495327,0.225,0.5,0.3103448275862069,0.6709183673469388,165.0,31.0,9.0,9.0
青紫,Random Forest,214,18,196,5,0.8785046728971962,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.530045351473923,186.0,10.0,16.0,2.0
灰黑,無法評估,270,0,270,0,,,,,,,,,
