segmentation_method,model,cnn_architecture,color,n_samples,accuracy,precision,recall,f1,balanced_accuracy,TN,FP,FN,TP
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡紅,204,0.6078431372549019,0.38636363636363635,0.24285714285714285,0.2982456140350877,0.520682302771855,107,27,53,17
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡紅,204,0.5784313725490197,0.30952380952380953,0.18571428571428572,0.23214285714285715,0.4846481876332623,105,29,57,13
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡白,246,0.7642276422764228,0.0,0.0,0.0,0.3900414937759336,188,53,5,0
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡白,246,0.508130081300813,0.00847457627118644,0.2,0.016260162601626018,0.3572614107883817,124,117,4,1
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,鮮紅,209,0.4880382775119617,0.32432432432432434,0.8727272727272727,0.4729064039408867,0.6116883116883116,54,100,7,48
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,鮮紅,209,0.5598086124401914,0.35658914728682173,0.8363636363636363,0.5,0.6487012987012987,71,83,9,46
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,暗紅,221,0.48868778280542985,0.23008849557522124,0.5,0.3151515151515151,0.492603550295858,82,87,26,26
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,暗紅,221,0.5067873303167421,0.2644628099173554,0.6153846153846154,0.3699421965317919,0.5443786982248521,80,89,20,32
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,青紫,214,0.6962616822429907,0.08771929824561403,0.2777777777777778,0.13333333333333333,0.5062358276643991,144,52,13,5
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,青紫,214,0.7429906542056075,0.08888888888888889,0.2222222222222222,0.12698412698412698,0.5065192743764173,155,41,14,4
