segmentation_method,model,cnn_architecture,color,fold,train_samples,test_samples,train_patients,test_patients,accuracy,precision,recall,f1,balanced_accuracy
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡紅,1,164,40,42,11,0.475,0.25,0.3076923076923077,0.27586206896551724,0.43162393162393164
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡紅,2,163,41,42,11,0.7317073170731707,0.8,0.2857142857142857,0.42105263157894735,0.6243386243386243
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡紅,3,164,40,43,10,0.625,0.4,0.14285714285714285,0.21052631578947367,0.5137362637362637
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡紅,4,161,43,42,11,0.627906976744186,0.42857142857142855,0.2,0.2727272727272727,0.5285714285714286
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡紅,5,164,40,43,10,0.575,0.36363636363636365,0.2857142857142857,0.32,0.5082417582417582
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡紅,1,164,40,42,11,0.5,0.26666666666666666,0.3076923076923077,0.2857142857142857,0.45014245014245013
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡紅,2,163,41,42,11,0.6585365853658537,0.0,0.0,0.0,0.5
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡紅,3,164,40,43,10,0.6,0.4,0.2857142857142857,0.3333333333333333,0.5274725274725275
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡紅,4,161,43,42,11,0.5581395348837209,0.25,0.13333333333333333,0.17391304347826086,0.4595238095238095
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡紅,5,164,40,43,10,0.575,0.3333333333333333,0.21428571428571427,0.2608695652173913,0.4917582417582418
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡白,1,195,51,41,11,0.9019607843137255,0.0,0.0,0.0,0.48936170212765956
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡白,2,197,49,41,11,0.6122448979591837,0.0,0.0,0.0,0.3125
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡白,3,196,50,42,10,0.78,0.0,0.0,0.0,0.78
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡白,4,198,48,42,10,0.7708333333333334,0.0,0.0,0.0,0.7708333333333334
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡白,5,198,48,42,10,0.75,0.0,0.0,0.0,0.75
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡白,1,195,51,41,11,0.8431372549019608,0.16666666666666666,0.25,0.2,0.5718085106382979
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡白,2,197,49,41,11,0.4897959183673469,0.0,0.0,0.0,0.25
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡白,3,196,50,42,10,0.4,0.0,0.0,0.0,0.4
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡白,4,198,48,42,10,0.5416666666666666,0.0,0.0,0.0,0.5416666666666666
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡白,5,198,48,42,10,0.25,0.0,0.0,0.0,0.25
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,鮮紅,1,169,40,40,10,0.4,0.3142857142857143,1.0,0.4782608695652174,0.5862068965517242
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,鮮紅,2,169,40,41,9,0.6,0.4074074074074074,1.0,0.5789473684210527,0.7241379310344828
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,鮮紅,3,167,42,40,10,0.5,0.2962962962962963,0.8,0.43243243243243246,0.603125
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,鮮紅,4,169,40,40,10,0.525,0.34615384615384615,0.8181818181818182,0.4864864864864865,0.6159874608150471
