segmentation_method,model,region,color,n_samples,n_patients,accuracy,precision,recall,f1,balanced_accuracy,TN,FP,FN,TP
tip_middle_root_1_2_2,SVM,舌尖,淡紅,40,40,0.65,0.5,0.7142857142857143,0.5882352941176471,0.6648351648351649,16,10,4,10
tip_middle_root_1_2_2,SVM,舌尖,鮮紅,42,42,0.7619047619047619,0.6111111111111112,0.7857142857142857,0.6875,0.7678571428571428,21,7,3,11
tip_middle_root_1_2_2,SVM,舌尖,暗紅,43,43,0.7441860465116279,0.2,0.4,0.26666666666666666,0.5947368421052632,30,8,3,2
tip_middle_root_1_2_2,SVM,舌尖,青紫,43,43,0.7209302325581395,0.2,0.3333333333333333,0.25,0.5585585585585585,29,8,4,2
tip_middle_root_1_2_2,SVM,舌中,淡紅,36,36,0.6666666666666666,0.5238095238095238,0.8461538461538461,0.6470588235294118,0.705685618729097,13,10,2,11
tip_middle_root_1_2_2,SVM,舌中,鮮紅,40,40,0.875,0.75,0.42857142857142855,0.5454545454545454,0.6991341991341992,32,1,4,3
tip_middle_root_1_2_2,SVM,舌中,暗紅,46,46,0.6956521739130435,0.375,0.25,0.3,0.5514705882352942,29,5,9,3
tip_middle_root_1_2_2,SVM,舌中,青紫,44,44,0.7727272727272727,0.2,0.5,0.2857142857142857,0.65,32,8,2,2
tip_middle_root_1_2_2,SVM,舌左邊,淡紅,46,46,0.6086956521739131,0.4583333333333333,0.6875,0.55,0.6270833333333333,17,13,5,11
tip_middle_root_1_2_2,SVM,舌左邊,鮮紅,45,45,0.7777777777777778,0.631578947368421,0.8,0.7058823529411765,0.7833333333333334,23,7,3,12
tip_middle_root_1_2_2,SVM,舌左邊,暗紅,46,46,0.6521739130434783,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.5220779220779221,27,8,8,3
tip_middle_root_1_2_2,SVM,舌左邊,青紫,38,38,0.7631578947368421,0.2,0.6666666666666666,0.3076923076923077,0.719047619047619,27,8,1,2
tip_middle_root_1_2_2,SVM,舌右邊,淡紅,44,44,0.6818181818181818,0.5263157894736842,0.6666666666666666,0.5882352941176471,0.6781609195402298,20,9,5,10
tip_middle_root_1_2_2,SVM,舌右邊,鮮紅,45,45,0.7555555555555555,0.6,0.8,0.6857142857142857,0.7666666666666666,22,8,3,12
tip_middle_root_1_2_2,SVM,舌右邊,暗紅,45,45,0.6,0.23076923076923078,0.2727272727272727,0.25,0.4893048128342246,24,10,8,3
tip_middle_root_1_2_2,SVM,舌右邊,青紫,37,37,0.7297297297297297,0.2,0.5,0.2857142857142857,0.6287878787878788,25,8,2,2
tip_middle_root_1_2_2,SVM,舌根,淡紅,38,38,0.6842105263157895,0.5,0.5833333333333334,0.5384615384615384,0.657051282051282,19,7,5,7
tip_middle_root_1_2_2,SVM,舌根,鮮紅,37,37,0.8378378378378378,0.0,0.0,0.0,0.4696969696969697,31,2,4,0
tip_middle_root_1_2_2,SVM,舌根,暗紅,41,41,0.3902439024390244,0.25,0.46153846153846156,0.32432432432432434,0.40934065934065933,10,18,7,6
tip_middle_root_1_2_2,SVM,舌根,青紫,52,52,0.9423076923076923,0.0,0.0,0.0,0.4803921568627451,49,2,1,0
tip_middle_root_1_2_2,Random Forest,舌尖,淡紅,40,40,0.75,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.7252747252747254,21,5,5,9
tip_middle_root_1_2_2,Random Forest,舌尖,鮮紅,42,42,0.7619047619047619,0.625,0.7142857142857143,0.6666666666666666,0.75,22,6,4,10
tip_middle_root_1_2_2,Random Forest,舌尖,暗紅,43,43,0.7674418604651163,0.0,0.0,0.0,0.4342105263157895,33,5,5,0
tip_middle_root_1_2_2,Random Forest,舌尖,青紫,43,43,0.8372093023255814,0.4,0.3333333333333333,0.36363636363636365,0.6261261261261262,34,3,4,2
tip_middle_root_1_2_2,Random Forest,舌中,淡紅,36,36,0.6666666666666666,0.5263157894736842,0.7692307692307693,0.625,0.6889632107023411,14,9,3,10
tip_middle_root_1_2_2,Random Forest,舌中,鮮紅,40,40,0.925,1.0,0.5714285714285714,0.7272727272727273,0.7857142857142857,33,0,3,4
tip_middle_root_1_2_2,Random Forest,舌中,暗紅,46,46,0.6739130434782609,0.2857142857142857,0.16666666666666666,0.21052631578947367,0.5098039215686274,29,5,10,2
tip_middle_root_1_2_2,Random Forest,舌中,青紫,44,44,0.8863636363636364,0.3333333333333333,0.25,0.2857142857142857,0.6,38,2,3,1
tip_middle_root_1_2_2,Random Forest,舌左邊,淡紅,46,46,0.6739130434782609,0.5384615384615384,0.4375,0.4827586206896552,0.61875,24,6,9,7
tip_middle_root_1_2_2,Random Forest,舌左邊,鮮紅,45,45,0.7555555555555555,0.625,0.6666666666666666,0.6451612903225806,0.7333333333333334,24,6,5,10
tip_middle_root_1_2_2,Random Forest,舌左邊,暗紅,46,46,0.6739130434782609,0.25,0.18181818181818182,0.21052631578947367,0.5051948051948052,29,6,9,2
tip_middle_root_1_2_2,Random Forest,舌左邊,青紫,38,38,0.868421052631579,0.0,0.0,0.0,0.4714285714285714,33,2,3,0
tip_middle_root_1_2_2,Random Forest,舌右邊,淡紅,44,44,0.75,0.625,0.6666666666666666,0.6451612903225806,0.7298850574712643,23,6,5,10
tip_middle_root_1_2_2,Random Forest,舌右邊,鮮紅,45,45,0.8,0.6666666666666666,0.8,0.7272727272727273,0.8,24,6,3,12
tip_middle_root_1_2_2,Random Forest,舌右邊,暗紅,45,45,0.6444444444444445,0.2222222222222222,0.18181818181818182,0.2,0.4879679144385026,27,7,9,2
tip_middle_root_1_2_2,Random Forest,舌右邊,青紫,37,37,0.8648648648648649,0.0,0.0,0.0,0.48484848484848486,32,1,4,0
tip_middle_root_1_2_2,Random Forest,舌根,淡紅,38,38,0.6842105263157895,0.5,0.5833333333333334,0.5384615384615384,0.657051282051282,19,7,5,7
tip_middle_root_1_2_2,Random Forest,舌根,鮮紅,37,37,0.8918918918918919,0.5,0.5,0.5,0.7196969696969697,31,2,2,2
tip_middle_root_1_2_2,Random Forest,舌根,暗紅,41,41,0.4878048780487805,0.16666666666666666,0.15384615384615385,0.16,0.3983516483516484,18,10,11,2
tip_middle_root_1_2_2,Random Forest,舌根,青紫,52,52,0.9807692307692307,0.0,0.0,0.0,0.5,51,0,1,0
tip_middle_root_1_2_2,CNN,舌尖,淡紅,40,40,0.7,0.75,0.21428571428571427,0.3333333333333333,0.5879120879120879,25,1,11,3
tip_middle_root_1_2_2,CNN,舌尖,鮮紅,42,42,0.42857142857142855,0.3684210526315789,1.0,0.5384615384615384,0.5714285714285714,4,24,0,14
