segmentation_method,model,region,n_common_colors,common_colors,n_binary_decisions,n_patients,macro_accuracy,macro_precision,macro_recall,macro_f1,macro_balanced_accuracy,micro_accuracy,micro_precision,micro_recall,micro_f1,micro_balanced_accuracy,micro_TN,micro_FP,micro_FN,micro_TP,macro_f1_rank,micro_f1_rank
tip_middle_root_1_2_2,SVM,舌尖,4,"淡紅,鮮紅,暗紅,青紫",168,54,0.7192552602436323,0.37777777777777777,0.5583333333333333,0.44810049019607845,0.6464969270890324,0.7202380952380952,0.43103448275862066,0.6410256410256411,0.5154639175257731,0.6926058437686344,96,33,14,25,3,1
tip_middle_root_1_2_2,SVM,舌中,4,"淡紅,鮮紅,暗紅,青紫",166,53,0.7525115283267456,0.4622023809523809,0.5061813186813187,0.44455691367456074,0.6515726015246476,0.7530120481927711,0.4418604651162791,0.5277777777777778,0.4810126582278481,0.6715811965811966,106,24,17,19,4,4
tip_middle_root_1_2_2,SVM,舌左邊,4,"淡紅,鮮紅,暗紅,青紫",175,54,0.7004513094330028,0.39065988835725673,0.6067234848484848,0.4590754833401892,0.662885551948052,0.6971428571428572,0.4375,0.6222222222222222,0.5137614678899083,0.6726495726495727,94,36,17,28,1,2
tip_middle_root_1_2_2,SVM,舌右邊,4,"淡紅,鮮紅,暗紅,青紫",171,53,0.6917758667758668,0.38927125506072874,0.5598484848484848,0.45241596638655457,0.64073006945725,0.6900584795321637,0.43548387096774194,0.6,0.5046728971962616,0.6611111111111111,91,35,18,27,2,3
tip_middle_root_1_2_2,SVM,舌根,4,"淡紅,鮮紅,暗紅,青紫",168,54,0.7136499897250861,0.1875,0.26121794871794873,0.2156964656964657,0.504120266987914,0.7261904761904762,0.30952380952380953,0.43333333333333335,0.3611111111111111,0.6115942028985507,109,29,17,13,5,5
tip_middle_root_1_2_2,Random Forest,舌尖,4,"淡紅,鮮紅,暗紅,青紫",168,54,0.7791389811738649,0.4169642857142857,0.4226190476190476,0.41829004329004327,0.6339028444291602,0.7797619047619048,0.525,0.5384615384615384,0.5316455696202531,0.6955873583780561,110,19,18,21,2,2
tip_middle_root_1_2_2,Random Forest,舌中,4,"淡紅,鮮紅,暗紅,青紫",166,53,0.787985836627141,0.5363408521303258,0.4393315018315019,0.46212833219412164,0.6461203544963136,0.7891566265060241,0.5151515151515151,0.4722222222222222,0.4927536231884058,0.6745726495726496,114,16,19,17,1,3
tip_middle_root_1_2_2,Random Forest,舌左邊,4,"淡紅,鮮紅,暗紅,青紫",175,54,0.742950673785914,0.3533653846153846,0.3214962121212121,0.33461155670042736,0.5821766774891775,0.7371428571428571,0.48717948717948717,0.4222222222222222,0.4523809523809524,0.6341880341880342,110,20,26,19,4,4
tip_middle_root_1_2_2,Random Forest,舌右邊,4,"淡紅,鮮紅,暗紅,青紫",171,53,0.7648273273273274,0.3784722222222222,0.41212121212121217,0.393108504398827,0.6256753641895629,0.7602339181286549,0.5454545454545454,0.5333333333333333,0.5393258426966292,0.6873015873015873,106,20,21,24,3,1
tip_middle_root_1_2_2,Random Forest,舌根,4,"淡紅,鮮紅,暗紅,青紫",168,54,0.7611691317564232,0.2916666666666667,0.3092948717948718,0.29961538461538456,0.568774975024975,0.7738095238095238,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.6144927536231884,119,19,19,11,5,5
