segmentation_method,model,cnn_architecture,color,n_samples,accuracy,precision,recall,f1,balanced_accuracy,TN,FP,FN,TP
tip_middle_root_1_2_2,SVM,,淡紅,204,0.6568627450980392,0.5,0.7,0.5833333333333334,0.6671641791044776,85,49,21,49
tip_middle_root_1_2_2,Random Forest,,淡紅,204,0.7058823529411765,0.5657894736842105,0.6142857142857143,0.589041095890411,0.6840085287846482,101,33,27,43
tip_middle_root_1_3_1,SVM,,淡紅,204,0.6666666666666666,0.5108695652173914,0.6714285714285714,0.5802469135802469,0.6678038379530917,89,45,23,47
tip_middle_root_1_3_1,Random Forest,,淡紅,204,0.7058823529411765,0.578125,0.5285714285714286,0.5522388059701493,0.6635394456289978,107,27,33,37
tip_middle_root_1_2_2,SVM,,淡白,246,0.8170731707317073,0.0,0.0,0.0,0.4170124481327801,201,40,5,0
tip_middle_root_1_2_2,Random Forest,,淡白,246,0.975609756097561,0.0,0.0,0.0,0.4979253112033195,240,1,5,0
tip_middle_root_1_3_1,SVM,,淡白,246,0.8211382113821138,0.0,0.0,0.0,0.4190871369294606,202,39,5,0
tip_middle_root_1_3_1,Random Forest,,淡白,246,0.9715447154471544,0.0,0.0,0.0,0.495850622406639,239,2,5,0
tip_middle_root_1_2_2,SVM,,鮮紅,209,0.7990430622009569,0.6031746031746031,0.6909090909090909,0.6440677966101694,0.7642857142857142,129,25,17,38
tip_middle_root_1_2_2,Random Forest,,鮮紅,209,0.8229665071770335,0.6551724137931034,0.6909090909090909,0.672566371681416,0.7805194805194805,134,20,17,38
tip_middle_root_1_3_1,SVM,,鮮紅,209,0.8181818181818182,0.6349206349206349,0.7272727272727273,0.6779661016949152,0.788961038961039,131,23,15,40
tip_middle_root_1_3_1,Random Forest,,鮮紅,209,0.8133971291866029,0.6379310344827587,0.6727272727272727,0.6548672566371682,0.7681818181818182,133,21,18,37
tip_middle_root_1_2_2,SVM,,暗紅,221,0.6199095022624435,0.2575757575757575,0.3269230769230769,0.288135593220339,0.518491124260355,120,49,35,17
tip_middle_root_1_2_2,Random Forest,,暗紅,221,0.6515837104072398,0.1951219512195122,0.1538461538461538,0.1720430107526881,0.4792899408284023,136,33,44,8
tip_middle_root_1_3_1,SVM,,暗紅,221,0.6425339366515838,0.2923076923076923,0.3653846153846153,0.3247863247863248,0.5465976331360947,123,46,33,19
tip_middle_root_1_3_1,Random Forest,,暗紅,221,0.6606334841628959,0.2553191489361702,0.2307692307692307,0.2424242424242424,0.5118343195266273,134,35,40,12
tip_middle_root_1_2_2,SVM,,青紫,214,0.794392523364486,0.1904761904761904,0.4444444444444444,0.2666666666666666,0.6354875283446713,162,34,10,8
tip_middle_root_1_2_2,Random Forest,,青紫,214,0.8925233644859814,0.2727272727272727,0.1666666666666666,0.2068965517241379,0.5629251700680272,188,8,15,3
tip_middle_root_1_3_1,SVM,,青紫,214,0.7850467289719626,0.1818181818181818,0.4444444444444444,0.2580645161290322,0.6303854875283447,160,36,10,8
tip_middle_root_1_3_1,Random Forest,,青紫,214,0.883177570093458,0.1818181818181818,0.1111111111111111,0.1379310344827586,0.5325963718820862,187,9,16,2
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡紅,204,0.6078431372549019,0.3863636363636363,0.2428571428571428,0.2982456140350877,0.520682302771855,107,27,53,17
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡紅,204,0.5784313725490197,0.3095238095238095,0.1857142857142857,0.2321428571428571,0.4846481876332623,105,29,57,13
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,淡白,246,0.7642276422764228,0.0,0.0,0.0,0.3900414937759336,188,53,5,0
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,淡白,246,0.508130081300813,0.0084745762711864,0.2,0.016260162601626,0.3572614107883817,124,117,4,1
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,鮮紅,209,0.4880382775119617,0.3243243243243243,0.8727272727272727,0.4729064039408867,0.6116883116883116,54,100,7,48
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,鮮紅,209,0.5598086124401914,0.3565891472868217,0.8363636363636363,0.5,0.6487012987012987,71,83,9,46
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,暗紅,221,0.4886877828054298,0.2300884955752212,0.5,0.3151515151515151,0.492603550295858,82,87,26,26
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,暗紅,221,0.5067873303167421,0.2644628099173554,0.6153846153846154,0.3699421965317919,0.5443786982248521,80,89,20,32
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,青紫,214,0.6962616822429907,0.087719298245614,0.2777777777777778,0.1333333333333333,0.5062358276643991,144,52,13,5
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,青紫,214,0.7429906542056075,0.0888888888888888,0.2222222222222222,0.1269841269841269,0.5065192743764173,155,41,14,4
