region,color,n_items,unanimous_n,unanimous_rate,three_one_n,three_one_rate,two_two_n,two_two_rate,fleiss_kappa
舌尖,淡紅,54,18,0.3333333333333333,22,0.4074074074074074,14,0.25925925925925924,0.2201704545454547
舌尖,淡白,54,44,0.8148148148148148,5,0.09259259259259259,5,0.09259259259259259,0.16417910447761283
舌尖,鮮紅,54,20,0.37037037037037035,22,0.4074074074074074,12,0.2222222222222222,0.24558823529411777
舌尖,暗紅,54,19,0.35185185185185186,24,0.4444444444444444,11,0.2037037037037037,0.0886075949367085
舌尖,青紫,54,20,0.37037037037037035,23,0.42592592592592593,11,0.2037037037037037,0.10228401191658362
舌尖,灰黑,54,54,1.0,0,0.0,0,0.0,
舌中,淡紅,54,19,0.35185185185185186,17,0.3148148148148148,18,0.3333333333333333,0.21649119702733793
舌中,淡白,54,41,0.7592592592592593,9,0.16666666666666666,4,0.07407407407407407,0.17285599786267597
舌中,鮮紅,54,21,0.3888888888888889,19,0.35185185185185186,14,0.25925925925925924,0.13950290851401428
舌中,暗紅,54,14,0.25925925925925924,32,0.5925925925925926,8,0.14814814814814814,0.1338345864661653
舌中,青紫,54,27,0.5,17,0.3148148148148148,10,0.18518518518518517,0.14853801169590683
舌中,灰黑,54,54,1.0,0,0.0,0,0.0,
舌左邊,淡紅,54,22,0.4074074074074074,24,0.4444444444444444,8,0.14814814814814814,0.32467532467532434
舌左邊,淡白,54,41,0.7592592592592593,8,0.14814814814814814,5,0.09259259259259259,0.25773195876288657
舌左邊,鮮紅,54,24,0.4444444444444444,21,0.3888888888888889,9,0.16666666666666666,0.33401849948612533
舌左邊,暗紅,54,21,0.3888888888888889,25,0.46296296296296297,8,0.14814814814814814,0.2150789607743249
舌左邊,青紫,54,16,0.2962962962962963,22,0.4074074074074074,16,0.2962962962962963,-2.76701738445039e-16
舌左邊,灰黑,54,54,1.0,0,0.0,0,0.0,
舌右邊,淡紅,54,22,0.4074074074074074,22,0.4074074074074074,10,0.18518518518518517,0.3116883116883115
舌右邊,淡白,54,40,0.7407407407407407,8,0.14814814814814814,6,0.1111111111111111,0.19025304592314932
舌右邊,鮮紅,54,24,0.4444444444444444,21,0.3888888888888889,9,0.16666666666666666,0.33401849948612533
舌右邊,暗紅,54,21,0.3888888888888889,24,0.4444444444444444,9,0.16666666666666666,0.21454545454545446
舌右邊,青紫,54,19,0.35185185185185186,18,0.3333333333333333,17,0.3148148148148148,0.061538461538461535
舌右邊,灰黑,54,54,1.0,0,0.0,0,0.0,
舌根,淡紅,54,16,0.2962962962962963,22,0.4074074074074074,16,0.2962962962962963,0.14816163087003975
舌根,淡白,54,42,0.7777777777777778,8,0.14814814814814814,4,0.07407407407407407,0.19191919191919188
舌根,鮮紅,54,21,0.3888888888888889,16,0.2962962962962963,17,0.3148148148148148,0.08860759493670878
舌根,暗紅,54,11,0.2037037037037037,30,0.5555555555555556,13,0.24074074074074073,0.08550983899821105
舌根,青紫,54,45,0.8333333333333334,7,0.12962962962962962,2,0.037037037037037035,0.3074626865671648
舌根,灰黑,54,53,0.9814814814814815,1,0.018518518518518517,0,0.0,-0.004651162790695993
