segmentation_method,model,region,n_evaluable_colors,macro_accuracy,macro_precision,macro_recall,macro_f1,macro_balanced_accuracy
tip_middle_root_1_2_2,SVM,舌尖,4,0.7192552602436323,0.37777777777777777,0.5583333333333333,0.44810049019607845,0.6464969270890324
tip_middle_root_1_2_2,SVM,舌中,5,0.7420092226613966,0.36976190476190474,0.40494505494505495,0.35564553093964857,0.5926866526482895
tip_middle_root_1_2_2,SVM,舌左邊,5,0.7154630883627286,0.3125279106858054,0.48537878787878785,0.3672603866721514,0.6111595053882288
tip_middle_root_1_2_2,SVM,舌右邊,5,0.7200873600873601,0.31141700404858297,0.4478787878787879,0.36193277310924366,0.5976904385445234
tip_middle_root_1_2_2,SVM,舌根,5,0.7629199917800686,0.15,0.20897435897435898,0.17255717255717257,0.5012553972638006
tip_middle_root_1_2_2,Random Forest,舌尖,4,0.7791389811738649,0.4169642857142857,0.4226190476190476,0.41829004329004327,0.6339028444291602
tip_middle_root_1_2_2,Random Forest,舌中,5,0.8263886693017127,0.4290726817042606,0.3514652014652015,0.3697026657552973,0.6168962835970508
tip_middle_root_1_2_2,Random Forest,舌左邊,5,0.7861972737226088,0.2826923076923077,0.2571969696969697,0.2676892453603419,0.565741341991342
tip_middle_root_1_2_2,Random Forest,舌右邊,5,0.8076951951951952,0.30277777777777776,0.3296969696969697,0.3144868035190616,0.6005402913516503
tip_middle_root_1_2_2,Random Forest,舌根,5,0.8009353054051385,0.23333333333333334,0.24743589743589745,0.23969230769230765,0.5529791636934493
tip_middle_root_1_2_2,CNN,舌尖,4,0.6716777408637874,0.30738304093567254,0.35357142857142854,0.25366300366300365,0.5351409969831022
tip_middle_root_1_2_2,CNN,舌中,5,0.49629249011857707,0.1800908521303258,0.45787545787545786,0.24438170525127045,0.47347612927810223
tip_middle_root_1_2_2,CNN,舌左邊,5,0.5639396628216504,0.1890559732664996,0.3740909090909091,0.21506292449688677,0.4725672377268122
tip_middle_root_1_2_2,CNN,舌右邊,5,0.5542403767403767,0.19004884004884004,0.3906060606060606,0.23004403004403,0.4686825028150391
tip_middle_root_1_2_2,CNN,舌根,5,0.6838865008980541,0.19583333333333336,0.31025641025641026,0.22729885057471266,0.5168287594758183
tip_middle_root_1_3_1,SVM,舌尖,4,0.7380052602436323,0.40496411483253586,0.6535714285714286,0.4972222222222222,0.6914244095165148
tip_middle_root_1_3_1,SVM,舌中,5,0.7567624066754501,0.42020202020202013,0.42032967032967034,0.37582417582417577,0.6050089032268426
tip_middle_root_1_3_1,SVM,舌左邊,5,0.7127170929393878,0.3142602495543672,0.4053787878787879,0.33922932330827066,0.577349981578705
tip_middle_root_1_3_1,SVM,舌右邊,5,0.7333196833196833,0.3268421052631579,0.4478787878787879,0.3713488557478327,0.6072982816817782
tip_middle_root_1_3_1,SVM,舌根,5,0.7674129314463075,0.15042735042735042,0.18974358974358974,0.15824175824175823,0.4993323203407237
tip_middle_root_1_3_1,Random Forest,舌尖,4,0.7554471207087486,0.37436868686868685,0.3630952380952381,0.361875,0.597905398892241
tip_middle_root_1_3_1,Random Forest,舌中,5,0.8377509881422925,0.4805555555555556,0.32765567765567766,0.3601532567049809,0.615994183626628
tip_middle_root_1_3_1,Random Forest,舌左邊,5,0.78665670387148,0.2878267973856209,0.29553030303030303,0.2910263929618768,0.5765898728930644
tip_middle_root_1_3_1,Random Forest,舌右邊,5,0.7931988806988807,0.2950937950937951,0.31636363636363635,0.30428422152560086,0.5882943020468375
tip_middle_root_1_3_1,Random Forest,舌根,5,0.8077039276859559,0.17272727272727273,0.11153846153846154,0.13333333333333333,0.5071095571095572
tip_middle_root_1_3_1,CNN,舌尖,4,0.5892718715393134,0.22633928571428572,0.28214285714285714,0.17750850340136054,0.46735116768011503
tip_middle_root_1_3_1,CNN,舌中,5,0.43558410188844976,0.19346500530222693,0.7043956043956043,0.2725189786059351,0.5571806649081037
tip_middle_root_1_3_1,CNN,舌左邊,5,0.5640257994883691,0.18714285714285714,0.3446212121212121,0.21405128205128204,0.46337443584784016
tip_middle_root_1_3_1,CNN,舌右邊,5,0.5590253890253891,0.25457245263696876,0.4136363636363637,0.2625887796414112,0.48870381995257917
tip_middle_root_1_3_1,CNN,舌根,5,0.6662661869927595,0.2,0.2602564102564103,0.22074074074074074,0.48726035868893014
