region,color,positive,negative,uncertain,evaluable
舌尖,淡紅,14,26,14,True
舌尖,淡白,0,49,5,False
舌尖,鮮紅,14,28,12,True
舌尖,暗紅,5,38,11,True
舌尖,青紫,6,37,11,True
舌尖,灰黑,0,54,0,False
舌中,淡紅,13,23,18,True
舌中,淡白,1,49,4,True
舌中,鮮紅,7,33,14,True
舌中,暗紅,12,34,8,True
舌中,青紫,4,40,10,True
舌中,灰黑,0,54,0,False
舌左邊,淡紅,16,30,8,True
舌左邊,淡白,2,47,5,True
舌左邊,鮮紅,15,30,9,True
舌左邊,暗紅,11,35,8,True
舌左邊,青紫,3,35,16,True
舌左邊,灰黑,0,54,0,False
舌右邊,淡紅,15,29,10,True
舌右邊,淡白,1,47,6,True
舌右邊,鮮紅,15,30,9,True
舌右邊,暗紅,11,34,9,True
舌右邊,青紫,4,33,17,True
舌右邊,灰黑,0,54,0,False
舌根,淡紅,12,26,16,True
舌根,淡白,1,49,4,True
舌根,鮮紅,4,33,17,True
舌根,暗紅,13,28,13,True
舌根,青紫,1,51,2,True
舌根,灰黑,0,54,0,False
