region,color,n_items,unanimous_n,unanimous_rate,three_one_n,three_one_rate,two_two_n,two_two_rate,fleiss_kappa,best_segmentation_method,best_model,best_positive,best_negative,best_f1,best_balanced_accuracy
舌尖,淡紅,54,18,0.3333333333333333,22,0.4074074074074074,14,0.25925925925925924,0.2201704545454547,tip_middle_root_1_3_1,SVM,14.0,26.0,0.6666666666666666,0.739010989010989
舌尖,淡白,54,44,0.8148148148148148,5,0.09259259259259259,5,0.09259259259259259,0.16417910447761283,,,,,,
舌尖,鮮紅,54,20,0.37037037037037035,22,0.4074074074074074,12,0.2222222222222222,0.24558823529411777,tip_middle_root_1_3_1,SVM,14.0,28.0,0.7222222222222222,0.8035714285714286
舌尖,暗紅,54,19,0.35185185185185186,24,0.4444444444444444,11,0.2037037037037037,0.0886075949367085,tip_middle_root_1_2_2,SVM,5.0,38.0,0.26666666666666666,0.5947368421052632
舌尖,青紫,54,20,0.37037037037037035,23,0.42592592592592593,11,0.2037037037037037,0.10228401191658362,tip_middle_root_1_2_2,Random Forest,6.0,37.0,0.36363636363636365,0.6261261261261262
舌尖,灰黑,54,54,1.0,0,0.0,0,0.0,,,,,,,
舌中,淡紅,54,19,0.35185185185185186,17,0.3148148148148148,18,0.3333333333333333,0.21649119702733793,tip_middle_root_1_3_1,Random Forest,13.0,23.0,0.6896551724137931,0.754180602006689
舌中,淡白,54,41,0.7592592592592593,9,0.16666666666666666,4,0.07407407407407407,0.17285599786267597,tip_middle_root_1_3_1,CNN,1.0,49.0,0.047619047619047616,0.5918367346938775
舌中,鮮紅,54,21,0.3888888888888889,19,0.35185185185185186,14,0.25925925925925924,0.13950290851401428,tip_middle_root_1_2_2,Random Forest,7.0,33.0,0.7272727272727273,0.7857142857142857
舌中,暗紅,54,14,0.25925925925925924,32,0.5925925925925926,8,0.14814814814814814,0.1338345864661653,tip_middle_root_1_3_1,CNN,12.0,34.0,0.391304347826087,0.5073529411764706
舌中,青紫,54,27,0.5,17,0.3148148148148148,10,0.18518518518518517,0.14853801169590683,tip_middle_root_1_3_1,SVM,4.0,40.0,0.3076923076923077,0.6625
舌中,灰黑,54,54,1.0,0,0.0,0,0.0,,,,,,,
舌左邊,淡紅,54,22,0.4074074074074074,24,0.4444444444444444,8,0.14814814814814814,0.32467532467532434,tip_middle_root_1_2_2,SVM,16.0,30.0,0.55,0.6270833333333333
舌左邊,淡白,54,41,0.7592592592592593,8,0.14814814814814814,5,0.09259259259259259,0.25773195876288657,tip_middle_root_1_2_2,Random Forest,2.0,47.0,0.0,0.5
舌左邊,鮮紅,54,24,0.4444444444444444,21,0.3888888888888889,9,0.16666666666666666,0.33401849948612533,tip_middle_root_1_3_1,Random Forest,15.0,30.0,0.7096774193548387,0.7833333333333333
舌左邊,暗紅,54,21,0.3888888888888889,25,0.46296296296296297,8,0.14814814814814814,0.2150789607743249,tip_middle_root_1_3_1,CNN,11.0,35.0,0.41025641025641024,0.577922077922078
舌左邊,青紫,54,16,0.2962962962962963,22,0.4074074074074074,16,0.2962962962962963,-2.76701738445039e-16,tip_middle_root_1_2_2,SVM,3.0,35.0,0.3076923076923077,0.719047619047619
舌左邊,灰黑,54,54,1.0,0,0.0,0,0.0,,,,,,,
舌右邊,淡紅,54,22,0.4074074074074074,22,0.4074074074074074,10,0.18518518518518517,0.3116883116883115,tip_middle_root_1_2_2,Random Forest,15.0,29.0,0.6451612903225806,0.7298850574712643
舌右邊,淡白,54,40,0.7407407407407407,8,0.14814814814814814,6,0.1111111111111111,0.19025304592314932,tip_middle_root_1_2_2,Random Forest,1.0,47.0,0.0,0.5
舌右邊,鮮紅,54,24,0.4444444444444444,21,0.3888888888888889,9,0.16666666666666666,0.33401849948612533,tip_middle_root_1_3_1,Random Forest,15.0,30.0,0.7878787878787878,0.8500000000000001
舌右邊,暗紅,54,21,0.3888888888888889,24,0.4444444444444444,9,0.16666666666666666,0.21454545454545446,tip_middle_root_1_3_1,CNN,11.0,34.0,0.42857142857142855,0.5855614973262032
舌右邊,青紫,54,19,0.35185185185185186,18,0.3333333333333333,17,0.3148148148148148,0.061538461538461535,tip_middle_root_1_2_2,SVM,4.0,33.0,0.2857142857142857,0.6287878787878788
舌右邊,灰黑,54,54,1.0,0,0.0,0,0.0,,,,,,,
舌根,淡紅,54,16,0.2962962962962963,22,0.4074074074074074,16,0.2962962962962963,0.14816163087003975,tip_middle_root_1_2_2,SVM,12.0,26.0,0.5384615384615384,0.657051282051282
舌根,淡白,54,42,0.7777777777777778,8,0.14814814814814814,4,0.07407407407407407,0.19191919191919188,tip_middle_root_1_3_1,Random Forest,1.0,49.0,0.0,0.5
舌根,鮮紅,54,21,0.3888888888888889,16,0.2962962962962963,17,0.3148148148148148,0.08860759493670878,tip_middle_root_1_2_2,Random Forest,4.0,33.0,0.5,0.7196969696969697
舌根,暗紅,54,11,0.2037037037037037,30,0.5555555555555556,13,0.24074074074074073,0.08550983899821105,tip_middle_root_1_3_1,SVM,13.0,28.0,0.41025641025641024,0.4862637362637363
舌根,青紫,54,45,0.8333333333333334,7,0.12962962962962962,2,0.037037037037037035,0.3074626865671648,tip_middle_root_1_2_2,Random Forest,1.0,51.0,0.0,0.5
舌根,灰黑,54,53,0.9814814814814815,1,0.018518518518518517,0,0.0,-0.004651162790695993,,,,,,
