model,color,n_samples,n_patients,accuracy_1_2_2,precision_1_2_2,recall_1_2_2,f1_1_2_2,balanced_accuracy_1_2_2,accuracy_1_3_1,precision_1_3_1,recall_1_3_1,f1_1_3_1,balanced_accuracy_1_3_1,delta_accuracy,delta_f1,delta_balanced_accuracy,both_correct,only_1_2_2_correct,only_1_3_1_correct,both_wrong,mcnemar_exact_p,bootstrap_valid_iterations,delta_accuracy_ci_lower,delta_accuracy_ci_upper,delta_f1_ci_lower,delta_f1_ci_upper,delta_balanced_accuracy_ci_lower,delta_balanced_accuracy_ci_upper,f1_winner
SVM,淡紅,204,53,0.6568627450980392,0.5,0.7,0.5833333333333334,0.6671641791044776,0.6666666666666666,0.5108695652173914,0.6714285714285714,0.5802469135802469,0.6678038379530917,0.009803921568627416,-0.0030864197530864335,0.0006396588486141663,126,8,10,60,0.8145294189453125,1000,-0.0341505260640842,0.05392820921472029,-0.06613282506402093,0.05983724558829445,-0.05567199776557523,0.054844200937950886,1:2:2
SVM,淡白,246,52,0.8170731707317073,0.0,0.0,0.0,0.4170124481327801,0.8211382113821138,0.0,0.0,0.0,0.4190871369294606,0.004065040650406582,0.0,0.0020746887966804906,197,4,5,40,1.0,865,-0.02504184100418414,0.04156293222683267,0.0,0.0,-0.012864721485411146,0.021447963800904985,tie
SVM,鮮紅,209,50,0.7990430622009569,0.6031746031746031,0.6909090909090909,0.6440677966101694,0.7642857142857142,0.8181818181818182,0.6349206349206349,0.7272727272727273,0.6779661016949152,0.788961038961039,0.019138755980861344,0.03389830508474578,0.02467532467532474,163,4,8,34,0.3876953125,1000,-0.009808823529411839,0.05213270142180104,-0.02426390542175021,0.10260263842400673,-0.022098734598734668,0.07389371108945147,1:3:1
SVM,暗紅,221,54,0.6199095022624435,0.25757575757575757,0.3269230769230769,0.288135593220339,0.518491124260355,0.6425339366515838,0.2923076923076923,0.36538461538461536,0.3247863247863248,0.5465976331360947,0.022624434389140302,0.036650731565985806,0.028106508875739622,128,9,14,70,0.4048728942871094,1000,-0.021741503702297306,0.0646819855917111,-0.004717120358200974,0.09166716933538058,-0.008457838028551339,0.07022115333954893,1:3:1
SVM,青紫,214,54,0.794392523364486,0.19047619047619047,0.4444444444444444,0.26666666666666666,0.6354875283446713,0.7850467289719626,0.18181818181818182,0.4444444444444444,0.25806451612903225,0.6303854875283447,-0.009345794392523366,-0.008602150537634412,-0.005102040816326592,163,7,5,39,0.7744140625,1000,-0.04237488007675088,0.02358490566037741,-0.08676354876025844,0.08830309700339817,-0.0754005372589846,0.10880107167980235,1:2:2
Random Forest,淡紅,204,53,0.7058823529411765,0.5657894736842105,0.6142857142857143,0.589041095890411,0.6840085287846482,0.7058823529411765,0.578125,0.5285714285714286,0.5522388059701493,0.6635394456289978,0.0,-0.03680228992026169,-0.020469083155650436,132,12,12,48,1.0,1000,-0.04499999999999993,0.043689320388349495,-0.09334760750516209,0.020937297610525922,-0.06421244918128317,0.021885606568705182,1:2:2
Random Forest,淡白,246,52,0.975609756097561,0.0,0.0,0.0,0.4979253112033195,0.9715447154471545,0.0,0.0,0.0,0.495850622406639,-0.004065040650406471,0.0,-0.0020746887966804906,238,2,1,5,1.0,865,-0.019669844222273847,0.008163265306122436,0.0,0.0,-0.01004113626793639,0.0042517745907576275,tie
Random Forest,鮮紅,209,50,0.8229665071770335,0.6551724137931034,0.6909090909090909,0.672566371681416,0.7805194805194805,0.8133971291866029,0.6379310344827587,0.6727272727272727,0.6548672566371682,0.7681818181818182,-0.009569377990430561,-0.017699115044247815,-0.012337662337662314,165,7,5,32,0.7744140625,1000,-0.034517550641719456,0.014637750811005656,-0.06583791368008018,0.04245814305016628,-0.04795719805308854,0.03315681169086587,1:2:2
Random Forest,暗紅,221,54,0.6515837104072398,0.1951219512195122,0.15384615384615385,0.17204301075268819,0.47928994082840237,0.6606334841628959,0.2553191489361702,0.23076923076923078,0.24242424242424243,0.5118343195266273,0.009049773755656076,0.07038123167155425,0.03254437869822491,134,10,12,65,0.8318119049072266,1000,-0.03864347695710029,0.0544829482948294,-0.024737248287439607,0.16056244618922483,-0.021145280725022128,0.08605594008870125,1:3:1
Random Forest,青紫,214,54,0.8925233644859814,0.2727272727272727,0.16666666666666666,0.20689655172413793,0.5629251700680272,0.883177570093458,0.18181818181818182,0.1111111111111111,0.13793103448275862,0.5325963718820862,-0.009345794392523366,-0.06896551724137931,-0.03032879818594103,186,5,3,20,0.7265625,1000,-0.03226179808841097,0.009757293161166912,-0.1818560606060606,0.01564142372491517,-0.07651983074396865,0.005103355775299814,1:2:2
CNN,淡紅,204,53,0.6078431372549019,0.38636363636363635,0.24285714285714285,0.2982456140350877,0.520682302771855,0.5784313725490197,0.30952380952380953,0.18571428571428572,0.23214285714285715,0.4846481876332623,-0.02941176470588225,-0.06610275689223055,-0.036034115138592726,106,18,12,68,0.361594608053565,1000,-0.08654891304347828,0.02807174271577787,-0.19181299796743728,0.03703612808089317,-0.10052316736201596,0.024023113461470614,1:2:2
CNN,淡白,246,52,0.7642276422764228,0.0,0.0,0.0,0.3900414937759336,0.508130081300813,0.00847457627118644,0.2,0.016260162601626018,0.3572614107883817,-0.25609756097560976,0.016260162601626018,-0.03278008298755192,118,70,7,51,3.5245694262351566e-14,875,-0.3206988396624472,-0.1864097989432512,0.0,0.05270144387517465,-0.15559964726631392,0.01585125400914874,1:3:1
CNN,鮮紅,209,50,0.4880382775119617,0.32432432432432434,0.8727272727272727,0.4729064039408867,0.6116883116883116,0.5598086124401914,0.35658914728682173,0.8363636363636363,0.5,0.6487012987012987,0.0717703349282297,0.027093596059113323,0.03701298701298705,86,16,31,76,0.03998605682605216,1000,-0.01500378787878789,0.1516663181860422,-0.04981589353993868,0.09674692174805685,-0.053852309061575857,0.1224361087672958,1:3:1
CNN,暗紅,221,54,0.48868778280542985,0.23008849557522124,0.5,0.3151515151515151,0.492603550295858,0.5067873303167421,0.2644628099173554,0.6153846153846154,0.3699421965317919,0.5443786982248521,0.01809954751131221,0.05479068138027676,0.05177514792899407,78,30,34,79,0.707980754134764,1000,-0.056607893219082134,0.09049822515212977,-0.018760128422434467,0.12709802291026062,-0.03040992228492225,0.1233686893945709,1:3:1
