segmentation_method,model,color,fold,train_samples,test_samples,train_patients,test_patients,accuracy,precision,recall,f1,balanced_accuracy
tip_middle_root_1_2_2,SVM,淡紅,1,164,40,42,11,0.475,0.36666666666666664,0.8461538461538461,0.5116279069767442,0.5712250712250713
tip_middle_root_1_2_2,SVM,淡紅,2,163,41,42,11,0.926829268292683,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9272486772486772
tip_middle_root_1_2_2,SVM,淡紅,3,164,40,43,10,0.7,0.5384615384615384,1.0,0.7,0.7692307692307692
tip_middle_root_1_2_2,SVM,淡紅,4,161,43,42,11,0.6976744186046512,0.5625,0.6,0.5806451612903226,0.675
tip_middle_root_1_2_2,SVM,淡紅,5,164,40,43,10,0.475,0.18181818181818182,0.14285714285714285,0.16,0.3983516483516484
tip_middle_root_1_2_2,Random Forest,淡紅,1,164,40,42,11,0.575,0.43333333333333335,1.0,0.6046511627906976,0.6851851851851851
tip_middle_root_1_2_2,Random Forest,淡紅,2,163,41,42,11,0.7560975609756098,0.8333333333333334,0.35714285714285715,0.5,0.66005291005291
tip_middle_root_1_2_2,Random Forest,淡紅,3,164,40,43,10,0.8,0.6666666666666666,0.8571428571428571,0.75,0.8131868131868132
tip_middle_root_1_2_2,Random Forest,淡紅,4,161,43,42,11,0.7674418604651163,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7440476190476191
tip_middle_root_1_2_2,Random Forest,淡紅,5,164,40,43,10,0.625,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.5302197802197802
tip_middle_root_1_3_1,SVM,淡紅,1,164,40,42,11,0.5,0.3793103448275862,0.8461538461538461,0.5238095238095238,0.5897435897435898
tip_middle_root_1_3_1,SVM,淡紅,2,163,41,42,11,0.8536585365853658,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8373015873015872
tip_middle_root_1_3_1,SVM,淡紅,3,164,40,43,10,0.7,0.5454545454545454,0.8571428571428571,0.6666666666666666,0.7362637362637363
tip_middle_root_1_3_1,SVM,淡紅,4,161,43,42,11,0.7209302325581395,0.6,0.6,0.6,0.6928571428571428
tip_middle_root_1_3_1,SVM,淡紅,5,164,40,43,10,0.55,0.3333333333333333,0.2857142857142857,0.3076923076923077,0.489010989010989
tip_middle_root_1_3_1,Random Forest,淡紅,1,164,40,42,11,0.575,0.4230769230769231,0.8461538461538461,0.5641025641025641,0.6452991452991452
tip_middle_root_1_3_1,Random Forest,淡紅,2,163,41,42,11,0.7073170731707317,0.6666666666666666,0.2857142857142857,0.4,0.6058201058201058
tip_middle_root_1_3_1,Random Forest,淡紅,3,164,40,43,10,0.8,0.75,0.6428571428571429,0.6923076923076923,0.7637362637362637
tip_middle_root_1_3_1,Random Forest,淡紅,4,161,43,42,11,0.813953488372093,0.7692307692307693,0.6666666666666666,0.7142857142857143,0.7797619047619048
tip_middle_root_1_3_1,Random Forest,淡紅,5,164,40,43,10,0.625,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.5302197802197802
tip_middle_root_1_2_2,SVM,淡白,1,195,51,41,11,0.9019607843137255,0.0,0.0,0.0,0.48936170212765956
tip_middle_root_1_2_2,SVM,淡白,2,197,49,41,11,0.8163265306122449,0.0,0.0,0.0,0.4166666666666667
tip_middle_root_1_2_2,SVM,淡白,3,196,50,42,10,0.66,0.0,0.0,0.0,0.66
tip_middle_root_1_2_2,SVM,淡白,4,198,48,42,10,0.9166666666666666,0.0,0.0,0.0,0.9166666666666666
tip_middle_root_1_2_2,SVM,淡白,5,198,48,42,10,0.7916666666666666,0.0,0.0,0.0,0.7916666666666666
tip_middle_root_1_2_2,Random Forest,淡白,1,195,51,41,11,0.9215686274509803,0.0,0.0,0.0,0.5
tip_middle_root_1_2_2,Random Forest,淡白,2,197,49,41,11,0.9795918367346939,0.0,0.0,0.0,0.5
tip_middle_root_1_2_2,Random Forest,淡白,3,196,50,42,10,1.0,0.0,0.0,0.0,1.0
tip_middle_root_1_2_2,Random Forest,淡白,4,198,48,42,10,1.0,0.0,0.0,0.0,1.0
tip_middle_root_1_2_2,Random Forest,淡白,5,198,48,42,10,0.9791666666666666,0.0,0.0,0.0,0.9791666666666666
tip_middle_root_1_3_1,SVM,淡白,1,195,51,41,11,0.9019607843137255,0.0,0.0,0.0,0.48936170212765956
tip_middle_root_1_3_1,SVM,淡白,2,197,49,41,11,0.7755102040816326,0.0,0.0,0.0,0.3958333333333333
tip_middle_root_1_3_1,SVM,淡白,3,196,50,42,10,0.7,0.0,0.0,0.0,0.7
tip_middle_root_1_3_1,SVM,淡白,4,198,48,42,10,0.9583333333333334,0.0,0.0,0.0,0.9583333333333334
tip_middle_root_1_3_1,SVM,淡白,5,198,48,42,10,0.7708333333333334,0.0,0.0,0.0,0.7708333333333334
