color,model,fold,train_samples,test_samples,train_patients,test_patients,accuracy,precision,recall,f1,balanced_accuracy
淡紅,SVM,1,164,40,42,11,0.475,0.36666666666666664,0.8461538461538461,0.5116279069767442,0.5712250712250713
淡紅,SVM,2,163,41,42,11,0.9024390243902439,0.8125,0.9285714285714286,0.8666666666666667,0.9087301587301587
淡紅,SVM,3,164,40,43,10,0.675,0.5238095238095238,0.7857142857142857,0.6285714285714286,0.7005494505494505
淡紅,SVM,4,161,43,42,11,0.7209302325581395,0.6,0.6,0.6,0.6928571428571428
淡紅,SVM,5,164,40,43,10,0.575,0.36363636363636365,0.2857142857142857,0.32,0.5082417582417582
淡紅,Random Forest,1,164,40,42,11,0.55,0.4074074074074074,0.8461538461538461,0.55,0.6267806267806267
淡紅,Random Forest,2,163,41,42,11,0.7804878048780488,0.7777777777777778,0.5,0.6086956521739131,0.712962962962963
淡紅,Random Forest,3,164,40,43,10,0.8,0.8,0.5714285714285714,0.6666666666666666,0.7472527472527473
淡紅,Random Forest,4,161,43,42,11,0.7674418604651163,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7440476190476191
淡紅,Random Forest,5,164,40,43,10,0.6,0.375,0.21428571428571427,0.2727272727272727,0.510989010989011
淡白,SVM,1,195,51,41,11,0.9019607843137255,0.0,0.0,0.0,0.48936170212765956
淡白,SVM,2,197,49,41,11,0.8163265306122449,0.0,0.0,0.0,0.4166666666666667
淡白,SVM,3,196,50,42,10,0.68,0.0,0.0,0.0,0.68
淡白,SVM,4,198,48,42,10,0.9583333333333334,0.0,0.0,0.0,0.9583333333333334
淡白,SVM,5,198,48,42,10,0.8125,0.0,0.0,0.0,0.8125
淡白,Random Forest,1,195,51,41,11,0.9215686274509803,0.0,0.0,0.0,0.5
淡白,Random Forest,2,197,49,41,11,0.9795918367346939,0.0,0.0,0.0,0.5
淡白,Random Forest,3,196,50,42,10,1.0,0.0,0.0,0.0,1.0
淡白,Random Forest,4,198,48,42,10,1.0,0.0,0.0,0.0,1.0
淡白,Random Forest,5,198,48,42,10,1.0,0.0,0.0,0.0,1.0
鮮紅,SVM,1,169,40,40,10,0.95,1.0,0.8181818181818182,0.9,0.9090909090909092
鮮紅,SVM,2,169,40,41,9,0.825,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.7946708463949843
鮮紅,SVM,3,167,42,40,10,0.7380952380952381,0.46153846153846156,0.6,0.5217391304347826,0.690625
鮮紅,SVM,4,169,40,40,10,0.825,0.7,0.6363636363636364,0.6666666666666666,0.7664576802507836
鮮紅,SVM,5,162,47,39,11,0.7446808510638298,0.5,0.5,0.5,0.6642857142857144
鮮紅,Random Forest,1,169,40,40,10,0.9,1.0,0.6363636363636364,0.7777777777777778,0.8181818181818181
鮮紅,Random Forest,2,169,40,41,9,0.75,0.5555555555555556,0.45454545454545453,0.5,0.658307210031348
鮮紅,Random Forest,3,167,42,40,10,0.7142857142857143,0.42857142857142855,0.6,0.5,0.675
鮮紅,Random Forest,4,169,40,40,10,0.825,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.7946708463949843
鮮紅,Random Forest,5,162,47,39,11,0.8297872340425532,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7761904761904761
暗紅,SVM,1,175,46,44,10,0.5652173913043478,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.4025974025974026
暗紅,SVM,2,178,43,43,11,0.627906976744186,0.25,0.3,0.2727272727272727,0.5136363636363637
暗紅,SVM,3,176,45,43,11,0.6444444444444445,0.25,0.3,0.2727272727272727,0.5214285714285715
暗紅,SVM,4,177,44,43,11,0.5,0.23809523809523808,0.45454545454545453,0.3125,0.48484848484848486
暗紅,SVM,5,178,43,43,11,0.6976744186046512,0.38461538461538464,0.5,0.43478260869565216,0.6287878787878788
暗紅,Random Forest,1,175,46,44,10,0.5869565217391305,0.0,0.0,0.0,0.38571428571428573
暗紅,Random Forest,2,178,43,43,11,0.6976744186046512,0.2,0.1,0.13333333333333333,0.4893939393939394
暗紅,Random Forest,3,176,45,43,11,0.6222222222222222,0.18181818181818182,0.2,0.19047619047619047,0.4714285714285714
暗紅,Random Forest,4,177,44,43,11,0.4772727272727273,0.125,0.18181818181818182,0.14814814814814814,0.3787878787878788
暗紅,Random Forest,5,178,43,43,11,0.7209302325581395,0.4166666666666667,0.5,0.45454545454545453,0.6439393939393939
青紫,SVM,1,169,45,43,11,0.8,0.2,0.6666666666666666,0.3076923076923077,0.7380952380952381
青紫,SVM,2,172,42,43,11,0.8095238095238095,0.25,0.5,0.3333333333333333,0.6710526315789473
青紫,SVM,3,171,43,42,12,0.7441860465116279,0.0,0.0,0.0,0.42105263157894735
青紫,SVM,4,172,42,44,10,0.9047619047619048,0.5,1.0,0.6666666666666666,0.9473684210526316
青紫,SVM,5,172,42,44,10,0.8095238095238095,0.125,0.5,0.2,0.6625
青紫,Random Forest,1,169,45,43,11,0.9111111111111111,0.0,0.0,0.0,0.4880952380952381
青紫,Random Forest,2,172,42,43,11,0.8809523809523809,0.0,0.0,0.0,0.4868421052631579
青紫,Random Forest,3,171,43,42,12,0.813953488372093,0.0,0.0,0.0,0.4605263157894737
青紫,Random Forest,4,172,42,44,10,0.8809523809523809,0.3333333333333333,0.25,0.2857142857142857,0.5986842105263157
青紫,Random Forest,5,172,42,44,10,0.9047619047619048,0.25,0.5,0.3333333333333333,0.7125
