segmentation_method,image_id,region,original_image,region_file,pixel_count,tip_ratio,middle_ratio,root_ratio,left_ratio,center_ratio,right_ratio
tip_middle_root_1_2_2,1,舌根,/Users/yuchiwu/Desktop/tongue_project/images_json/1.JPG,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌根/1.png,278370,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,1,舌尖,/Users/yuchiwu/Desktop/tongue_project/images_json/1.JPG,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌尖/1.png,79063,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,1,舌左邊,/Users/yuchiwu/Desktop/tongue_project/images_json/1.JPG,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌左邊/1.png,8342,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,1,舌中,/Users/yuchiwu/Desktop/tongue_project/images_json/1.JPG,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌中/1.png,193382,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,1,舌右邊,/Users/yuchiwu/Desktop/tongue_project/images_json/1.JPG,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌右邊/1.png,77961,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,10,舌根,/Users/yuchiwu/Desktop/tongue_project/images_json/10.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌根/10.png,499829,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,10,舌尖,/Users/yuchiwu/Desktop/tongue_project/images_json/10.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌尖/10.png,108549,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,10,舌左邊,/Users/yuchiwu/Desktop/tongue_project/images_json/10.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌左邊/10.png,92768,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,10,舌中,/Users/yuchiwu/Desktop/tongue_project/images_json/10.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌中/10.png,284262,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,10,舌右邊,/Users/yuchiwu/Desktop/tongue_project/images_json/10.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌右邊/10.png,63400,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,100,舌根,/Users/yuchiwu/Desktop/tongue_project/images_json/100.JPG,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌根/100.png,379244,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,100,舌尖,/Users/yuchiwu/Desktop/tongue_project/images_json/100.JPG,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌尖/100.png,140239,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,100,舌左邊,/Users/yuchiwu/Desktop/tongue_project/images_json/100.JPG,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌左邊/100.png,112820,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,100,舌中,/Users/yuchiwu/Desktop/tongue_project/images_json/100.JPG,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌中/100.png,244500,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,100,舌右邊,/Users/yuchiwu/Desktop/tongue_project/images_json/100.JPG,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌右邊/100.png,108295,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,11,舌根,/Users/yuchiwu/Desktop/tongue_project/images_json/11.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌根/11.png,420767,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,11,舌尖,/Users/yuchiwu/Desktop/tongue_project/images_json/11.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌尖/11.png,85645,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,11,舌左邊,/Users/yuchiwu/Desktop/tongue_project/images_json/11.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌左邊/11.png,53479,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,11,舌中,/Users/yuchiwu/Desktop/tongue_project/images_json/11.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌中/11.png,238289,0.2,0.4,0.4,0.25,0.5,0.25
tip_middle_root_1_2_2,11,舌右邊,/Users/yuchiwu/Desktop/tongue_project/images_json/11.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_2_2/regions/舌右邊/11.png,76756,0.2,0.4,0.4,0.25,0.5,0.25
