delta_accuracy,delta_f1,delta_balanced_accuracy,model,color,method_a,method_b
0.014778325123152691,-0.009966777408637939,-0.00047418335089566277,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
-0.014354066985646008,-0.0633053221288516,-0.05944605708756656,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.015957446808510634,0.007062146892655385,0.012507138777841265,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.030456852791878153,-0.0017991004497751595,0.00410594494563965,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03431372549019607,0.024946207638515294,0.025179856115107757,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
-0.004975124378109541,-0.013271996615905168,-0.010185185185185075,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.01015228426395931,0.0011906012536331279,0.005247459125055198,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.022935779816513735,0.000146145414687604,0.007491201608848641,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04807692307692313,0.05734599007773744,0.05142979086641064,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
-0.004716981132075415,-0.012480294272201764,-0.009683698296837018,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.02487562189054726,0.016308146307369653,0.017006802721088343,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.0,-0.01945570353213666,-0.012852404643449389,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04629629629629628,0.05828352670026171,0.04939367051168286,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.040909090909090895,0.04537205081669693,0.041995902838747434,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.004950495049504955,0.008468880225836806,0.0078125,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.015625,0.01935064935064934,0.017083006609163287,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.014423076923076872,-0.002487562189054715,0.009166904151230115,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
-0.009803921568627527,-0.07135766423357665,-0.055299539170506895,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.0,0.006009615384615419,0.0055501930501931085,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.025906735751295318,0.005107252298263587,0.01195913461538467,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.015463917525773252,-0.022461170848267653,-0.028701406120760997,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.051162790697674376,0.05076058201058198,0.05225330225330216,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.019323671497584627,0.018003064351378995,0.0180610236220472,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.0,-0.008914125225142677,-0.0008343763037129692,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.05188679245283023,0.07052023121387285,0.06348017181100796,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.00497512437810943,-0.031739066842182195,-0.012222222222222245,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.015000000000000013,0.006475421250522251,0.00998318621269445,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
-0.015873015873015817,-0.015707874337005268,-0.015428504890544925,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04761904761904756,0.05681818181818177,0.055239898989899006,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.045454545454545525,0.059956709956709875,0.0509615384615385,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.00990099009900991,-0.014029084687767313,-0.007941211331041864,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.01980198019801982,0.0068646679742224714,0.010806595365418836,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.028037383177570097,0.030260469867211537,0.027249173590637055,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
-0.013953488372092981,-0.031871974179666474,-0.025700492237788808,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.005434782608695676,-0.016811409449446257,-0.009116589625064231,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
