segmentation_method,model,color,n_samples,positive,negative,folds,accuracy,precision,recall,f1,balanced_accuracy,TN,FP,FN,TP
tip_middle_root_1_2_2,SVM,淡紅,204,70,134,5,0.6568627450980392,0.5,0.7,0.5833333333333334,0.6671641791044776,85,49,21,49
tip_middle_root_1_2_2,Random Forest,淡紅,204,70,134,5,0.7058823529411765,0.5657894736842105,0.6142857142857143,0.589041095890411,0.6840085287846482,101,33,27,43
tip_middle_root_1_3_1,SVM,淡紅,204,70,134,5,0.6666666666666666,0.5108695652173914,0.6714285714285714,0.5802469135802469,0.6678038379530917,89,45,23,47
tip_middle_root_1_3_1,Random Forest,淡紅,204,70,134,5,0.7058823529411765,0.578125,0.5285714285714286,0.5522388059701493,0.6635394456289978,107,27,33,37
tip_middle_root_1_2_2,SVM,淡白,246,5,241,5,0.8170731707317073,0.0,0.0,0.0,0.4170124481327801,201,40,5,0
tip_middle_root_1_2_2,Random Forest,淡白,246,5,241,5,0.975609756097561,0.0,0.0,0.0,0.4979253112033195,240,1,5,0
tip_middle_root_1_3_1,SVM,淡白,246,5,241,5,0.8211382113821138,0.0,0.0,0.0,0.4190871369294606,202,39,5,0
tip_middle_root_1_3_1,Random Forest,淡白,246,5,241,5,0.9715447154471545,0.0,0.0,0.0,0.495850622406639,239,2,5,0
tip_middle_root_1_2_2,SVM,鮮紅,209,55,154,5,0.7990430622009569,0.6031746031746031,0.6909090909090909,0.6440677966101694,0.7642857142857142,129,25,17,38
tip_middle_root_1_2_2,Random Forest,鮮紅,209,55,154,5,0.8229665071770335,0.6551724137931034,0.6909090909090909,0.672566371681416,0.7805194805194805,134,20,17,38
tip_middle_root_1_3_1,SVM,鮮紅,209,55,154,5,0.8181818181818182,0.6349206349206349,0.7272727272727273,0.6779661016949152,0.788961038961039,131,23,15,40
tip_middle_root_1_3_1,Random Forest,鮮紅,209,55,154,5,0.8133971291866029,0.6379310344827587,0.6727272727272727,0.6548672566371682,0.7681818181818182,133,21,18,37
tip_middle_root_1_2_2,SVM,暗紅,221,52,169,5,0.6199095022624435,0.25757575757575757,0.3269230769230769,0.288135593220339,0.518491124260355,120,49,35,17
tip_middle_root_1_2_2,Random Forest,暗紅,221,52,169,5,0.6515837104072398,0.1951219512195122,0.15384615384615385,0.17204301075268819,0.47928994082840237,136,33,44,8
tip_middle_root_1_3_1,SVM,暗紅,221,52,169,5,0.6425339366515838,0.2923076923076923,0.36538461538461536,0.3247863247863248,0.5465976331360947,123,46,33,19
tip_middle_root_1_3_1,Random Forest,暗紅,221,52,169,5,0.6606334841628959,0.2553191489361702,0.23076923076923078,0.24242424242424243,0.5118343195266273,134,35,40,12
tip_middle_root_1_2_2,SVM,青紫,214,18,196,5,0.794392523364486,0.19047619047619047,0.4444444444444444,0.26666666666666666,0.6354875283446713,162,34,10,8
tip_middle_root_1_2_2,Random Forest,青紫,214,18,196,5,0.8925233644859814,0.2727272727272727,0.16666666666666666,0.20689655172413793,0.5629251700680272,188,8,15,3
tip_middle_root_1_3_1,SVM,青紫,214,18,196,5,0.7850467289719626,0.18181818181818182,0.4444444444444444,0.25806451612903225,0.6303854875283447,160,36,10,8
tip_middle_root_1_3_1,Random Forest,青紫,214,18,196,5,0.883177570093458,0.18181818181818182,0.1111111111111111,0.13793103448275862,0.5325963718820862,187,9,16,2
